emptyBlocksErrorMsg
emptyFunctionBlocksErrorMsg
errorEmptyFunctionBlockModal
errorGenericLintError
errorIncompleteBlockInFunction
errorParamInputUnattached
errorQuestionMarksInNumberField
errorUnusedFunction
errorUnusedParam
extraTopBlocks
hintPromptInline
keepPlaying
levelIncompleteError
missingRecommendedBlocksErrorMsg
missingRequiredBlocksErrorMsg
nestedForSameVariable
nextPuzzle
recommendedBlockContextualHintTitle
shareFailure
tooMuchWork
tryAgain
tryBlocksBelowFeedback
