collectorCollectedNothing
collectorCollectedTooMany
didNotCollectEverything
didNotPlantEverywhere
flowerEmptyError
honeycombFullError
insufficientHoney
insufficientNectar
notAtFlowerError
notAtHoneycombError
plantInNonSoilError
uncheckedCloudError
uncheckedPurpleError
