school_name,state_school_id,nces_id,course_id,course_name,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
JIM HILL HIGH SCHOOL,MS-2520-2520039,280219000390,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,,,,,27.4%,*,
LANIER HIGH SCHOOL,MS-2520-2520048,280219000396,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),0,,,,,27.4%,*,
LANIER HIGH SCHOOL,MS-2520-2520048,280219000396,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),46,*,*,,,34.4%,*,*
LANIER HIGH SCHOOL,MS-2520-2520048,280219000396,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,38,11,*,,,34.4%,*,*
NORTHWEST MIDDLE SCHOOL,MS-2520-2520052,280219001155,000283,EXPLORING COMPUTER SCIENCE (CTE),*,*,*,,,78.8%,,
KIRKSEY MIDDLE SCHOOL,MS-2520-2520055,280219001365,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,*,,,78.8%,,
MURRAH HIGH SCHOOL,MS-2520-2520060,280219000403,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,43,65,*,,,84.9%,17,*
MURRAH HIGH SCHOOL,MS-2520-2520060,280219000403,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,43,53,*,,,84.9%,*,*
PEEPLES MIDDLE SCHOOL,MS-2520-2520062,280219000405,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),61,72,*,,,84.9%,16,*
POWELL MIDDLE SCHOOL,MS-2520-2520065,280219000407,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),*,*,,,,50.5%,,
PROVINE HIGH SCHOOL,MS-2520-2520068,280219000409,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,*,*,,,,50.5%,,
SIWELL MIDDLE SCHOOL,MS-2520-2520076,280219000412,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),48,44,*,,*,59.1%,16,*
WHITTEN MIDDLE SCHOOL,MS-2520-2520086,280219000421,110142,EXPLORING COMPUTER SCIENCE (ACADEMIC),61,51,*,,,59.1%,*,*
WINGFIELD HIGH SCHOOL,MS-2520-2520089,280219000423,110145,COMPUTER SCIENCE PRINCIPLES - ADVANCED PLACEMENT,0,,,,,66.2%,,
CLINTON HIGH SCHOOL,MS-2521-2521004,280109000131,232065,PLTW:COMPUTER SCIENCE PRINCIPLES (ACADEMIC),0,,,,,66.2%,,
