student_id,unit_name
104867244,coursed-2023
86270337,coursed-2023
90642751,coursed-2023
113897159,coursed-2023
104867163,coursed-2023
106333177,coursed-2023
104867260,coursed-2023
104867232,coursed-2023
104867231,coursed-2023
106333183,coursed-2023
106333174,coursed-2023
106333182,coursed-2023
106333179,coursed-2023
106333175,coursed-2023
106333176,coursed-2023
86270604,coursed-2023
107599117,coursed-2023
104867263,coursed-2023
104867159,coursed-2023
106333178,coursed-2023
104867241,coursed-2023
106333173,coursed-2023
106333180,coursed-2023
104867253,coursed-2023
106338403,coursed-2023
86270239,coursed-2023
106372374,coursed-2023
104867254,coursed-2023
105973913,coursed-2023
105973928,coursed-2023
105973959,coursed-2023
105973911,coursed-2023
105973938,coursed-2023
105973952,coursed-2023
105973945,coursed-2023
105973933,coursed-2023
105973954,coursed-2023
105973958,coursed-2023
105973940,coursed-2023
105973924,coursed-2023
105973931,coursed-2023
105973942,coursed-2023
105973951,coursed-2023
104867210,coursec-2023
109750611,coursec-2023
109750613,coursec-2023
109750774,coursec-2023
104867221,coursec-2023
109750776,coursec-2023
109750610,coursec-2023
110711058,coursec-2023
104867291,coursec-2023
109750655,coursec-2023
104867216,coursec-2023
109750663,coursec-2023
109750667,coursec-2023
110711168,coursec-2023
104867287,coursec-2023
109750775,coursec-2023
109750669,coursec-2023
109750657,coursec-2023
109750642,coursec-2023
109750654,coursec-2023
109750643,coursec-2023
104867201,coursec-2023
104867282,coursec-2023
106178209,coursec-2023
106178212,coursec-2023
104867208,coursec-2023
106178206,coursec-2023
109752291,coursec-2023
106178207,coursec-2023
106178213,coursec-2023
106178204,coursec-2023
106178203,coursec-2023
106178210,coursec-2023
106178216,coursec-2023
106178205,coursec-2023
104867286,coursec-2023
104867299,coursec-2023
104867284,coursec-2023
104867283,coursec-2023
106178202,coursec-2023
106178208,coursec-2023
106178211,coursec-2023
106178214,coursec-2023
111249115,coursec-2023
104867296,coursec-2023
99365562,coursec-2023
106178215,coursec-2023
106871777,coursec-2023
106871780,coursec-2023
104867302,coursec-2023
104867223,coursec-2023
104867212,coursec-2023
104867220,coursec-2023
104867295,coursec-2023
106871768,coursec-2023
106871774,coursec-2023
114856743,coursec-2023
104867293,coursec-2023
104867203,coursec-2023
106871778,coursec-2023
104867204,coursec-2023
106871775,coursec-2023
106871771,coursec-2023
104867301,coursec-2023
106871779,coursec-2023
106871769,coursec-2023
106871767,coursec-2023
106871781,coursec-2023
106871773,coursec-2023
104867213,coursec-2023
104867215,coursec-2023
109756856,coursec-2023
109756851,coursec-2023
104867288,coursec-2023
104867214,coursec-2023
109756863,coursec-2023
109756849,coursec-2023
109756859,coursec-2023
104867289,coursec-2023
109756998,coursec-2023
109756850,coursec-2023
109756852,coursec-2023
109756855,coursec-2023
109756858,coursec-2023
104867305,coursec-2023
104867207,coursec-2023
109756862,coursec-2023
109756861,coursec-2023
109756857,coursec-2023
113629580,coursec-2023
109756853,coursec-2023
109756860,coursec-2023
104867219,coursec-2023
106381337,coursec-2023
106381339,coursec-2023
104867298,coursec-2023
104867206,coursec-2023
104867218,coursec-2023
104867300,coursec-2023
106381333,coursec-2023
104867202,coursec-2023
106381334,coursec-2023
104867217,coursec-2023
106381330,coursec-2023
106381335,coursec-2023
109759028,coursec-2023
106381329,coursec-2023
106381338,coursec-2023
106381336,coursec-2023
106381332,coursec-2023
104867297,coursec-2023
106381328,coursec-2023
104867205,coursec-2023
106381340,coursec-2023
