nces_id,ai_code,name,city,state,zip,num_teachers,num_students
62805011920,54412,COLISEUM COLLEGE PREP ACADEMY,OAKLAND,CA,94621,1,9
62865004421,52267,CANYON HIGH,ANAHEIM,CA,92807,1,28
62865004425,52276,EL MODENA HIGH,ORANGE,CA,92869,1,22
62865004456,52279,VILLA PARK HIGH,VILLA PARK,CA,92861,1,75
63021004712,52440,PERRIS HIGH,PERRIS,CA,92571,1,14
63021004992,51907,PALOMA VALLEY HIGH,MENIFEE,CA,92584,1,14
63021011184,54173,CALIFORNIA MILITARY INSTITUTE,PERRIS,CA,92570,1,17
63021011848,54141,HERITAGE HIGH,ROMOLAND,CA,92585,1,18
63315005131,52658,ARLINGTON HIGH,RIVERSIDE,CA,92503,1,32
63386005303,51369,LAGUNA HILLS HIGH,LAGUNA HILLS,CA,92653,1,47
63498013774,,DESIGN TECH HIGH,MILLBRAE,CA,94030,1,19
63543006055,53276,ADRIAN WILCOX HIGH,SANTA CLARA,CA,95051,1,66
63543007868,53280,SANTA CLARA HIGH,SANTA CLARA,CA,95051,1,8
64248006955,53765,WHITTIER HIGH,WHITTIER,CA,90601,1,29
64251003264,53608,VALENCIA HIGH,VALENCIA,CA,91355,1,163
80336006527,60372,HIGH TECH EARLY COLLEGE,DENVER,CO,80239,1,10
80336006551,,WEST GENERATIONS ACADEMY,DENVER,CO,80204,1,14
80573000981,60315,MOFFAT COUNTY HIGH SCHOOL,CRAIG,CO,81625,1,22
90171000300,70240,GREENWICH HIGH SCHOOL,GREENWICH,CT,6830,1,20
90468000943,70645,ROCKVILLE HIGH SCHOOL,ROCKVILLE,CT,6066,1,7
120018000153,100690,SOUTH BROWARD HIGH SCHOOL,HOLLYWOOD,FL,33020,2,74
120018000157,100498,STRANAHAN HIGH SCHOOL,FORT LAUDERDALE,FL,33312,1,10
120018000169,100480,DILLARD  6-12,FORT LAUDERDALE,FL,33311,1,15
120018000171,100636,HALLANDALE HIGH SCHOOL,HALLANDALE BEACH,FL,33009,1,12
120018000217,100490,FORT LAUDERDALE HIGH SCHOOL,FORT LAUDERDALE,FL,33305,1,35
120018000225,100299,CORAL SPRINGS HIGH SCHOOL,CORAL SPRINGS,FL,33065,1,31
120018000234,100496,NOVA HIGH SCHOOL,DAVIE,FL,33314,1,33
120018000241,100497,PLANTATION HIGH SCHOOL,PLANTATION,FL,33313,1,17
120018000247,100478,HOLLYWOOD HILLS HIGH SCHOOL,HOLLYWOOD,FL,33021,1,24
120018000251,100380,DEERFIELD BEACH HIGH SCHOOL,DEERFIELD BEACH,FL,33441,1,19
120018000265,100286,COOPER CITY HIGH SCHOOL,COOPER CITY,FL,33328,1,88
120018000270,100324,ATLANTIC TECHNICAL COLLEGE,MARGATE,FL,33063,2,53
120018002048,102601,SHERIDAN TECHNICAL COLLEGE,HOLLYWOOD,FL,33021,1,16
120018002120,100476,WESTERN HIGH SCHOOL,DAVIE,FL,33325,1,30
120018002488,100344,WILLIAM T. MCFATTER TECHNICAL COLLEGE,DAVIE,FL,33317,1,16
120018002721,101348,MARJORY STONEMAN DOUGLAS HIGH SCHOOL,PARKLAND,FL,33076,1,23
120018003029,101424,CHARLES W FLANAGAN HIGH SCHOOL,PEMBROKE PINES,FL,33028,1,46
120018003301,101550,POMPANO BEACH HIGH SCHOOL,POMPANO BEACH,FL,33060,1,28
120018003543,101427,DAVE THOMAS EDUCATION CENTER,POMPANO BEACH,FL,33060,1,13
120018003815,101842,CYPRESS BAY HIGH SCHOOL,WESTON,FL,33332,1,167
120018007555,102181,WEST BROWARD HIGH SCHOOL,PEMBROKE PINES,FL,33029,1,52
120039000613,101101,SOUTH MIAMI SENIOR HIGH SCHOOL,MIAMI,FL,33155,1,23
120039007197,,MIAMI LAKES EDUCATIONAL CENTER AND TECHNICAL COLLE,MIAMI LAKES,FL,33014,1,76
120054005533,102007,MATANZAS HIGH SCHOOL,PALM COAST,FL,32137,1,22
