id,Name,Scientific Name,Conservation Status,Primary Color,Diet,Image of Range,Image of Bird
83,Snail Kite,Rostrhamus sociabilis,Least Concern,Grey,"snails, crayfish",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Rostrhamus_sociabilis.png/330px-Rostrhamus_sociabilis.png,https://upload.wikimedia.org/wikipedia/commons/2/28/Schneckenweih-Snail-Kite.JPG
84,Snowy Owl,Bubo scandiacus,Vulnerable,White,"small mammals, birds",https://abcbirds.org/wp-content/uploads/2018/12/Snowy-Owl-map.jpg,https://www.treehugger.com/thmb/rYPDZsLevHn5WBs-XuwMdi6BLuk=/4192x3144/smart/filters:no_upscale()/__opt__aboutcom__coeus__resources__content_migration__mnn__images__2020__01__snowy_owl_flying-cdff0730fab6435d8d0e1edffda3ca21.jpg
85,Spoon-Billed Sandpiper,Calidris pygmaea,Critically Endangered,Brown,"mosquitoes, moss, spiders, shrimp",https://kiwifoto.com/images/thailand/geographic-range-of-the-spoon-billed-sandpiper.jpg,https://i.ytimg.com/vi/H26Tl7e3KeU/maxresdefault.jpg
86,Superb Bird-of-Paradise,Lophorina superba,Least Concern,Black,"fruit, insects, frogs, seeds",https://www.oiseaux.net/maps/svg/paradisier.superbe.svg,https://www.allaboutbirds.org/news/wp-content/uploads/2018/06/14-Vogelkop_sing_Tim_Laman_ML_Feature-1.jpg
87,Tawny Frogmouth,Podargus strigoides,Least Concern,Brown,large insects,http://www.aladdin.st/bird-watching/maps/tawny_frogmouth.jpg,https://upload.wikimedia.org/wikipedia/commons/6/68/Tawny_Frogmouth_-_Sydney_Olympic_Park.jpg
88,Toco Toucan,Ramphastos toco,Least Concern,Black,"fruit, insects, frogs, eggs",https://animalfactguide.com/wp-content/uploads/2013/01/worldmap_tocotoucan.png,https://www.animalspot.net/wp-content/uploads/2016/02/Toco-Toucans.jpg
89,Tricolored Blackbird,Agelaius tricolor,Endangered,Black,"beetles, snails, insects, seeds",https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Agelaius_tricolor_map.svg/330px-Agelaius_tricolor_map.svg.png,https://www.allaboutbirds.org/guide/assets/og/81386391-1200px.jpg
90,Tufted Puffin,Fratercula cirrhata,Least Concern,Black,"fish, squid, krill",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Fratercula_cirrhata_distribution_map.svg/330px-Fratercula_cirrhata_distribution_map.svg.png,https://upload.wikimedia.org/wikipedia/commons/e/e5/Tufted_Puffin_Alaska_%28cropped%29.jpg
91,Victoria Crowned Pigeon,Goura victoria,Near Threatened,Blue,"seeds, invertebrates",https://www.oiseaux.net/maps/svg/goura.de.victoria.svg,https://img.theepochtimes.com/assets/uploads/2020/05/18/Victoria-Crowned-Pigeon-i.jpg
92,Violet-Backed Starling,Cinnyricinclus leucogaster,Least Concern,Pink,"fruit, seeds, insects",https://www.oiseaux.net/maps/svg/spreo.amethyste.svg,https://i.pinimg.com/736x/dd/42/54/dd425491e9c313330e407d4c7894edb6.jpg
93,Vulturine Guineafowl,Acryllium vulturinum,Least Concern,Blue,"seeds, small invertebrates",https://www.oiseaux.net/maps/svg/pintade.vulturine.svg,https://www.purelypoultry.com/images/vulturine-guineafowl_04.jpg
94,White Wagtail,Motacilla alba,Least Concern,White,"aquatic insects, snails, small fish, crustaceans",https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/White_Wagtail_Range.png/330px-White_Wagtail_Range.png,https://www.shanghaibirding.com/wp-content/uploads/2020/02/white-wagtail-ocularis.jpg
95,Whooping Crane,Grus americana,Endangered,White,"crustaceans, mollusks, fish, eels",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Grus_americana_map.svg/330px-Grus_americana_map.svg.png,https://cdn.birdwatchingdaily.com/2019/09/Whooping-Crane-Aransas-NWR_8109-Welty.jpg
96,Wilson's Bird-Of-Paradise,Cicinnurus respublica,Near Threatened,Red,"fruit, insects",https://www.oiseaux.net/maps/svg/paradisier.republicain.svg,https://i.ytimg.com/vi/BvIuUABZkiI/maxresdefault.jpg
97,Wood Duck,Aix sponsa,Least Concern,Brown,"berries, seeds, insects",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Aix_sponsa_dis1.PNG/330px-Aix_sponsa_dis1.PNG,https://bloximages.newyork1.vip.townnews.com/yakimaherald.com/content/tncms/assets/v3/editorial/3/03/303e8cea-73fa-11e6-841c-cfeef8ca8b2d/57ce60c1369f6.image.jpg?crop=1662%2C935%2C0%2C155&resize=1662%2C935&order=crop%2Cresize
98,Yellow Bellied Sapsucker,Sphyrapicus varius,Least Concern,Black,"tree sap, fruit, insects",https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Sphyrapicus_varius_map.svg/330px-Sphyrapicus_varius_map.svg.png,https://www.allaboutbirds.org/guide/assets/photo/65051941-480px.jpg
