1788644233	0.08
1788644263	0.21
1788644293	0.13
1788644323	0.08
1788644353	0.07
1788644383	0.07
1788644413	0.03
1788644443	0.04
1788644473	0.03
1788644503	0.05
1788644533	0.05
1788644563	0.10
1788644593	0.20
1788644623	0.99
1788644653	0.87
1788644683	0.91
1788644713	0.97
1788644743	0.86
1788644773	0.71
1788644803	0.73
1788644833	0.60
1788644863	1.00
1788644893	0.69
1788644923	0.78
1788644954	0.72
1788644984	0.57
1788645014	0.66
1788645044	0.69
1788645074	0.64
1788645104	0.57
1788645134	0.68
1788645164	0.80
1788645194	0.37
1788645224	0.05
1788645254	0.58
1788645284	0.75
1788645314	0.75
1788645344	0.57
1788645374	0.77
1788645404	0.78
1788645434	0.81
1788645464	0.99
1788645494	0.69
1788645524	0.68
1788645554	0.76
1788645584	0.49
1788645614	0.60
1788645644	0.77
1788645674	0.94
1788645704	0.84
1788645734	0.06
1788645764	0.10
1788645794	0.05
1788645824	0.06
1788645854	0.06
1788645884	0.07
1788645914	0.07
1788645944	0.05
1788645974	0.14
1788646004	0.09
1788646034	0.06
1788646064	0.06
1788646094	0.09
1788646124	0.07
1788646154	0.05
1788646184	0.05
1788646214	0.13
1788646244	0.07
1788646274	0.06
1788646304	0.10
1788646334	0.08
1788646364	0.09
1788646394	0.05
1788646424	0.06
1788646454	0.07
1788646484	0.79
1788646514	0.78
1788646544	0.73
1788646574	0.77
1788646604	0.78
1788646634	0.85
1788646664	1.20
1788646694	0.92
1788646724	0.94
1788646754	0.99
1788646784	0.89
1788646814	0.63
1788646844	0.59
1788646874	0.72
1788646904	0.68
1788646934	0.82
1788646964	1.27
1788646994	0.76
1788647024	0.97
1788647054	0.92
1788647084	0.54
1788647114	0.76
1788647144	0.73
1788647174	0.79
1788647204	0.92
1788647234	0.73
1788647264	0.70
1788647294	0.79
1788647324	0.75
1788647354	0.43
1788647384	0.86
1788647414	0.71
1788647444	0.46
1788647475	0.59
1788647505	0.54
1788647535	0.67
1788647565	0.75
1788647595	0.57
1788647625	0.52
1788647655	0.53
1788647685	0.39
1788647715	0.04
1788647745	0.55
1788647775	0.91
1788647805	1.00
1788647835	1.02
1788647865	0.66
1788647895	0.64
1788647925	0.70
1788647955	0.63
1788647985	0.36
1788648015	0.04
1788648045	0.75
1788648075	0.89
1788648105	1.14
1788648135	0.97
1788648165	0.26
1788648195	0.20
1788648225	0.78
1788648255	0.04
1788648285	0.22
1788648315	0.04
1788648345	0.22
1788648375	0.05
1788648405	0.04
1788648435	0.08
1788648465	0.08
1788648495	0.05
1788648525	0.18
1788648555	0.71
1788648585	0.74
1788648615	0.44
1788648645	0.49
1788648675	0.18
1788648705	0.06
1788648735	0.03
1788648765	0.13
1788648795	0.05
1788648825	0.04
1788648855	0.05
1788648885	0.05
1788648915	0.07
1788648945	0.07
1788648975	0.09
1788649005	0.05
1788649035	0.05
1788649065	0.12
1788649095	0.05
1788649125	0.07
1788649155	0.05
1788649185	0.12
1788649215	0.09
1788649245	0.05
1788649275	0.13
