organization_name_s!,event_type_s*
University of Calgary,special
University of Kashmir,special
University of Kufa,special
"University of Nevada, Reno",special
University of Washington,special
Urban Scholars Network,special
US Embassy Colombo Sri Lanka,special
Vernon Area Public Library,special
"Virgin Islands Next Generation Network, Inc.",special
Virtusa cooperation,special
Weblinc,special
Whiteside Area Career Center,special
"WHOmentors.com, Inc.",special
Williston State College,special
"Women in Information and Computer Sciences (WICS) at University of California, Irvine",special
Work In Progress 6th St LLC,special
YMS NASA Club,special
York Institute,special
