name_s,url_s,kind_s,codeorg_b,csedweek_b,hourofcode_b,description_t
Rocketship Education,https://www.rocketshipschools.org/,additional,TRUE,FALSE,TRUE,
Salesforce,https://www.salesforce.com/,additional,TRUE,TRUE,TRUE,
SAS,https://www.sas.com/,additional,TRUE,FALSE,TRUE,
School Improvement Network,http://www.schoolimprovement.com/,additional,TRUE,FALSE,TRUE,
Science Channel,http://science.discovery.com/,additional,TRUE,TRUE,TRUE,
ScriptEd,http://www.scripted.org/,additional,TRUE,FALSE,TRUE,
Share My Lesson,https://sharemylesson.com/partner/hour-code,additional,TRUE,FALSE,TRUE,
Smore,https://www.smore.com/,additional,TRUE,FALSE,TRUE,
Splunk,https://www.splunk.com/,additional,TRUE,TRUE,TRUE,
STEM Advisory Council,https://www.iowastem.gov/,additional,FALSE,FALSE,TRUE,
StudentRND,https://srnd.org/,additional,TRUE,TRUE,TRUE,
TAG Education Collaborative,https://www.tagedonline.org/,additional,TRUE,FALSE,TRUE,
Teach For America,https://www.teachforamerica.org/,additional,FALSE,TRUE,FALSE,
Teaching Kids Programming,http://teachingkidsprogramming.org/,additional,TRUE,TRUE,TRUE,
Teaching Matters,http://www.teachingmatters.org/,additional,TRUE,FALSE,TRUE,
TEALS,https://www.tealsk12.org/,additional,TRUE,FALSE,FALSE,
Technovation Challenge,http://www.technovationchallenge.org/,additional,TRUE,FALSE,TRUE,
Technovation Challenge,http://www.TechnovationChallenge.org,additional,FALSE,TRUE,FALSE,
Thinkful,https://www.thinkful.com/,additional,TRUE,FALSE,TRUE,
ThoughtSTEM,https://www.thoughtstem.com/home,additional,TRUE,FALSE,TRUE,
Udacity,https://www.udacity.com/,additional,TRUE,TRUE,TRUE,
United Black Fund of Greater Cleveland,http://www.unitedblackfund.org/,additional,TRUE,FALSE,FALSE,
USENIX,https://www.usenix.org/,additional,TRUE,TRUE,TRUE,
Valve,http://www.valvesoftware.com/,additional,TRUE,TRUE,TRUE,
Vista Equity Partners,https://www.vistaequitypartners.com/,additional,FALSE,TRUE,FALSE,
Washington Interactive Network,http://www.washingtoninteractivenetwork.org/,additional,TRUE,TRUE,TRUE,
Washington STEM,http://www.washingtonstem.org,additional,TRUE,FALSE,TRUE,
Washington Technology,http://washingtontechnology.org/,additional,TRUE,FALSE,TRUE,
Women Who Code,https://www.womenwhocode.com/,additional,TRUE,TRUE,TRUE,
WyzAnt,http://www.wyzant.com/,additional,TRUE,FALSE,TRUE,
Year Up,http://www.yearup.org/,additional,TRUE,FALSE,TRUE,
Yet Analytics,http://www.yetanalytics.com/,additional,TRUE,FALSE,TRUE,
YouTube,https://www.youtube.com/,additional,TRUE,TRUE,TRUE,
Zynga,http://zynga.com/,additional,TRUE,TRUE,TRUE,
AccessCSforAll,https://www.washington.edu/accesscomputing/accesscsforall,advocacy,TRUE,FALSE,FALSE,
Afterschool Alliance,http://www.afterschoolalliance.org/,advocacy,TRUE,FALSE,FALSE,
Alliance for California Computing Education for Students and Schools,http://access-ca.org/,advocacy,TRUE,FALSE,FALSE,
American Association for University Women,http://www.aauw.org/,advocacy,TRUE,FALSE,FALSE,
