school_name,state_school_id,nces_id,course_id,course_name
ISHPEMING HIGH SCHOOL,MI-52180-01858,261953005619,unspecified,unspecified
SUMMIT ACADEMY NORTH HIGH SCHOOL,MI-82938-08634,260022501195,unspecified,unspecified
DAVISON HIGH SCHOOL,MI-25140-00878,261143004574,unspecified,unspecified
PEWAMO-WESTPHALIA MIDDLE/HIGH SCHOOL,MI-19125-03021,262796006378,unspecified,unspecified
WESTERN INTERNATIONAL HIGH SCHOOL,MI-82015-04477,260110304857,unspecified,unspecified
CONSTANTINE HIGH SCHOOL,MI-75050-00775,261075004540,unspecified,unspecified
HARTLAND HIGH SCHOOL,MI-47060-01601,261791005458,unspecified,unspecified
NORTHVIEW HIGH SCHOOL,MI-41025-02768,262595006240,unspecified,unspecified
ADLAI STEVENSON HIGH SCHOOL,MI-50210-04931,263447007009,unspecified,unspecified
CHILDREN'S VILLAGE SCHOOL,MI-63300-02803,263531007137,unspecified,unspecified
CHELSEA HIGH SCHOOL,MI-81040-00656,260894004437,unspecified,unspecified
INNOCADEMY,MI-70908-01251,260101108354,unspecified,unspecified
CLAWSON HIGH SCHOOL,MI-63270-00710,260993004481,unspecified,unspecified
ST. JOSEPH HIGH SCHOOL,MI-11020-03793,263285006834,unspecified,unspecified
PONTIAC HIGH SCHOOL,MI-63030-02756,262874006444,unspecified,unspecified
LAKEVILLE HIGH SCHOOL,MI-25280-02111,262094005766,unspecified,unspecified
L'ANSE CREUSE HIGH SCHOOL,MI-50140-02124,262187005912,unspecified,unspecified
LAKESHORE HIGH SCHOOL,MI-11030-02095,262082005745,unspecified,unspecified
MIDLAND HIGH SCHOOL,MI-56010-02555,262382006060,unspecified,unspecified
CHESANING UNION HIGH SCHOOL,MI-73110-00666,260915004444,unspecified,unspecified
HANCOCK CENTRAL HIGH SCHOOL,MI-31010-01555,261755005426,unspecified,unspecified
MILAN HIGH SCHOOL,MI-81100-02558,262385006072,unspecified,unspecified
ONEKAMA MIDDLE/HIGH SCHOOL,MI-51060-05855,262649006294,unspecified,unspecified
UNIVERSITY PREPARATORY SCIENCE AND MATH (PSAD) HIGH SCHOOL,MI-82701-00506,260095208134,unspecified,unspecified
OTSEGO HIGH SCHOOL,MI-03020-02865,262706006319,unspecified,unspecified
RIVER ROUGE HIGH SCHOOL,MI-82120-03208,262976006555,unspecified,unspecified
RENAISSANCE HIGH SCHOOL,MI-82015-06971,260110304906,unspecified,unspecified
WATERVLIET SENIOR HIGH SCHOOL,MI-11320-04398,263546007156,unspecified,unspecified
FOWLERVILLE HIGH SCHOOL,MI-47030-01286,261473005170,unspecified,unspecified
MANISTIQUE MIDDLE AND HIGH SCHOOL,MI-77010-02340,262247005963,unspecified,unspecified
LUDINGTON HIGH SCHOOL,MI-53040-02279,262220005933,unspecified,unspecified
PECK JR./SR. HIGH SCHOOL,MI-76180-05345,262769006354,unspecified,unspecified
WESTERN HIGH SCHOOL,MI-38010-04476,263594007200,unspecified,unspecified
CASS CITY JR. AND SR. HIGH SCHOOL,MI-79030-00552,260840004391,unspecified,unspecified
EASTERN HIGH SCHOOL,MI-41110-09316,261461001662,unspecified,unspecified
HESPERIA COMMUNITY EDUCATION,MI-62060-07917,261827001896,unspecified,unspecified
WAYNE MEMORIAL HIGH SCHOOL,MI-82160-04407,260001503903,unspecified,unspecified
ANNAPOLIS HIGH SCHOOL,MI-82040-04950,261161004618,unspecified,unspecified
BROWN CITY HIGH SCHOOL,MI-76060-00421,260704004301,unspecified,unspecified
VESTABURG COMMUNITY HIGH SCHOOL,MI-59150-04296,263492007059,unspecified,unspecified
DETOUR ARTS AND TECHNOLOGY ACADEMY,MI-17903-00489,260098008109,unspecified,unspecified
EAST JACKSON HIGH SCHOOL,MI-38090-01017,261254004967,unspecified,unspecified
CARMAN-AINSWORTH HIGH SCHOOL,MI-25080-05009,260789004373,unspecified,unspecified
GRAND TRAVERSE ACADEMY,MI-28902-08703,260026501343,unspecified,unspecified
KELLOGGSVILLE HIGH SCHOOL,MI-41140-02005,262016005697,unspecified,unspecified
MONA SHORES HIGH SCHOOL,MI-61060-02587,262412006085,unspecified,unspecified
MERRILL HIGH SCHOOL,MI-73230-02519,262361006040,unspecified,unspecified
YALE SENIOR HIGH SCHOOL,MI-74130-04613,263660007275,unspecified,unspecified
MAPLE CITY-GLEN LAKE JR/SR HIGH SCHOOL,MI-45010-01417,261602005253,unspecified,unspecified
BAY CITY WESTERN HIGH SCHOOL,MI-09010-06257,260426004113,unspecified,unspecified
PORT HURON NORTHERN HIGH SCHOOL,MI-74010-03090,262883006473,unspecified,unspecified
CLARENCEVILLE HIGH SCHOOL,MI-63090-00700,260984004469,unspecified,unspecified
GREAT LAKES CYBER ACADEMY,MI-33914-01878,260105008571,unspecified,unspecified
PLYMOUTH HIGH SCHOOL,MI-82100-08997,262856001464,unspecified,unspecified
SALEM HIGH SCHOOL,MI-82100-05770,262856006419,unspecified,unspecified
BATTLE CREEK CENTRAL HIGH SCHOOL,MI-13020-00223,260000503830,unspecified,unspecified
TRENTON HIGH SCHOOL,MI-82155-04203,263390006956,unspecified,unspecified
CLARKSTON JUNIOR HIGH SCHOOL,MI-63190-00705,260990004474,unspecified,unspecified
HAMILTON MIDDLE SCHOOL,MI-03100-08890,261740001319,unspecified,unspecified
LAPEER COMMUNITY HIGH SCHOOL,MI-44010-07468,262118007659,unspecified,unspecified
