Name,Breed Group,Bred For,Min Life Span,Max Life Span,Min Height,Max Height,Min Weight,Max Weight,Temperament,Image URL
Italian Greyhound,Toy,Lapdog,12,15,13,15,7,15,"Mischievous, Affectionate, Agile, Athletic, Companionable, Intelligent",https://cdn2.thedogapi.com/images/SJAnzg9NX_1280.jpg
Japanese Chin,Toy,Lapdog,12,14,8,11,4,9,"Alert, Loyal, Independent, Intelligent, Loving, Cat-like",https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg
Keeshond,Non-Sporting,Barge watchdog,12,15,17,18,35,45,"Agile, Obedient, Playful, Quick, Sturdy, Bright",https://cdn2.thedogapi.com/images/S1GAGg9Vm_1280.jpg
Komondor,Working,Sheep guardian,10,12,25.5,27.5,80,100,"Steady, Fearless, Affectionate, Independent, Gentle, Calm",https://cdn2.thedogapi.com/images/Bko0fl547_1280.jpg
Kuvasz,Working,"Guardian, hunting large game",8,10,26,30,70,115,"Clownish, Loyal, Patient, Independent, Intelligent, Protective",https://cdn2.thedogapi.com/images/BykZ7ecVX_1280.jpg
Labrador Retriever,Sporting,Water retrieving,10,13,21.5,24.5,55,80,"Kind, Outgoing, Agile, Gentle, Intelligent, Trusting, Even Tempered",https://cdn2.thedogapi.com/images/B1uW7l5VX_1280.jpg
Lagotto Romagnolo,Sporting,Water retrieval dog in the marshes of Romagna,14,16,16,19,24,35,"Keen, Loyal, Companionable, Loving, Active, Trainable",https://cdn2.thedogapi.com/images/ryzzmgqE7_1280.jpg
Leonberger,Working,"Guardian, appearance.",6,8,25.5,31.5,120,170,"Obedient, Fearless, Loyal, Companionable, Adaptable, Loving",https://cdn2.thedogapi.com/images/ByrmQlqVm_1280.jpg
Lhasa Apso,Non-Sporting,"Guarding inside the home, companion",12,15,10,11,12,18,"Steady, Fearless, Friendly, Devoted, Assertive, Spirited, Energetic, Lively, Alert, Obedient, Playful, Intelligent",https://cdn2.thedogapi.com/images/SJp7Qe5EX_1280.jpg
Maltese,Toy,Lapdog,15,18,8,10,4,7,"Playful, Docile, Fearless, Affectionate, Sweet-Tempered, Lively, Responsive, Easygoing, Gentle, Intelligent, Active",https://cdn2.thedogapi.com/images/B1SV7gqN7_1280.jpg
