State,Code,Nickname,Website,Admission Year,Admission Number,Capital,Capital Website,Population,Population Rank,Constitution URL,State Flag URL,State Seal URL,Map URL,Landscape Background URL,Skyline Background URL,Twitter,Facebook,Area (Square Miles),Median Household Income (USD),Percent of Population in Poverty,Violent Crimes per Thousand People 2018,Percent Adult with Bachelors Degree
Massachusetts,MA,Bay State,http://www.mass.gov,1788,6,Boston,http://www.ci.boston.ma.us,6692824,14,http://www.state.ma.us/legis/const.htm,https://cdn.civil.services/us-states/flags/massachusetts-large.png,https://cdn.civil.services/us-states/seals/massachusetts-large.png,https://cdn.civil.services/us-states/maps/massachusetts-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/massachusetts.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/massachusetts.jpg,http://twitter.com/massgov,https://www.facebook.com/massgov,10554.39,74167,9.8,1.121484993,42.1
Michigan,MI,Wolverine State / Great Lakes State,http://www.michigan.gov,1837,26,Lansing,http://cityoflansingmi.com,9895622,9,http://www.legislature.mi.gov/(S(hrowl12tg05hemnnkidim1jb))/mileg.aspx?page=GetObject&objectname=mcl-Constitution,https://cdn.civil.services/us-states/flags/michigan-large.png,https://cdn.civil.services/us-states/seals/michigan-large.png,https://cdn.civil.services/us-states/maps/michigan-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/michigan.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/michigan.jpg,https://twitter.com/migov,https://www.facebook.com/MIgovernment,96713.51,52668,11.0,4.49363565,28.1
Minnesota,MN,"North Star State / Land of 10,000 Lakes",https://mn.gov,1858,32,Saint Paul,http://www.stpaul.gov,5420380,21,http://www.house.leg.state.mn.us/cco/rules/mncon/preamble.htm,https://cdn.civil.services/us-states/flags/minnesota-large.png,https://cdn.civil.services/us-states/seals/minnesota-large.png,https://cdn.civil.services/us-states/maps/minnesota-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/minnesota.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/minnesota.jpg,,,86935.83,65699,8.7,2.204349567,34.8
Mississippi,MS,Magnolia State,http://www.ms.gov,1817,20,Jackson,http://www.city.jackson.ms.us,2991207,31,http://law.justia.com/constitution/mississippi,https://cdn.civil.services/us-states/flags/mississippi-large.png,https://cdn.civil.services/us-states/seals/mississippi-large.png,https://cdn.civil.services/us-states/maps/mississippi-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/mississippi.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/mississippi.jpg,https://twitter.com/msdotgov,https://www.facebook.com/msdotgov,48431.78,42009,19.8,5.020524114,21.3
Missouri,MO,Show Me State,https://www.mo.gov,1821,24,Jefferson City,http://www.jeffcitymo.org,6044171,18,http://www.moga.mo.gov/mostatutes/moconstn.html,https://cdn.civil.services/us-states/flags/missouri-large.png,https://cdn.civil.services/us-states/seals/missouri-large.png,https://cdn.civil.services/us-states/maps/missouri-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/missouri.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/missouri.jpg,https://twitter.com/MoGov,https://www.facebook.com/mogov,69706.99,51542,11.9,2.343522416,28.2
Montana,MT,Treasure State,http://mt.gov,1889,41,Helena,http://www.ci.helena.mt.us,1015165,44,http://courts.mt.gov/content/library/docs/72constit.pdf,https://cdn.civil.services/us-states/flags/montana-large.png,https://cdn.civil.services/us-states/seals/montana-large.png,https://cdn.civil.services/us-states/maps/montana-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/montana.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/montana.jpg,,,147039.71,50801,10.4,3.740921863,30.7
Nebraska,NE,Cornhusker State,http://www.nebraska.gov,1867,37,Lincoln,http://lincoln.ne.gov,1868516,37,http://www.state.ne.us/legislative/statutes/C,https://cdn.civil.services/us-states/flags/nebraska-large.png,https://cdn.civil.services/us-states/seals/nebraska-large.png,https://cdn.civil.services/us-states/maps/nebraska-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nebraska.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nebraska.jpg,https://twitter.com/Nebraskagov,https://www.facebook.com/nebraska.gov,77347.81,56675,10.4,3.776139728,30.6
Nevada,NV,The Silver State,http://nv.gov,1864,36,Carson City,http://www.carson.org,2790136,35,http://www.leg.state.nv.us/Const/NvConst.html,https://cdn.civil.services/us-states/flags/nevada-large.png,https://cdn.civil.services/us-states/seals/nevada-large.png,https://cdn.civil.services/us-states/maps/nevada-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/nevada.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/nevada.jpg,,,110571.82,55434,12.2,2.806294625,23.7
New Hampshire,NH,Granite State,https://www.nh.gov,1788,9,Concord,http://www.concordnh.gov,1323459,42,http://www.state.nh.us/constitution/constitution.html,https://cdn.civil.services/us-states/flags/new-hampshire-large.png,https://cdn.civil.services/us-states/seals/new-hampshire-large.png,https://cdn.civil.services/us-states/maps/new-hampshire-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-hampshire.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-hampshire.jpg,https://twitter.com/nhgov,,9349.16,71305,6.4,2.847712189,36.0
New Jersey,NJ,Garden State,http://www.state.nj.us,1787,3,Trenton,http://www.trentonnj.org,8899339,11,http://www.njleg.state.nj.us/lawsconstitution/consearch.asp,https://cdn.civil.services/us-states/flags/new-jersey-large.png,https://cdn.civil.services/us-states/seals/new-jersey-large.png,https://cdn.civil.services/us-states/maps/new-jersey-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-jersey.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-jersey.jpg,,,8722.58,76475,9.1,1.731715984,38.1
New Mexico,NM,Land of Enchantment,http://www.newmexico.gov,1912,47,Santa Fe,http://www.santafenm.gov,2085287,36,http://www.loc.gov/law/guide/us-nm.html,https://cdn.civil.services/us-states/flags/new-mexico-large.png,https://cdn.civil.services/us-states/seals/new-mexico-large.png,https://cdn.civil.services/us-states/maps/new-mexico-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-mexico.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-mexico.jpg,,,121590.30,46718,18.7,2.080817016,26.9
New York,NY,Empire State,http://www.ny.gov,1788,11,Albany,http://www.albanyny.org,19651127,3,https://www.dos.ny.gov/info/constitution.htm,https://cdn.civil.services/us-states/flags/new-york-large.png,https://cdn.civil.services/us-states/seals/new-york-large.png,https://cdn.civil.services/us-states/maps/new-york-large.png,https://cdn.civil.services/us-states/backgrounds/1280x720/landscape/new-york.jpg,https://cdn.civil.services/us-states/backgrounds/1280x720/skyline/new-york.jpg,https://twitter.com/nygov,,54554.98,62765,11.8,8.56579181,35.3
