Word,Part of Speech,Per Million Words,Length
hurt,verb,76.5,4
recall,verb,76.5,6
labor,noun,76.4,5
scale,noun,76.4,5
original,adjective,76.4,8
concerned,adjective,76.3,9
refer,verb,76.3,5
release,verb,76.2,7
nobody,pronoun,76.2,6
sorry,adjective,76.2,5
nuclear,adjective,76.1,7
variety,noun,76.1,7
safety,noun,76.0,6
freedom,noun,75.9,7
act,noun,75.8,3
directly,adverb,75.8,8
client,noun,75.6,6
experience,verb,75.6,10
define,verb,75.5,6
plane,noun,75.3,5
investigation,noun,75.2,13
track,noun,75.1,5
status,noun,74.5,6
perfect,adjective,74.3,7
involved,adjective,74.3,8
press,noun,74.2,5
slowly,adverb,74.2,6
argument,noun,74.2,8
attend,verb,74.2,6
encourage,verb,74.1,9
feature,noun,74.1,7
announce,verb,74.0,8
weekend,noun,73.9,7
strike,verb,73.9,6
afternoon,noun,73.8,9
generally,adverb,73.8,9
powerful,adjective,73.7,8
immediately,adverb,73.5,11
element,noun,73.5,7
conversation,noun,73.4,12
hope,noun,73.4,4
university,noun,73.3,10
nine,number,73.3,4
turn,noun,73.2,4
spirit,noun,73.2,6
British,adjective,73.2,7
insurance,noun,73.2,9
crisis,noun,73.2,6
fan,noun,73.2,3
brain,noun,73.0,5
complete,verb,72.9,8
survey,noun,72.9,6
replace,verb,72.6,7
camp,noun,72.6,4
sun,noun,72.5,3
ship,noun,72.4,4
by,adverb,72.4,2
completely,adverb,72.3,10
stone,noun,72.3,5
along,adverb,72.2,5
possibility,noun,72.1,11
sample,noun,72.1,6
dozen,number,72.1,5
vision,noun,71.9,6
Chinese,adjective,71.9,7
park,noun,71.8,4
text,noun,71.8,4
hole,noun,71.8,4
stick,verb,71.7,5
department,noun,71.7,10
once,conjunction,71.5,4
lack,noun,71.5,4
sales,noun,71.4,5
tradition,noun,71.4,9
bit,adverb,71.3,3
front,adjective,71.3,5
boat,noun,71.3,4
drink,verb,71.3,5
solution,noun,71.2,8
battle,noun,71.1,6
attempt,noun,71.0,7
beginning,noun,70.8,9
through,adverb,70.8,7
resident,noun,70.7,8
very,adjective,70.7,4
wood,noun,70.7,4
easily,adverb,70.6,6
ice,noun,70.4,3
driver,noun,70.3,6
spot,noun,70.2,4
Ms,noun,70.2,2
roll,verb,70.2,4
communication,noun,70.2,13
truck,noun,70.1,5
future,adjective,70.0,6
date,noun,69.9,4
European,adjective,69.9,8
reader,noun,69.9,6
distance,noun,69.7,8
introduce,verb,69.7,9
district,noun,69.6,8
run,noun,69.6,3
mountain,noun,69.6,8
understanding,noun,69.6,13
obviously,adverb,69.6,9
potential,adjective,69.5,9
normal,adjective,69.5,6
increase,noun,69.4,8
winter,noun,69.4,6
identity,noun,69.3,8
hide,verb,69.1,4
return,noun,69.0,6
independent,adjective,69.0,11
apartment,noun,68.9,9
supposed,adjective,68.9,8
terms,preposition,68.9,5
horse,noun,68.9,5
express,verb,68.8,7
contract,noun,68.7,8
club,noun,68.4,4
screen,noun,68.4,6
share,noun,68.3,5
village,noun,68.3,7
observe,verb,68.3,7
gold,noun,68.3,4
Christian,adjective,68.3,9
inside,adverb,68.3,6
gain,verb,68.1,4
present,adjective,68.1,7
handle,verb,68.1,6
presence,noun,68.1,8
crowd,noun,67.9,5
demand,noun,67.8,6
previous,adjective,67.8,8
ride,verb,67.7,4
reporter,noun,67.6,8
associate,verb,67.6,9
shape,noun,67.5,5
basis,noun,67.5,5
farm,noun,67.3,4
tool,noun,67.3,4
prison,noun,67.2,6
middle,noun,67.1,6
refuse,verb,67.1,6
guard,noun,67.0,5
facility,noun,66.9,8
tomorrow,adverb,66.9,8
contribute,verb,66.9,10
leadership,noun,66.8,10
principle,noun,66.7,9
pound,noun,66.5,5
target,noun,66.4,6
technique,noun,66.3,9
bright,adjective,66.2,6
additional,adjective,66.2,10
strength,noun,66.2,8
band,noun,66.2,4
tiny,adjective,66.1,4
light,adjective,66.1,5
average,adjective,66.0,7
cry,verb,66.0,3
promote,verb,66.0,7
willing,adjective,65.9,7
ear,noun,65.8,3
while,noun,65.7,5
earn,verb,65.7,4
highly,adverb,65.7,6
flight,noun,65.6,6
result,verb,65.6,6
emerge,verb,65.5,6
kind,adverb,65.5,4
wild,adjective,65.5,4
aspect,noun,65.5,6
document,noun,65.4,8
vehicle,noun,65.4,7
lift,verb,65.2,4
operate,verb,65.2,7
advantage,noun,65.2,9
protection,noun,65.2,10
guest,noun,65.2,5
title,noun,64.9,5
demonstrate,verb,64.8,11
deliver,verb,64.8,7
interested,adjective,64.8,10
context,noun,64.7,7
quick,adjective,64.7,5
procedure,noun,64.5,9
mean,noun,64.4,4
collect,verb,64.3,7
limit,verb,64.2,5
learning,noun,64.2,8
river,noun,64.1,5
belief,noun,64.1,6
count,verb,64.1,5
settle,verb,64.1,6
block,noun,64.1,5
competition,noun,63.9,11
living,noun,63.9,6
marry,verb,63.8,5
faith,noun,63.8,5
anybody,pronoun,63.8,7
folk,noun,63.8,4
smile,noun,63.8,5
border,noun,63.6,6
lesson,noun,63.6,6
measure,verb,63.6,7
claim,noun,63.6,5
warm,adjective,63.6,4
shop,noun,63.5,4
chairman,noun,63.5,8
baseball,noun,63.4,8
jump,verb,63.3,4
feed,verb,63.3,4
annual,adjective,63.3,6
influence,noun,63.1,9
path,noun,63.0,4
murder,noun,63.0,6
coffee,noun,63.0,6
perspective,noun,62.9,11
past,preposition,62.8,4
finding,noun,62.8,7
critic,noun,62.8,6
failure,noun,62.7,7
religion,noun,62.7,8
academic,adjective,62.7,8
engage,verb,62.7,6
mostly,adverb,62.6,6
anyway,adverb,62.6,6
review,noun,62.5,6
Christmas,noun,62.3,9
native,adjective,62.3,6
equipment,noun,62.3,9
function,noun,62.2,8
soft,adjective,62.2,4
female,adjective,62.1,6
order,verb,62.1,5
egg,noun,62.0,3
unless,conjunction,62.0,6
fit,verb,61.9,3
voter,noun,61.7,5
youth,noun,61.7,5
speed,noun,61.6,5
editor,noun,61.6,6
afraid,adjective,61.6,6
cook,verb,61.6,4
comment,noun,61.6,7
worth,preposition,61.5,5
survive,verb,61.5,7
gather,verb,61.5,6
hey,interjection,61.5,3
French,adjective,61.3,6
responsible,adjective,61.3,11
intelligence,noun,61.2,12
classroom,noun,61.2,9
cross,verb,61.2,5
wonderful,adjective,61.1,9
approach,verb,61.0,8
affair,noun,61.0,6
nod,verb,60.6,3
spread,verb,60.6,6
historical,adjective,60.6,10
view,verb,60.6,4
blow,verb,60.6,4
regular,adjective,60.5,7
category,noun,60.5,8
insist,verb,60.5,6
broad,adjective,60.4,5
grade,noun,60.4,5
quarter,noun,60.3,7
construction,noun,60.3,12
Indian,adjective,60.2,6
search,noun,60.2,6
suit,noun,60.1,4
gift,noun,60.1,4
clothes,noun,60.1,7
ignore,verb,60.1,6
until,preposition,60.0,5
Internet,noun,60.0,8
moral,adjective,60.0,5
grab,verb,59.9,4
shoe,noun,59.9,4
commit,verb,59.9,6
background,noun,59.8,10
lean,verb,59.8,4
slightly,adverb,59.7,8
growing,adjective,59.7,7
negative,adjective,59.7,8
wave,noun,59.7,4
focus,noun,59.6,5
reaction,noun,59.5,8
below,adverb,59.5,5
quiet,adjective,59.4,5
move,noun,59.4,4
committee,noun,59.3,9
wine,noun,59.3,4
deny,verb,59.3,4
dress,verb,59.3,5
burn,verb,59.2,4
following,adjective,59.2,9
threaten,verb,59.1,8
combine,verb,59.0,7
average,noun,59.0,7
connection,noun,59.0,10
apparently,adverb,58.9,10
active,adjective,58.9,6
participate,verb,58.9,11
relatively,adverb,58.8,10
location,noun,58.8,8
chief,adjective,58.8,5
twice,adverb,58.8,5
charge,verb,58.7,6
victory,noun,58.7,7
United,adjective,58.7,6
drive,noun,58.6,5
assessment,noun,58.5,10
bone,noun,58.4,4
cool,adjective,58.4,4
literature,noun,58.3,10
appropriate,adjective,58.3,11
yesterday,adverb,58.3,9
destroy,verb,58.2,7
mistake,noun,58.0,7
primary,adjective,57.9,7
democracy,noun,57.9,9
healthy,adjective,57.8,7
direct,adjective,57.8,6
extend,verb,57.7,6
exercise,noun,57.6,8
knee,noun,57.6,4
bus,noun,57.4,3
tour,noun,57.3,4
application,noun,57.2,11
tape,noun,57.2,4
promise,verb,57.2,7
next,preposition,57.2,4
neck,noun,57.1,4
complete,adjective,57.1,8
flower,noun,57.0,6
remind,verb,56.7,6
medicine,noun,56.7,8
aware,adjective,56.7,5
neighbor,noun,56.7,8
photo,noun,56.6,5
Iraqi,adjective,56.5,5
key,noun,56.5,3
lady,noun,56.5,4
depend,verb,56.5,6
fire,verb,56.4,4
justice,noun,56.4,7
cut,noun,56.3,3
tall,adjective,56.2,4
pair,noun,56.2,4
educational,adjective,56.2,11
football,noun,56.2,8
lip,noun,56.1,3
welcome,verb,56.1,7
contact,noun,56.0,7
demand,verb,56.0,6
instruction,noun,56.0,11
daily,adjective,56.0,5
dangerous,adjective,55.9,9
eastern,adjective,55.8,7
hire,verb,55.7,4
fair,adjective,55.7,4
visit,noun,55.6,5
writing,noun,55.5,7
importance,noun,55.4,10
hate,verb,55.4,4
supply,noun,55.4,6
device,noun,55.4,6
male,adjective,55.3,4
actor,noun,55.2,5
fat,noun,55.2,3
fully,adverb,55.2,5
exchange,noun,55.2,8
shut,verb,55.1,4
studio,noun,55.0,6
expression,noun,55.0,10
circle,noun,55.0,6
press,verb,54.9,5
salt,noun,54.9,4
breath,noun,54.8,6
bottom,noun,54.8,6
progress,noun,54.8,8
famous,adjective,54.7,6
plate,noun,54.6,5
plastic,noun,54.6,7
obtain,verb,54.5,6
abuse,noun,54.5,5
familiar,adjective,54.5,8
birth,noun,54.5,5
chicken,noun,54.4,7
theater,noun,54.3,7
tie,verb,54.2,3
front,noun,54.2,5
teaching,noun,54.2,8
colleague,noun,54.2,9
climb,verb,54.1,5
will,noun,54.1,4
clean,adjective,54.1,5
domestic,adjective,54.0,8
island,noun,54.0,6
sugar,noun,54.0,5
okay,adverb,53.9,4
alive,adjective,53.7,5
damage,noun,53.7,6
rain,noun,53.6,4
jury,noun,53.5,4
start,noun,53.5,5
meaning,noun,53.5,7
presidential,adjective,53.5,12
leaf,noun,53.4,4
paint,verb,53.4,5
session,noun,53.4,7
poll,noun,53.4,4
extra,adjective,53.3,5
desire,noun,53.3,6
train,verb,53.3,5
attack,verb,53.3,6
software,noun,53.2,8
injury,noun,53.2,6
fuel,noun,53.2,4
army,noun,53.2,4
reading,noun,53.2,7
Supreme,adjective,53.1,7
ticket,noun,53.1,6
urban,adjective,53.1,5
athlete,noun,53.0,7
above,adverb,53.0,5
sweet,adjective,53.0,5
instrument,noun,53.0,10
dry,adjective,52.9,3
otherwise,adverb,52.9,9
northern,adjective,52.9,8
complex,adjective,52.8,7
lots,pronoun,52.8,4
strange,adjective,52.8,7
explore,verb,52.8,7
Russian,adjective,52.8,7
scientific,adjective,52.6,10
map,noun,52.6,3
mental,adjective,52.6,6
corporate,adjective,52.5,9
engine,noun,52.5,6
pocket,noun,52.4,6
planet,noun,52.4,6
intend,verb,52.3,6
increasingly,adverb,52.3,12
somewhere,adverb,52.3,9
desk,noun,52.1,4
mom,noun,52.1,3
expand,verb,52.0,6
disappear,verb,52.0,9
empty,adjective,51.9,5
pool,noun,51.9,4
metal,noun,51.8,5
consequence,noun,51.8,11
lead,noun,51.8,4
direct,verb,51.8,6
respect,noun,51.7,7
basically,adverb,51.7,9
danger,noun,51.7,6
fourth,number,51.6,6
lunch,noun,51.6,5
fight,noun,51.6,5
thin,adjective,51.5,4
regional,adjective,51.5,8
minority,noun,51.5,8
favorite,adjective,51.5,8
commitment,noun,51.4,10
temperature,noun,51.4,11
alone,adjective,51.3,5
thanks,noun,51.2,6
conclusion,noun,51.2,10
trail,noun,51.2,5
farmer,noun,51.1,6
predict,verb,51.0,7
straight,adverb,51.0,8
adopt,verb,50.8,5
sight,noun,50.8,5
variable,noun,50.8,8
carefully,adverb,50.7,9
proposal,noun,50.7,8
shadow,noun,50.7,6
emotional,adjective,50.6,9
attempt,verb,50.6,7
works,noun,50.5,5
outcome,noun,50.5,7
soul,noun,50.5,4
county,noun,50.4,6
greatest,adjective,50.4,8
analyst,noun,50.4,7
aid,noun,50.3,3
ethnic,adjective,50.3,6
repeat,verb,50.3,6
enemy,noun,50.3,5
weather,noun,50.2,7
storm,noun,50.1,5
panel,noun,50.1,5
chest,noun,50.0,5
theme,noun,50.0,5
regulation,noun,50.0,10
e-mail,noun,49.9,6
yellow,adjective,49.9,6
revenue,noun,49.9,7
investor,noun,49.8,8
fruit,noun,49.8,5
male,noun,49.8,4
novel,noun,49.8,5
surround,verb,49.8,8
organize,verb,49.8,8
union,noun,49.7,5
breast,noun,49.7,6
married,adjective,49.7,7
loan,noun,49.6,4
cover,noun,49.6,5
difficulty,noun,49.5,10
surprise,noun,49.5,8
somehow,adverb,49.5,7
conclude,verb,49.4,8
balance,noun,49.4,7
impossible,adjective,49.4,10
generate,verb,49.4,8
bear,verb,49.3,4
gender,noun,49.3,6
invite,verb,49.2,6
connect,verb,49.1,7
largely,adverb,49.1,7
component,noun,49.1,9
prime,adjective,49.1,5
significantly,adverb,49.0,13
half,noun,49.0,4
internal,adjective,48.9,8
human,noun,48.9,5
photograph,noun,48.9,10
code,noun,48.9,4
setting,noun,48.9,7
acknowledge,verb,48.9,11
advice,noun,48.8,6
record,verb,48.8,6
nose,noun,48.8,4
thick,adjective,48.7,5
muscle,noun,48.7,6
trend,noun,48.7,5
ring,noun,48.6,4
belong,verb,48.6,6
locate,verb,48.5,6
content,noun,48.5,7
stress,noun,48.5,6
notion,noun,48.4,6
Japanese,adjective,48.4,8
dance,noun,48.4,5
anymore,adverb,48.4,7
train,noun,48.4,5
profit,noun,48.3,6
extent,noun,48.3,6
like,adjective,48.3,4
museum,noun,48.3,6
limit,noun,48.3,5
recommend,verb,48.2,9
expensive,adjective,48.2,9
being,noun,48.2,5
propose,verb,48.2,7
feature,verb,48.2,7
package,noun,48.1,7
thinking,noun,48.1,8
currently,adverb,48.1,9
select,verb,48.0,6
contrast,noun,48.0,8
bottle,noun,47.9,6
hearing,noun,47.9,7
meal,noun,47.9,4
outside,adverb,47.9,7
ought,verb,47.9,5
under,adverb,47.8,5
bridge,noun,47.8,6
visitor,noun,47.8,7
shirt,noun,47.7,5
angry,adjective,47.7,5
influence,verb,47.7,9
unique,adjective,47.6,6
deep,adverb,47.6,4
struggle,verb,47.5,8
dress,noun,47.5,5
earth,noun,47.4,5
cash,noun,47.4,4
ensure,verb,47.4,6
link,verb,47.4,4
fear,verb,47.4,4
wake,verb,47.4,4
shift,verb,47.4,5
actual,adjective,47.4,6
traffic,noun,47.3,7
crew,noun,47.2,4
mark,verb,47.2,4
slip,verb,47.2,4
last,verb,47.2,4
brown,adjective,47.1,5
silence,noun,47.0,7
appearance,noun,47.0,10
due,preposition,47.0,3
cat,noun,47.0,3
capacity,noun,46.9,8
comfortable,adjective,46.9,11
regime,noun,46.9,6
perception,noun,46.9,10
ad,noun,46.8,2
beauty,noun,46.8,6
obvious,adjective,46.8,7
intervention,noun,46.7,12
capture,verb,46.7,7
snow,noun,46.7,4
golf,noun,46.6,4
accident,noun,46.6,8
but,preposition,46.6,3
basketball,noun,46.6,10
possibly,adverb,46.6,8
prefer,verb,46.5,6
search,verb,46.5,6
standard,adjective,46.5,8
soil,noun,46.5,4
contribution,noun,46.5,12
sick,adjective,46.5,4
airport,noun,46.4,7
Catholic,adjective,46.4,8
long-term,adjective,46.3,9
file,noun,46.3,4
appreciate,verb,46.2,10
governor,noun,46.2,8
emergency,noun,46.2,9
sheet,noun,46.2,5
root,noun,46.2,4
percentage,noun,46.2,10
launch,verb,46.1,6
hardly,adverb,46.1,6
user,noun,46.0,4
estate,noun,45.9,6
bowl,noun,45.9,4
guide,noun,45.9,5
mix,verb,45.9,3
topic,noun,45.9,5
correct,adjective,45.8,7
truly,adverb,45.7,5
declare,verb,45.7,7
matter,verb,45.6,6
tooth,noun,45.6,5
defend,verb,45.6,6
challenge,verb,45.6,9
frequently,adverb,45.6,10
estimate,verb,45.5,8
zone,noun,45.5,4
chief,noun,45.5,5
rating,noun,45.4,6
slow,adjective,45.3,4
funny,adjective,45.3,5
score,verb,45.3,5
ultimately,adverb,45.3,10
bedroom,noun,45.3,7
politician,noun,45.2,10
requirement,noun,45.2,11
crazy,adjective,45.2,5
judge,verb,45.2,5
extremely,adverb,45.1,9
circumstance,noun,45.1,12
steal,verb,45.1,5
meat,noun,45.0,4
fee,noun,45.0,3
hall,noun,45.0,4
English,adjective,45.0,7
pepper,noun,44.9,6
duty,noun,44.9,4
Jewish,adjective,44.9,6
pilot,noun,44.9,5
stir,verb,44.8,4
landscape,noun,44.8,9
dad,noun,44.8,3
pursue,verb,44.7,6
surgery,noun,44.7,7
investigate,verb,44.7,11
faculty,noun,44.7,7
neither,adverb,44.7,7
just,adjective,44.7,4
German,adjective,44.7,6
kick,verb,44.6,4
mirror,noun,44.6,6
range,verb,44.6,5
combination,noun,44.5,11
frame,noun,44.5,5
manner,noun,44.5,6
warn,verb,44.4,4
equal,adjective,44.3,5
beside,preposition,44.3,6
ourselves,pronoun,44.3,9
part,adverb,44.2,4
bond,noun,44.1,4
golden,adjective,44.1,6
opposition,noun,44.1,10
tear,noun,44.0,4
ancient,adjective,44.0,7
blame,verb,44.0,5
mean,adjective,44.0,4
conservative,adjective,44.0,12
eliminate,verb,43.9,9
division,noun,43.9,8
league,noun,43.9,6
late,adverb,43.8,4
typical,adjective,43.8,7
chain,noun,43.8,5
producer,noun,43.7,8
his,pronoun,43.7,3
motion,noun,43.7,6
branch,noun,43.6,6
official,adjective,43.6,8
length,noun,43.6,6
characteristic,noun,43.6,14
rely,verb,43.6,4
expectation,noun,43.6,11
except,preposition,43.5,6
welfare,noun,43.5,7
address,noun,43.5,7
appeal,noun,43.5,6
reference,noun,43.5,9
forth,adverb,43.4,5
coverage,noun,43.4,8
row,noun,43.4,3
multiple,adjective,43.4,8
debt,noun,43.3,4
meanwhile,adverb,43.3,9
solve,verb,43.3,5
relief,noun,43.3,6
trust,verb,43.3,5
ocean,noun,43.2,5
file,verb,43.1,4
industrial,adjective,43.1,10
gray,adjective,43.1,4
account,verb,43.1,7
host,noun,43.1,4
nurse,noun,43.1,5
smart,adjective,43.0,5
vegetable,noun,43.0,9
fix,verb,43.0,3
beer,noun,43.0,4
confirm,verb,42.9,7
judgment,noun,42.9,8
telephone,noun,42.9,9
issue,verb,42.9,5
pour,verb,42.9,4
contemporary,adjective,42.9,12
long,conjunction,42.7,4
assess,verb,42.7,6
winner,noun,42.7,6
cloud,noun,42.7,5
back,verb,42.7,4
era,noun,42.7,3
attract,verb,42.7,7
curriculum,noun,42.7,10
tank,noun,42.6,4
minister,noun,42.6,8
interaction,noun,42.5,11
used,adjective,42.5,4
now,conjunction,42.5,3
secret,noun,42.5,6
sector,noun,42.5,6
complain,verb,42.4,8
pleasure,noun,42.4,8
seed,noun,42.4,4
entirely,adverb,42.4,8
waste,noun,42.4,5
separate,adjective,42.4,8
aside,adverb,42.3,5
beneath,preposition,42.3,7
afford,verb,42.3,6
overall,adjective,42.3,7
essential,adjective,42.3,9
wing,noun,42.3,4
initial,adjective,42.3,7
struggle,noun,42.3,8
stretch,verb,42.3,7
clear,verb,42.3,5
cite,verb,42.2,4
achievement,noun,42.2,11
volume,noun,42.2,6
fun,noun,42.2,3
increased,adjective,42.2,9
rare,adjective,42.2,4
improvement,noun,42.2,11
anywhere,adverb,42.2,8
confidence,noun,42.1,10
emphasize,verb,42.1,9
female,noun,42.1,6
abortion,noun,42.1,8
resolution,noun,42.0,10
witness,noun,42.0,7
rest,verb,42.0,4
employ,verb,42.0,6
stand,noun,42.0,5
hi,interjection,42.0,2
dish,noun,42.0,4
master,noun,42.0,6
specifically,adverb,41.9,12
tip,noun,41.9,3
except,conjunction,41.9,6
surprised,adjective,41.8,9
somewhat,adverb,41.8,8
clean,verb,41.7,5
check,noun,41.7,5
totally,adverb,41.6,7
English,noun,41.6,7
rural,adjective,41.5,5
terrible,adjective,41.5,8
travel,noun,41.4,6
grant,verb,41.3,5
tired,adjective,41.3,5
core,noun,41.3,4
rush,verb,41.2,4
doubt,noun,41.2,5
barely,adverb,41.2,6
limited,adjective,41.2,7
busy,adjective,41.1,4
oppose,verb,41.1,6
fashion,noun,41.1,7
flow,noun,41.0,4
beach,noun,41.0,5
household,noun,41.0,9
cream,noun,41.0,5
black,noun,41.0,5
experiment,noun,41.0,10
criminal,adjective,40.9,8
cheap,adjective,40.8,5
below,preposition,40.8,5
hero,noun,40.8,4
divide,verb,40.7,6
necessarily,adverb,40.7,11
seriously,adverb,40.7,9
route,noun,40.7,5
towards,preposition,40.7,7
holiday,noun,40.7,7
wheel,noun,40.7,5
bomb,noun,40.6,4
cable,noun,40.6,5
dance,verb,40.6,5
typically,adverb,40.6,9
separate,verb,40.6,8
copy,noun,40.5,4
hand,verb,40.5,4
liberal,adjective,40.5,7
drink,noun,40.5,5
fewer,determiner,40.5,5
lack,verb,40.5,4
definitely,adverb,40.5,10
useful,adjective,40.5,6
hat,noun,40.4,3
upper,adjective,40.4,5
aim,verb,40.4,3
representative,noun,40.4,14
grass,noun,40.3,5
hill,noun,40.3,4
everywhere,adverb,40.3,10
mass,noun,40.2,4
fishing,noun,40.2,7
merely,adverb,40.2,6
invest,verb,40.2,6
opening,noun,40.1,7
decline,verb,40.1,7
rise,noun,40.1,4
noise,noun,40.1,5
gate,noun,40.0,4
engineer,noun,40.0,8
Israeli,adjective,39.9,7
tone,noun,39.9,4
legislation,noun,39.9,11
question,verb,39.8,8
secretary,noun,39.8,9
Jew,noun,39.8,3
careful,adjective,39.7,7
sleep,noun,39.7,5
incident,noun,39.7,8
apart,adverb,39.7,5
proud,adjective,39.6,5
narrow,adjective,39.6,6
vast,adjective,39.6,4
milk,noun,39.6,4
match,verb,39.5,5
tie,noun,39.5,3
accuse,verb,39.5,6
association,noun,39.5,11
sir,noun,39.4,3
explanation,noun,39.4,11
physician,noun,39.3,9
solid,adjective,39.3,5
reject,verb,39.2,6
ride,noun,39.2,4
addition,preposition,39.2,8
immigrant,noun,39.1,9
creative,adjective,39.1,8
guilty,adjective,39.1,6
technical,adjective,39.1,9
expose,verb,39.1,6
massive,adjective,39.0,7
campus,noun,39.0,6
potential,noun,38.9,9
observation,noun,38.9,11
definition,noun,38.9,10
twenty,number,38.9,6
enormous,adjective,38.8,8
unfortunately,adverb,38.8,13
scholar,noun,38.8,7
talent,noun,38.8,6
plenty,pronoun,38.8,6
acquire,verb,38.7,7
virtually,adverb,38.7,9
succeed,verb,38.7,7
celebrate,verb,38.7,9
cheese,noun,38.7,6
taste,noun,38.7,5
height,noun,38.7,6
sharp,adjective,38.7,5
land,verb,38.7,4
assistance,noun,38.7,10
mind,verb,38.6,4
live,adjective,38.6,4
behind,adverb,38.5,6
promise,noun,38.5,7
scream,verb,38.5,6
first,adverb,38.5,5
approve,verb,38.5,7
visual,adjective,38.5,6
bike,noun,38.5,4
secret,adjective,38.5,6
compete,verb,38.4,7
prosecutor,noun,38.4,10
illegal,adjective,38.4,7
either,determiner,38.3,6
shout,verb,38.3,5
closely,adverb,38.3,7
regarding,preposition,38.3,9
lower,verb,38.2,5
plus,preposition,38.2,4
alternative,noun,38.2,11
escape,verb,38.2,6
climate,noun,38.2,7
participation,noun,38.2,13
perceive,verb,38.2,8
airline,noun,38.1,7
cast,verb,38.1,4
sentence,noun,38.1,8
cigarette,noun,38.1,9
knock,verb,38.1,5
spiritual,adjective,37.9,9
wrap,verb,37.9,4
criticism,noun,37.9,9
proper,adjective,37.8,6
primarily,adverb,37.8,9
list,verb,37.8,4
unusual,adjective,37.8,7
asset,noun,37.7,5
depression,noun,37.7,10
creation,noun,37.7,8
convince,verb,37.7,8
personality,noun,37.6,11
passenger,noun,37.6,9
diet,noun,37.6,4
fun,adjective,37.6,3
musical,adjective,37.6,7
review,verb,37.6,6
forever,adverb,37.5,7
regard,verb,37.5,6
dark,noun,37.5,4
journalist,noun,37.5,10
signal,noun,37.4,6
living,adjective,37.4,6
column,noun,37.4,6
comparison,noun,37.4,10
display,verb,37.3,7
slide,verb,37.3,5
graduate,noun,37.3,8
silent,adjective,37.3,6
outside,adjective,37.3,7
green,noun,37.3,5
permit,verb,37.3,6
Arab,adjective,37.2,4
self,noun,37.1,4
selection,noun,37.1,9
payment,noun,37.1,7
honor,noun,37.1,5
bread,noun,37.1,5
drag,verb,37.1,4
existing,adjective,37.0,8
consist,verb,37.0,7
weak,adjective,37.0,4
offer,noun,36.9,5
hello,interjection,36.9,5
universe,noun,36.9,8
priority,noun,36.9,8
suppose,verb,36.8,7
lucky,adjective,36.8,5
roof,noun,36.7,4
lab,noun,36.7,3
agenda,noun,36.6,6
initiative,noun,36.5,10
planning,noun,36.5,8
description,noun,36.5,11
housing,noun,36.5,7
tea,noun,36.4,3
therapy,noun,36.3,7
consistent,adjective,36.3,10
library,noun,36.3,7
wash,verb,36.3,4
reply,verb,36.2,5
prayer,noun,36.2,6
enable,verb,36.2,6
bend,verb,36.2,4
funding,noun,36.2,7
expense,noun,36.2,7
childhood,noun,36.2,9
layer,noun,36.1,5
request,noun,36.1,7
factory,noun,36.1,7
dramatic,adjective,36.1,8
cop,noun,36.1,3
gap,noun,36.0,3
evaluation,noun,36.0,10
warning,noun,36.0,7
arrest,verb,36.0,6
suspect,verb,36.0,7
settlement,noun,35.9,10
sad,adjective,35.9,3
moreover,adverb,35.9,8
chip,noun,35.9,4
kiss,verb,35.8,4
implement,verb,35.8,9
excellent,adjective,35.8,9
formal,adjective,35.7,6
purchase,verb,35.7,8
emotion,noun,35.7,7
transition,noun,35.7,10
phase,noun,35.7,5
coat,noun,35.6,4
championship,noun,35.6,12
glance,verb,35.6,6
far,conjunction,35.6,3
vs,preposition,35.6,2
widely,adverb,35.6,6
shall,verb,35.5,5
remaining,adjective,35.5,9
schedule,noun,35.5,8
steel,noun,35.5,5
error,noun,35.5,5
exposure,noun,35.5,8
mark,noun,35.5,4
existence,noun,35.5,9
mass,adjective,35.4,4
saving,noun,35.4,6
coach,verb,35.4,5
substance,noun,35.4,9
sauce,noun,35.3,5
unable,adjective,35.3,6
symptom,noun,35.3,7
alcohol,noun,35.3,7
bother,verb,35.3,6
album,noun,35.3,5
reduction,noun,35.2,9
deeply,adverb,35.2,6
online,adjective,35.2,6
lake,noun,35.2,4
territory,noun,35.2,9
wedding,noun,35.2,7
gain,noun,35.2,4
transform,verb,35.1,9
breathe,verb,35.1,7
tablespoon,noun,35.1,10
opponent,noun,35.1,8
mine,pronoun,35.1,4
knife,noun,35.1,5
recover,verb,35.1,7
evaluate,verb,35.1,8
cycle,noun,35.1,5
re,preposition,35.1,2
brief,adjective,35.0,5
teaspoon,noun,35.0,8
hit,noun,35.0,3
violent,adjective,35.0,7
philosophy,noun,35.0,10
manufacturer,noun,35.0,12
link,noun,35.0,4
later,adjective,35.0,5
inform,verb,34.9,6
coalition,noun,34.9,9
passage,noun,34.9,7
fairly,adverb,34.9,6
post,noun,34.9,4
jacket,noun,34.9,6
racial,adjective,34.9,6
interview,verb,34.9,9
resistance,noun,34.9,10
discipline,noun,34.9,10
immediate,adjective,34.8,9
negotiation,noun,34.8,11
portion,noun,34.8,7
leading,adjective,34.8,7
grand,adjective,34.8,5
sand,noun,34.8,4
desert,noun,34.8,6
involvement,noun,34.8,11
print,noun,34.7,5
slow,verb,34.7,4
walk,noun,34.7,4
lock,verb,34.7,4
tension,noun,34.7,7
interpretation,noun,34.7,14
pass,noun,34.7,4
analyze,verb,34.6,7
display,noun,34.6,7
tear,verb,34.6,4
potato,noun,34.6,6
whole,noun,34.6,5
glad,adjective,34.6,4
opposite,adjective,34.6,8
