School Name,School Code
Alabama Connections Academy,10013
Lindsay Lane Christian Academy,10014
Alabama School of Fine Arts,10326
Hoover High School,10328
Altamont School,10335
Mountain Brook High School,10380
Spain Park High School,10381
Austin High School,10856
Decatur High School,10860
Houston Academy,10912
Enterprise High School,10980
Fairhope High School,11060
Indian Springs School,11440
Virgil Grissom High School,11466
Saint John Paul II Catholic High School,11483
Huntsville High School,11485
New Century Technology High School,11494
Bob Jones High School,11697
James Clemens High School,11701
Stanhope Elmore High School,11758
Alabama School of Mathematics and Science,11793
W P Davidson High School,11839
Mcps High School,11880
LAMP High School,11896
Montgomery Academy,11897
ACCESS Virtual Learning,11919
Lawrence County High School,11930
Buckhorn High School,11980
Oxford High School,12085
Central High School,12135
Sheffield High School,12455
Sparkman High School,12648
Service High School,20004
West Valley High School,20028
Austin E Lathrop High School,20035
Susitna Valley High School,20136
Grace Christian School,20182
Colony High School,20286
Thunder Mountain High School,20379
Mat-Su Career and Technical High School,21080
Agua Fria High School,30007
Basha High School,30037
Chandler High School,30045
Seton Catholic Preparatory,30047
Hamilton High School,30062
BASIS Chandler,30072
Gilbert Classical Academy,30132
Gilbert High School,30140
Highland High School,30141
Deer Valley High School,30144
Millennium High School,30159
Mesa High School,30220
Centennial High School,30256
Ironwood High School,30259
Peoria High School,30260
Brophy College Preparatory,30265
Carl Hayden High School,30277
Paradise Valley High School,30287
Xavier College Preparatory School,30295
Thunderbird High School,30312
North Canyon High School,30316
Washington High School,30320
Desert Vista High School,30328
Skyline High School,30368
Pinnacle High School,30377
Notre Dame Preparatory High School,30392
Desert Mountain High School,30396
Chaparral High School,30397
Corona Del Sol High School,30431
McClintock High School,30433
Amphitheater High School,30455
Canyon del Oro High School,30473
University High School,30488
Mountain View High School,30497
Pueblo Magnet High School,30500
The Gregory School,30506
Cienega High School,30541
Boulder Creek High School,30581
Empire High School,30601
BASIS Peoria,30652
BASIS Scottsdale,30660
Perry High School,30668
Arizona Connections Academy,30669
Poston Butte High School,30690
Campo Verde High School,30696
BASIS Phoenix,30742
BASIS Tucson North,30743
BASIS Prescott,30762
BASIS Ahwatukee,30800
Springdale School of Innovation,40003
Bentonville West High School,40004
North Little Rock Center Of Excellence,40007
Haas Hall Academy - Rogers,40011
Arkadelphia High School,40035
Kallion Learning Company Monticello,40101
Bentonville High School,40175
Haas Hall Academy - Bentonville,40277
Bryant High School,40310
Cabot High School,40320
Clarksville High School,40460
Conway High School,40490
El Dorado High School,40690
Fayetteville High School,40770
Southside High School,40837
Greenbrier High School,40935
Hamburg High School,40995
"Arkansas School for Mathematics, Science and the Arts",41148
Lake Hamilton High School,41155
Valley View High School,41272
Central High School,41422
Parkview Arts and Science Magnet High School,41443
Lisa Academy,41486
Nettleton High School,41815
Greene County Technical High School,41950
Prescott High School,42120
Har-Ber High School,42147
Rogers High School,42165
Rogers Heritage High School,42168
Rogers New Technology High School,42171
Russellville High School,42195
Springdale Senior High School,42315
Star City High School,42337
Arkansas High School,42403
Haas Hall Academy - Fayetteville,42762
Agoura High School,50003
Alameda High School,50005
Oak Park High School,50006
Encinal High School,50015
Saint Joseph-Notre Dame High School,50020
Albany High School,50035
Mark Keppel High School,50055
Alta Loma High School,50077
Servite High School,50088
Esperanza High School,50093
Fairmont Pvt-Preparatory Academy,50103
Deer Valley High School,50109
Apple Valley High School,50118
Arcadia High School,50130
Arcata High School,50135
Arroyo Grande High School,50150
Artesia High School,50155
Menlo Atherton High School,50170
Buhach Colony High School,50181
Azusa High School,50188
Liberty High School,50196
Beaumont High School,50240
Carlmont High School,50270
Berkeley High School,50290
Elite Open School - Rowland Heights,50304
Girls Academic Leadership Academy,50309
Beverly Hills High School,50320
Bloomington High School,50348
Brea Olinda High School,50370
Liberty High School,50375
Burbank Senior High School,50385
Heritage High School,50386
Burlingame High School,50410
Mercy High School,50415
Calabasas High School,50421
Viewpoint School,50423
Calexico High School,50425
Adolfo Camarillo High School,50438
Torrey Pines High School,50466
Carlsbad Seaside Academy,50471
Carlsbad High School,50472
Carmel High School,50475
