School Code,School Name,School Address,City,Zip,State
40760,Farmington High School,,,,AR
40770,Fayetteville High School,1001 W STONE ST,FAYETTEVILLE,72701,AR
40835,Northside High School,,,,AR
40837,Southside High School,,,,AR
41045,Wonderview High School,2436 HWY 95,HATTIEVILLE,72063,AR
41065,West Side High School,7295 GREERS FERRY RD,GREERS FERRY,72067,AR
41130,Spring Hill High School,633 HWY 355 W,HOPE,71801,AR
41148,"Arkansas School for Mathematics, Science and the Arts",,,,AR
41160,Lakeside High School,2871 MALVERN AVE,HOT SPRINGS,71901,AR
41422,Central High School,1500 PARK ST,LITTLE ROCK,72202,AR
41429,J A Fair High School,13420 DAVID O DODD RD,LITTLE ROCK,72210,AR
41430,Joe T Robinson High School,21501 HWY 10,LITTLE ROCK,72223,AR
41443,Parkview Arts and Science Magnet High School,2501 BARROW RD,LITTLE ROCK,72204,AR
41453,Little Rock Christian Academy,,,,AR
41486,Lisa Academy,,,,AR
41550,Lee High School,523 N FORREST AVE,MARIANNA,72360,AR
41560,Marion Senior High School,,,,AR
41585,Marvell High School,1018B HWY 49,MARVELL,72366,AR
41861,Maumelle High School,100 VICTORY LANE,MAUMELLE,72113,AR
41950,Greene County Technical High School,5201 W KINGSHIGHWAY,PARAGOULD,72450,AR
42120,Prescott High School,736 MARTIN ST,PRESCOTT,71857,AR
42147,Har-Ber High School,,,,AR
42183,Nevada High School,6580 US HWY 278,ROSSTON,71858,AR
42195,Russellville High School,,,,AR
42265,Sheridan High School,,,,AR
42268,Lisa Academy North,5410 LANDERS RD,SHERWOOD,72117,AR
42285,Smackover High School,1 BUCKAROO LANE,SMACKOVER,71762,AR
42315,Springdale Senior High School,,,,AR
42337,Star City High School,206 CLEVELAND ST,STAR CITY,71667,AR
42365,Stuttgart High School,401 W 22ND ST,STUTTGART,72160,AR
42390,Wilbur D Mills High School,1205 E DIXON RD,LITTLE ROCK,72206,AR
42403,Arkansas High School,1500 JEFFERSON AVE,TEXARKANA,71875,AR
42565,Waldron High School,736 W HWY 80,WALDRON,72958,AR
50003,Agoura High School,28545 W. Dr.r Ave.,Agoura,91301,CA
50005,Alameda High School,2201 Encinal Ave.,Alameda,94501,CA
50015,Encinal High School,210 Central Ave.,Alameda,94501,CA
50035,Albany High School,603 Key Route Blvd.,Albany,94706,CA
50050,Alhambra High School,101 S. Second St.,Alhambra,91801,CA
50084,Loara High School,1765 W. Cerritos Ave.,Anaheim,92804,CA
50090,Anaheim High School,811 W. Lincoln Ave.,Anaheim,92805,CA
50093,Esperanza High School,1830 N. Kellogg Dr.,Anaheim,92807,CA
50103,Fairmont Pvt-Preparatory Academy,,,,CA
50118,Apple Valley High School,11837 Navajo Rd.,Apple Valley,92308,CA
50134,Granite Hills High School,22900 Esaws Rd.,Apple Valley,92307,CA
50165,Atascadero High School,1 High Sch Hill,Atascadero,93422,CA
50170,Menlo Atherton High School,555 Midfield Rd.,Atherton,94025,CA
50172,Atwater High School,2201 Fruitland Ave.,Atwater,95301,CA
50181,Buhach Colony High School,1800 Buhach Rd.,Atwater,95301,CA
50188,Azusa High School,240 N. Cerritos Ave.,Azusa,91702,CA
50190,Gladstone High School,1340 N. Enid,Covina,91722,CA
50217,Stockdale High School,2800 Buena Vista Rd.,Bakersfield,93311,CA
50218,Highland High School,2900 Royal Scots Way,Bakersfield,93306,CA
50228,Sierra Vista High School,3600 N. Frazier St.,Baldwin Park,91706,CA
50245,Bell High School,4328 Bell Ave.,Bell,90201,CA
50280,Benicia High School,1101 Military W.,Benicia,94510,CA
50290,Berkeley High School,1980 Allston Way,Berkeley,94704,CA
50304,Elite Open School,,,,CA
50309,Girls Academic Leadership Academy,,,,CA
50365,Brawley Union High School,480 N. Imperial Ave.,Brawley,92227,CA
50372,Freedom High School,1050 Neroly Rd.,Oakley,94561,CA
50375,Liberty High School,850 Second St.,Brentwood,94513,CA
