School Name,School Code
Ruben S Ayala High School,50563
Chino Hills High School,50564
Clovis North High School,50628
West Shores High School,52759
Bloomington High School,50348
Colton High School,50640
Grand Terrace High School,54606
Dominguez Senior High School,50652
Newbury Park High School,52117
Thousand Oaks High School,53502
Westlake High School,53503
Norco High School,52129
Santiago High School,50692
Centennial High School,50676
Eleanor Roosevelt High School,54078
Coronado High School,50680
South Hills High School,50704
Culver City High School,50715
Palm Desert High School,52319
Shadow Hills High School,54345
Dixon High School,50755
Independence High School,53087
James Lick High School,53090
Mount Pleasant High School,53094
William C Overfelt High School,53107
Piedmont Hills High School,51976
Santa Teresa High School,53106
Silver Creek High School,53100
Yerba Buena High School,53113
Evergreen Valley High School,53169
El Dorado High School,52485
Oak Ridge High School,50818
Mountain View High School,50837
El Rancho High School,52655
Florin High School,52722
Franklin High School,50824
Pleasant Grove High School,53953
San Pasqual High School,50884
Classical Academy High School,54194
Folsom High School,50940
Vista del Lago High School,54166
A B Miller High School,50944
Summit High School,50897
American High School,50974
Irvington High School,50968
Mission San Jose High School,50970
Washington High School,50972
Cupertino High School,50718
Fremont High School,53460
Homestead High School,53462
Lynbrook High School,53463
Monta Vista High School,53466
Bullard High School,50973
Edison High School,50980
Sunnyside High School,51045
Buena Park High School,50378
Sunny Hills High School,51008
Troy High School,51009
Garden Grove High School,51030
La Quinta High School,53737
Los Amigos High School,50963
Pacifica High School,51034
Gilroy High School,51040
Christopher High School,54364
Crescenta Valley High School,51313
Clark Magnet High School,51301
Glendora High School,51070
Helix Charter High School,51350
Los Altos High School,51360
Glen A Wilson High School,52694
Impact Academy of Arts and Technology,54255
Hemet High School,51165
Western Center Academy,54764
Edison High School,51218
Fountain Valley High School,50964
Huntington Beach High School,51220
Marina High School,51221
Imperial High School,51240
Patriot High School,54159
Shafter High School,53360
Liberty High School,50196
Stockdale High School,50217
Independence High School,54242
La Canada High School,51312
Laguna Beach High School,51320
Agoura High School,50003
Calabasas High School,50421
Liberty High School,50375
Heritage High School,50386
Granada High School,51423
Livermore High School,51425
Tokay High School,51440
Lakewood High School,51347
Robert Millikan High School,51476
Long Beach Polytechnic High School,51480
California Academy of Mathematics and Science,50491
Los Alamitos High School,51508
Birmingham Community High School,53615
Chatsworth High School,50528
El Camino Real Charter High School,53801
Fairfax High School,51590
Benjamin Franklin High School,51550
Granada Hills Charter High School,51088
Alexander Hamilton High School,51525
Hollywood High School,51615
Abraham Lincoln High School,51520
