school_code,school_id
011951,10000201705
010027,10000600872
011285,10000600883
011336,10000601585
010381,10000701456
011697,10000800831
011701,10000802198
012579,10000901404
011600,10001102096
019013,10001300714
010326,10001802104
011974,10003801849
010110,10009000011
010175,10012001472
010210,10018000033
010657,10018802194
012485,10019001183
010220,10021000036
019005,10021000041
010325,10024000045
012220,10024000048
012325,10027000024
011334,10027000641
010844,10027001759
010245,10027001810
010690,10030000074
010630,10036000092
010366,10039000141
010395,10039000165
019036,10039000184
010440,10039000198
012038,10042000203
011400,10042000208
012295,10042000210
010455,10042000213
012730,10048000218
011740,10051000229
010055,10054000232
010123,10054000243
012090,10054000250
010125,10054001489
011585,10060000263
010610,10063000274
011210,10063000279
012520,10063000283
011550,10066000262
012643,10066000270
010681,10066000748
010550,10069000291
010554,10069000755
011520,10072001493
011655,10075002210
012265,10078000321
011512,10081000327
010655,10084000333
012693,10084000335
012330,10090001749
010090,10093000361
010100,10093000363
011445,10096000367
010795,10099000370
010800,10102000377
011375,10102000380
012782,10102000385
010135,10105000388
012487,10105000390
012200,10111000397
012438,10111000406
011180,10114000415
011505,10114000419
012575,10114000424
010785,10114001860
010860,10117000429
010910,10123000445
010950,10126000461
010850,10129000465
012835,10129000471
010200,10135000484
011100,10135000487
011197,10138000496
010470,10138000505
012790,10138000507
010995,10141000511
010300,10147000521
011075,10147001787
011150,10156000538
012150,10159000544
012770,10159000548
011192,10162001824
011380,10166000570
012495,10166001519
010475,10168000578
011940,10171000588
011295,10171002162
011355,10172000594
011390,10173000599
011425,10174000604
010150,10177000611
010745,10177000614
011990,10177000617
019022,10180000620
019021,10180000624
011485,10180000631
011469,10180000633
019030,10180000652
011494,10180001374
019031,10180001530
011501,10180001651
019029,10180001796
011443,10183000662
012420,10183000667
012850,10183000671
012535,10183001751
011540,10189000678
019002,10192000687
010348,10192000702
011208,10192000706
011730,10192000725
010320,10192000732
012207,10192000737
010375,10192001752
012760,10195001511
011590,10198000759
011120,10201000765
011630,10201000770
012805,10201000774
010775,10204000776
011930,10204000783
010835,10204000788
010777,10204001575
010445,10207000791
012500,10207000795
010132,10210000797
010185,10210000800
010960,10210000810
010955,10210001549
010560,10216000815
012013,10219000824
012710,10219001811
011415,10222000836
012648,10222000848
011980,10222001683
010880,10225000854
012550,10225000857
011330,10231000863
011365,10231000868
011748,10235000891
012525,10237000899
010670,10237000906
012450,10237000934
011831,10237000962
019034,10237000965
010251,10237000989
011850,10240000973
010275,10240000979
011681,10240000981
011885,10243001015
011900,10243001035
011896,10243001417
019000,10243001776
010830,10248001042
010862,10248001048
012510,10248001696
019017,10249001057
012040,10255001064
012070,10261001073
012093,10264001080
012740,10267001577
012135,10270001088
012290,10273001102
012160,10276001108
011270,10279001114
012785,10282001123
012310,10285001126
012352,10291001142
012434,10297001157
012455,10300001164
010648,10303001171
011858,10303001177
010408,10303001189
011438,10303002191
012030,10306201367
012530,10306201377
011665,10309001191
012570,10312001200
012560,10318001210
011635,40031102919
010070,40032602162
012600,40033202165
012689,40035401733
019001,40036302300
011460,40037302311
019014,40038102866
010549,40038302353
010760,40038701735
011735,40041602374
010010,40042703160
011695,40043202200
020205,40044002681
020206,40044702671
020211,40045001884
020217,40045002592
020221,40046302923
020139,40060803115
020214,40061903097
020212,40062103161
020218,40063303106
020219,40063603108
020208,40065001846
020319,40065503096
020027,40065603223
020265,40068002198
020233,40074702795
020162,40076002911
020085,40078302932
020076,40078803375
020116,40080003317
020117,10318001214
020397,10318001216
020158,10318001226
020157,10324001238
020156,10330001248
020253,10336001399
020129,10336001881
020248,10336001889
020088,10336002102
020122,10339001282
020015,10339001289
020039,10339002153
020390,10345001308
020408,10345001311
020025,10345001322
020353,10348001336
020065,10348001338
020419,10351001780
