school_id,school_code,SCHNAME,City,Zip,State
341173000646,310001,Northern Highlands Regional High School,Allendale,74011498,NJ
341176000650,310265,Northern Valley Regional High School at Demarest,Demarest,76271034,NJ
341176000652,311051,Northern Valley Regional High School at Old Tappan,Old Tappan,7675,NJ
341188002378,311035,Nutley High School,Nutley,71102783,NJ
341197001746,311045,Ocean City High School,Ocean City,82263892,NJ
341206004058,311039,Ocean Township High School,Oakhurst,77551098,NJ
341227002396,311060,Orange High School,Orange,70502299,NJ
341242000688,311073,Paramus High School,Paramus,76522814,NJ
341248004430,311078,Parsippany High School,Parsippany,70542086,NJ
341248004432,311079,Parsippany Hills High School,Morris Plains,79503152,NJ
341251000718,310823,Pascack Hills High School,Montvale,76452008,NJ
341251000720,310540,Pascack Valley High School,Hillsdale,76422499,NJ
341257004858,310700,Passaic Valley High School,Little Falls,74245628,NJ
341263004860,311120,Passaic County Technical Institute,Wayne,74702210,NJ
341269000809,311102,International High School,Paterson,75012724,NJ
341281001202,311162,Pemberton Township High School,Pemberton,80681313,NJ
341296005852,311200,Phillipsburg High School,Phillipsburg,88651585,NJ
341305003554,310998,Piscataway Township High School,Piscataway,88544173,NJ
341311005080,310221,Arthur P Schalick High School,Pittsgrove,83183914,NJ
341329004692,311242,Point Pleasant Borough High School,Pt Pleas Bch,87423767,NJ
341332004702,311245,Point Pleasant Beach High School,Pt Pleas Bch,87422530,NJ
341341003182,311255,Princeton High School,Princeton,85403399,NJ
341353005634,311280,Rahway High School,Rahway,70651898,NJ
341356000724,311041,Indian Hills High School,Oakland,74362770,NJ
341356000726,310402,Ramapo High School,Franklin Lks,74173099,NJ
341359000730,311290,Ramsey High School,Ramsey,74461990,NJ
341365004486,310272,Randolph High School,Randolph,78693797,NJ
341368003826,310518,Raritan High School,Hazlet,77302498,NJ
341375004084,311300,Red Bank Regional High School,Little Silver,77391698,NJ
341383000764,311310,Ridgewood High School,Ridgewood,74503394,NJ
341434004524,311415,Roxbury High School,Succasunna,78761697,NJ
341440004094,311335,Rumson Fairhaven Regional High School,Rumson,77601896,NJ
341446000810,311340,Rutherford High School,Rutherford,70701978,NJ
