Name,Rank,Year,Company Founding Year,Company Name,Company Relationship,Company Sector,Company Type,Age,Gender,Citizenship,Country of Residence,Region,Type Of Wealth,Net Worth In Billions,Wealth Category,Wealth Industry,Wealth Inherited
Kumar Birla,191,2014,1857,Aditya Birla Group,relation,cement,new,46,male,India,IND,South Asia,inherited,7,Resource Related,Mining and metals,4th generation
Ralph Lauren,191,2014,1967,Ralph Lauren,founder,clothing,new,74,male,United States,USA,North America,founder non-finance,7,Traded Sectors,Consumer,not inherited
Djuhar Sutanto,192,1996,1952,Salim Group,founder,consumer goods,new,Unknown,male,Indonesia,IDN,East Asia,self-made finance,2,Financial,Diversified financial,not inherited
Theodore Arison,193,1996,1972,Carnival Corporation,relation,banking,new,Unknown,female,Israel,ISR,Middle East/North Africa,inherited,2,Non-Traded Sectors,"Retail, Restaurant",father
Luciano Benetton,194,1996,1965,Benetton Group,founder,fashion,new,60,male,Italy,ITA,Europe,founder non-finance,2,Traded Sectors,Consumer,not inherited
Henry Nicholas,194,2001,1991,Broadcom Corporation,founder,semiconductors,new,39,male,United States,USA,North America,founder non-finance,2.4,New Sectors,Technology-Computer,not inherited
Laurence Tisch,194,2001,1946,Loews Corporation,founder,retail,new,Unknown,male,United States,USA,North America,founder non-finance,2.4,Traded Sectors,Consumer,not inherited
Leonard Stern,194,2001,1932,Hartz Group,relation,"pet supplies, real estate",new,62,male,United States,USA,North America,inherited,2.4,Financial,Real Estate,father
Mikhail Khodorkovsky,194,2001,1993,Yukos,Chairman and Chief Executive Officer,oil,privatization,37,male,Russia,RUS,Europe,privatized and resources,2.4,Resource Related,Energy,not inherited
Emilio Azcarraga Jean,195,1996,1955,Grupo Televisa,relation,media,new,28,male,Mexico,MEX,Latin America,inherited,2,Non-Traded Sectors,Media,father
John Gokongwei,196,1996,1957,JG Summit Holdings,founder,manufacturing,new,Unknown,male,Philippines,PHL,East Asia,self-made finance,2,Financial,Diversified financial,not inherited
Charles Cadogan,196,2014,1712,Cadogan Estates,relation,real estate,new,76,male,United Kingdom,GBR,Europe,inherited,6.9,Financial,Real Estate,5th generation or longer
Eli Broad,196,2014,1957,"Kaufman and Broad, SunAmerica",founder,construction/insurance,new/aquired,80,male,United States,USA,North America,self-made finance,6.9,Financial,Diversified financial,not inherited
Richard DeVos,196,2014,1959,Amway,founder,consumer goods,new,88,male,United States,USA,North America,founder non-finance,6.9,Traded Sectors,Consumer,not inherited
Suleiman Kerimov,196,2014,1989,Gazprom,investor,oil,state owned enterprise,47,male,Russia,RUS,Europe,privatized and resources,6.9,Financial,Diversified financial,not inherited
Wei Jianjun,196,2014,1984,Great Wall Motors,chairman,autos,privatization,50,male,China,CHN,East Asia,privatized and resources,6.9,Traded Sectors,Consumer,not inherited
Yang Huiyan,196,2014,1997,Country Garden Holdings,relation,property development,new,32,female,China,CHN,East Asia,inherited,6.9,Financial,Real Estate,father
Henry Sy,197,1996,1960,SM Malls,founder,retail,new,71,male,Philippines,PHL,East Asia,founder non-finance,2,Non-Traded Sectors,"Retail, Restaurant",not inherited
Manuel Villar,198,1996,1975,C&P Homes,founder,real estate,new,Unknown,male,Philippines,PHL,East Asia,self-made finance,2,Financial,Real Estate,not inherited
George Kaiser,198,2001,1940,Kaiser-Francis Oil Company,relation,oil,new,58,male,United States,USA,North America,inherited,2.3,Resource Related,Energy,father
