Name,Rank,Year,Company Founding Year,Company Name,Company Relationship,Company Sector,Company Type,Age,Gender,Citizenship,Country of Residence,Region,Type Of Wealth,Net Worth In Billions,Wealth Category,Wealth Industry,Wealth Inherited
Bill Gates,1,1996,1975,Microsoft,founder, Software,new,40,male,United States,USA,North America,founder non-finance,18.5,New Sectors,Technology-Computer,not inherited
Bill Gates,1,2001,1975,Microsoft,founder, Software,new,45,male,United States,USA,North America,founder non-finance,58.7,New Sectors,Technology-Computer,not inherited
Bill Gates,1,2014,1975,Microsoft,founder, Software,new,58,male,United States,USA,North America,founder non-finance,76,New Sectors,Technology-Computer,not inherited
Warren Buffett,2,1996,1962,Berkshire Hathaway,founder, Finance,new,65,male,United States,USA,North America,founder non-finance,15,Traded Sectors,Consumer,not inherited
Warren Buffett,2,2001,1962,Berkshire Hathaway,founder, Finance,new,70,male,United States,USA,North America,founder non-finance,32.3,Traded Sectors,Consumer,not inherited
Carlos Slim Helu,2,2014,1990,Telmex,founder, Communications,privatization,74,male,Mexico,MEX,Latin America,privatized and resources,72,Non-Traded Sectors,Media,not inherited
Oeri Hoffman and Sacher,3,1996,1896,F. Hoffmann-La Roche,Unknown,pharmaceuticals,new,Unknown,Unknown,Switzerland,CHE,Europe,inherited,13.1,New Sectors,Technology-Medical,3rd generation
Paul Allen,3,2001,1975,Microsoft,founder,technology,new,48,male,United States,USA,North America,founder non-finance,30.4,New Sectors,Technology-Computer,not inherited
Amancio Ortega,3,2014,1975,Zara,founder,Fashion,new,77,male,Spain,ESP,Europe,founder non-finance,64,Non-Traded Sectors,"Retail, Restaurant",not inherited
Lee Shau Kee,4,1996,1976,Henderson Land Development,founder/chairman,real estate,new,68,male,Hong Kong,HKG,East Asia,self-made finance,12.7,Financial,Real Estate,not inherited
Larry Ellison,4,2001,1977,Oracle,founder, software, new,56,male,United States,USA,North America,founder non-finance,26,New Sectors,Technology-Computer,not inherited
Warren Buffett,4,2014,1839,Berkshire Hathaway,founder, Finance,aquired,83,male,United States,USA,North America,founder non-finance,58.2,Traded Sectors,Consumer,not inherited
Tsai Wan-lin,5,1996,1962,Lin Yuan Group,founder,banking and insurance,new,71,male,Taiwan,Taiwan,East Asia,self-made finance,12.2,Financial,Hedge funds,not inherited
Theo and Karl Albrecht,5,2001,1913,Aldi,founder,groceries,new,Unknown,male,Germany,DEU,Europe,founder non-finance,25,Non-Traded Sectors,"Retail, Restaurant",not inherited
Larry Ellison,5,2014,1977,Oracle,founder, software, new,69,male,United States,USA,North America,founder non-finance,48,New Sectors,Technology-Computer,not inherited
Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,Unknown,male,Hong Kong,HKG,East Asia,inherited,11.2,Financial,Real Estate,father
Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,Middle East/North Africa,privatized and resources,20,Financial,Money Management,not inherited
Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,North America,inherited,40,Financial,Diversified financial,father
David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,North America,inherited,40,Financial,Diversified financial,father
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,East Asia,self-made finance,10.6,Financial,Real Estate,not inherited
Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,North America,inherited,18.8,Non-Traded Sectors,"Retail, Restaurant",father
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,East Asia,inherited,9.2,Financial,Real Estate,father
John Walton,8,2001,1962,Walmart,relation, retail, new,55,male,United States,USA,North America,inherited,18.7,Traded Sectors,Consumer,father
Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,North America,self-made finance,38,Financial,Real Estate,not inherited
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,new,Unknown,male,Germany,DEU,Europe,inherited,9,Non-Traded Sectors,"Retail, Restaurant",father
S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,North America,inherited,18.6,Non-Traded Sectors,"Retail, Restaurant",father
Christy Walton,9,2014,1962,Walmart,relation, retail, new,59,female,United States,USA,North America,inherited,36.7,Non-Traded Sectors,"Retail, Restaurant",spouse/widow
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,Unknown,male,Sweden,SWE,Europe,inherited,9,Traded Sectors,Consumer,father
Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,North America,inherited,18.5,Non-Traded Sectors,"Retail, Restaurant",father
Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,North America,inherited,18.5,Traded Sectors,Consumer,spouse/widow
Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,North America,inherited,34.7,Non-Traded Sectors,"Retail, Restaurant",father
Johanna Quandt,11,1996,1916,BMW,relation,cars,new,68,female,Germany,DEU,Europe,inherited,8.1,Traded Sectors,Consumer,spouse/widow
Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,Europe,inherited,34.5,Traded Sectors,Consumer,father
Haniel family,12,1996,1756,Franz Haniel & Cie,Unknown,Unknown,new,Unknown,Unknown,Germany,DEU,Europe,inherited,8.1,Financial,Diversified financial,not inherited
Johanna Quandt,12,2001,1916,BMW,relation,cars,new,73,female,Germany,DEU,Europe,inherited,17.8,Traded Sectors,Consumer,spouse/widow
Stefan Persson,12,2014,1947, H&M,relation, fashion, new,66,male,Sweden,SWE,Europe,inherited,34.4,Traded Sectors,Consumer,father
Paul Allen,13,1996,1975,Microsoft,founder,technology,new,43,male,United States,USA,North America,founder non-finance,7.5,New Sectors,Technology-Computer,not inherited
Steven Ballmer,13,2001,1975,Microsoft,CEO,technology,new,44,male,United States,USA,North America,executive,16.6,New Sectors,Technology-Computer,not inherited
Alice Walton,13,2014,1962,Walmart,relation,retail, new,64,female,United States,USA,North America,inherited,34.3,Non-Traded Sectors,"Retail, Restaurant",father
Kenneth Thomson,14,1996,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,72,male,Canada,CAN,North America,inherited,7.4,Non-Traded Sectors,Media,father
Kenneth Thomson,14,2001,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,77,male,Canada,CAN,North America,inherited,16.4,Non-Traded Sectors,Media,father
S. Robson Walton,14,2014,1962,Walmart,relation,retail, new,70,male,United States,USA,North America,inherited,34.2,Non-Traded Sectors,"Retail, Restaurant",father
John Kluge,15,1996,1956,Metropolitan Broadcasting Corporation,chairman,media,new,81,male,United States,USA,North America,executive,7.2,Non-Traded Sectors,Media,not inherited
Liliane Bettencourt,15,2001,1909,L'Oreal,relation,cosmetics,new,78,female,France,FRA,Europe,inherited,15.6,Traded Sectors,Consumer,father
Bernard Arnault,15,2014,1987,LVMH,founder,luxury goods,acquired,64,male,France,FRA,Europe,founder non-finance,33.5,Traded Sectors,Consumer,not inherited
Tan Yu,16,1996,1972,Asiaworld Internationale Group,founder,real estate,new,Unknown,male,Philippines,PHL,East Asia,self-made finance,7,Financial,Real Estate,not inherited
Philip Anschutz,16,2001,1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,61,male,United States,USA,North America,self-made finance,15.3,Financial,Money Management,not inherited
Michael Bloomberg,16,2014,1981,Bloomberg,founder, finance, new,72,male,United States,USA,North America,founder non-finance,33,Non-Traded Sectors,Media,not inherited
Wonowidjojo family,17,1996,1958,Gudang Garam,Unknown,cigarettes,new,Unknown,Unknown,Indonesia,IDN,East Asia,inherited,6.7,Traded Sectors,Consumer,not inherited
Ingvar Kamprad,17,2001,1943,IKEA,founder,furniture,new,74,male,Sweden,SWE,Europe,founder non-finance,13,Non-Traded Sectors,"Retail, Restaurant",not inherited
Larry Page,17,2014,1998,Google,founder, technology, new,40,male,United States,USA,North America,founder non-finance,32.3,New Sectors,Technology-Computer,not inherited
Carlos Slim Helu,18,1996,1990,Telmex,founder, Communications,privatization,56,male,Mexico,MEX,Latin America,privatized and resources,6.1,Non-Traded Sectors,Media,not inherited
Li Ka-shing,18,2001,1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,East Asia,self-made finance,12.6,Financial,Real Estate,not inherited
Sumner Redstone,18,2001,1936,National Amusements,relation,media,new,77,male,United States,USA,North America,inherited,12.6,Non-Traded Sectors,Media,father
Jeff Bezos,18,2014,1995,Amazon,founder, technology, new,50,male,United States,USA,North America,founder non-finance,32,Non-Traded Sectors,"Retail, Restaurant",not inherited
Larry Ellison,19,1996,1977,Oracle,founder, software, new,51,male,United States,USA,North America,founder non-finance,6,New Sectors,Technology-Computer,not inherited
Sergey Brin,19,2014,1998,Google,founder, technology, new,40,male,United States,USA,North America,founder non-finance,31.8,New Sectors,Technology-Computer,not inherited
Chung Ju-yung,20,1996,1946,Hyundai Group,founder,cars,new,Unknown,male,South Korea,KOR,East Asia,self-made finance,5.9,Financial,Diversified financial,not inherited
Leo Kirch,20,2001,1956,Kirch Group,founder,media,new,Unknown,male,Germany,DEU,Europe,founder non-finance,12,Non-Traded Sectors,Media,not inherited
Li Ka-shing,20,2014,1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,East Asia,self-made finance,31,Financial,Diversified financial,not inherited
Gerard Mulliez,21,1996,1961,Auchan,founder,retail,new,Unknown,male,France,FRA,Europe,founder non-finance,5.7,Non-Traded Sectors,"Retail, Restaurant",not inherited
Anne Cox Chambers,21,2001,1898,Cox Enterprises,relation,media,aquired,81,female,United States,USA,North America,inherited,11.7,Non-Traded Sectors,Media,father
Barbara Cox Anthony,21,2001,1898,Cox Enterprises,relation,media,aquired,77,female,United States,USA,North America,inherited,11.7,Non-Traded Sectors,Media,father
Mark Zuckerberg,21,2014,2004, Facebook,founder, technology, new,29,male,United States,USA,North America,founder non-finance,28.5,New Sectors,Technology-Computer,not inherited
Robert Kuok,22,1996,1980,Tana Exploration Company,relation,oil,new,73,male,Malaysia,MYS,East Asia,self-made finance,5.7,Financial,Money Management,not inherited
Michele Ferrero,22,2014,1946,Ferrero spa,relation,chocolates,new,88,male,Italy,ITA,Europe,executive,26.5,Traded Sectors,Consumer,not inherited
Kwek Leng Beng,23,1996,1948,Hong Leong Group,relation,banking,new,55,male,Singapore,SGP,East Asia,inherited,5.7,Financial,Diversified financial,father
Walter Thomas and Raymond Kwok,23,2001,1963,Sun Hung Kai Properties,Relation,real estate,new,Unknown,male,Hong Kong,HKG,East Asia,inherited,11.5,Financial,Real Estate,father
Aliko Dangote,23,2014,1981,Dangote Group,founder and CEO,"commodities (sugar, cement flour)",new,56,male,Nigeria,NGA,Sub-Saharan Africa,founder non-finance,25,Non-Traded Sectors,Constrution,not inherited
Karl Albrecht,23,2014,1914,Aldi Sud,relation,groceries,new,94,male,Germany,DEU,Europe,executive,25,Non-Traded Sectors,"Retail, Restaurant",not inherited
Cheng Yu-tung,24,1996,1929,Chow Tai Fook Enterprises,relation,real estate,new,70,male,Hong Kong,HKG,East Asia,inherited,5.5,Financial,Real Estate,father
John Kluge,24,2001,1956,Metropolitan Broadcasting Corporation,chairman,media,new,86,male,United States,USA,North America,executive,10.9,Non-Traded Sectors,Media,not inherited
Walter Haefner,25,1996,1957,Automation Center,founder,computer services,new,85,male,Switzerland,CHE,Europe,founder non-finance,5.5,New Sectors,Technology-Computer,not inherited
Carlos Slim Helu,25,2001,1990,Telmex,founder, Communications,privatization,61,male,Mexico,MEX,Latin America,privatized and resources,10.8,Non-Traded Sectors,Media,not inherited
Carl Icahn,25,2014,1968,Icahn Enterprises,founder,investment (via holding company),new,78,male,United States,USA,North America,self-made finance,24.5,Financial,Diversified financial,not inherited
Philip Knight,26,1996,1964,Nike,founder,apparel,new,58,male,United States,USA,North America,founder non-finance,5.3,Traded Sectors,Consumer,not inherited
Bernard Arnault,26,2001,1981,LVMH,founder,luxury goods,acquired,52,male,France,FRA,Europe,founder non-finance,10.7,Traded Sectors,Consumer,not inherited
George Soros,26,2014,1969,Soros Fund Management,founder,hedge funds,new,83,male,United States,USA,North America,self-made finance,23,Financial,Hedge funds,not inherited
Michael Otto,27,1996,1950,Otto Group,relation,mail order retail,new,52,male,Germany,DEU,Europe,inherited,5.2,Non-Traded Sectors,"Retail, Restaurant",father
Ernesto Bertarelli,27,2001,1906,Serono,relation,pharmaceuticals,new,35,male,Switzerland,CHE,Europe,inherited,10.5,New Sectors,Technology-Medical,3rd generation
Michael Dell,27,2001,1984,Dell,founder,technology,new,36,male,United States,USA,North America,founder non-finance,10.5,New Sectors,Technology-Computer,not inherited
David Thomson,27,2014,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,56,male,Canada,CAN,North America,inherited,22.6,Non-Traded Sectors,Media,father
Fong Teng,28,1996,1970,Sino Group,relation,real estate,new,Unknown,male,Hong Kong,HKG,East Asia,inherited,5.2,Traded Sectors,Consumer,father
Lui Che Woo,28,2014,1955,K. Wah Group,founder/chairman,"construction, hotels, gaming",new,84,male,Hong Kong,HKG,East Asia,self-made finance,22,Financial,Real Estate,not inherited
Robert and Ten Fong Ng,29,1996,1970,Sino Group,relation,real estate,new,Unknown,male,Hong Kong,HKG,East Asia,inherited,5.2,Financial,Real Estate,father
Silvio Berlusconi,29,2001,1978,Fininvest,founder,media,new,64,male,Italy,ITA,Europe,privatized and resources,10.3,Non-Traded Sectors,Media,not inherited
Dieter Schwarz,29,2014,1930,Schwarz Group,relation,groceries,new,74,male,Germany,DEU,Europe,inherited,21.1,Non-Traded Sectors,"Retail, Restaurant",father
Yasuo Takei,30,1996,0,Takefuji,founder,finance,new,66,male,Japan,JPN,East Asia,self-made finance,5.2,Financial,Money Management,not inherited
Abigail Johnson,30,2001,1946,Fidelity Investments,relation,investment banking,new,39,female,United States,USA,North America,inherited,9.1,Financial,Money Management,3rd generation
Prince Alwaleed Bin Talal Alsaud,30,2014,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,58,male,Saudi Arabia,SAU,Middle East/North Africa,privatized and resources,20.4,Financial,Diversified financial,not inherited
Antonio Ermirio de Moraes,31,1996,1919,Votorantim Group,relation,"metals, paper, cement",new,Unknown,male,Brazil,BRA,Latin America,inherited,5.1,Traded Sectors,Non-consumer industrial,father
Forrest Mars Jr,31,2001,1911,"Mars, Incorperated",relation,candy,new,69,male,United States,USA,North America,inherited,9,Traded Sectors,Consumer,3rd generation
Jacqueline Mars,31,2001,1911,"Mars, Incorperated",relation,candy,new,Unknown,female,United States,USA,North America,inherited,9,Traded Sectors,Consumer,3rd generation
John Mars,31,2001,1911,"Mars, Incorperated",relation,candy,new,64,male,United States,USA,North America,inherited,9,Traded Sectors,Consumer,3rd generation
Kirsten Rausing,31,2001,1951,Tetra Pak,relation,food packaging,new,Unknown,female,Sweden,SWE,Europe,inherited,9,Traded Sectors,Consumer,3rd generation
"Forrest Mars, Jr.",31,2014,1911,"Mars, Incorperated",relation,candy,new,82,male,United States,USA,North America,inherited,20,Traded Sectors,Consumer,3rd generation
Jacqueline Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,74,female,United States,USA,North America,inherited,20,Traded Sectors,Consumer,3rd generation
John Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,77,male,United States,USA,North America,inherited,20,Traded Sectors,Consumer,3rd generation
Eka Tjipta Widjaja,32,1996,1962,Sinar Mas Group,founder,banking,new,Unknown,male,Indonesia,IDN,East Asia,self-made finance,5.1,Financial,Diversified financial,not inherited
Liliane Bettencourt,33,1996,1909,L'Oreal,relation,cosmetics,new,73,female,France,FRA,Europe,inherited,5,Traded Sectors,Consumer,father
Merck family,34,1996,1668,Merck,Unknown,pharmaceuticals,aquired,Unknown,Unknown,Germany,DEU,Europe,inherited,5,New Sectors,Technology-Medical,not inherited
Jorge Paulo Lemann,34,2014,1999,Ambev,founder,investment banking/beer,aquired,74,male,Brazil,BRA,Latin America,founder non-finance,19.7,Traded Sectors,Consumer,not inherited
Silvio Berlusconi,35,1996,1978,Fininvest,founder,media,new,59,male,Italy,ITA,Europe,privatized and resources,5,Non-Traded Sectors,Media,not inherited
Charles Ergen,35,2001,1980,dish networtk,founder,media,new,48,male,United States,USA,North America,founder non-finance,8.8,Non-Traded Sectors,Media,not inherited
Ted Turner,35,2001,1970,CNN,founder,media,aquired,62,male,United States,USA,North America,founder non-finance,8.8,Non-Traded Sectors,Media,not inherited
Lee Shau Kee,35,2014,1976,Henderson Land Development,founder/chairman,real estate,new,86,male,Hong Kong,HKG,East Asia,self-made finance,19.6,Financial,Diversified financial,not inherited
Mohamed Salim Bin Mahfouz,36,1996,1953,National Comercial bank of Saudi Arabia,relation,banking,new,Unknown,male,Saudi Arabia,SAU,Middle East/North Africa,inherited,5,Financial,Money Management,father
Steve Ballmer,36,2014,1975,Microsoft,CEO,technology,new,57,male,United States,USA,North America,executive,19.3,New Sectors,Technology-Computer,not inherited
"Theo Albrecht, Jr.",36,2014,1913,Aldi Nord,Relation,groceries,new,63,male,Germany,DEU,Europe,inherited,19.3,Non-Traded Sectors,"Retail, Restaurant",father
Lee Kun-Hee,37,1996,1938,Samsung,relation,electronics,new,Unknown,male,South Korea,KOR,East Asia,inherited,4.9,New Sectors,Technology-Computer,father
Yasuo Takei,37,2001,0,Takefuji,founder,finance,new,71,male,Japan,JPN,East Asia,self-made finance,8.3,Financial,Money Management,not inherited
John Walton,38,1996,1962,Walmart,relation, retail, new,50,male,United States,USA,North America,inherited,4.8,Traded Sectors,Consumer,father
Suliman Olayan,38,2001,1947,General Contracting Company,founder,oil infrastructure,new,Unknown,male,Saudi Arabia,SAU,Middle East/North Africa,self-made finance,8,Financial,Diversified financial,not inherited
Leonardo Del Vecchio,38,2014,1961,UnknownLuxottica,founder,glasses,new,78,male,Italy,ITA,Europe,founder non-finance,19.2,Traded Sectors,Consumer,not inherited
Jim Walton,39,1996,1962,Walmart,relation,retail, new,48,male,United States,USA,North America,inherited,4.8,Non-Traded Sectors,"Retail, Restaurant",father
Rupert Murdoch,39,2001,1923,News Limited,relation,media,new,70,male,United States,USA,North America,inherited,7.8,Non-Traded Sectors,Media,father
Len Blavatnik,39,2014,1990,Renova Group,founder,"aluminum, oil",new,56,male,United States,USA,North America,self-made finance,18.7,Financial,Diversified financial,not inherited
Helen Walton,40,1996,1962,Walmart,relation,retail, new,76,female,United States,USA,North America,inherited,4.7,Traded Sectors,Consumer,spouse/widow
Hans Rausing,40,2001,1951,Tetra Pak,relation,food packaging,new,74,male,Sweden,SWE,Europe,inherited,7.7,Traded Sectors,Consumer,father
Nobutada Saji,40,2001,1899,Suntory,relation,brewery,new,55,male,Japan,JPN,East Asia,inherited,7.7,Traded Sectors,Consumer,3rd generation
Alisher Usmanov,40,2014,1999,Metalloinvest,founder,metals,new,60,male,Russia,RUS,Europe,privatized and resources,18.6,Resource Related,Non-consumer industrial,not inherited
Mukesh Ambani,40,2014,1980,Reliance,relation,textiles,new,56,male,India,IND,South Asia,inherited,18.6,Resource Related,Energy,not inherited
Alice Walton,41,1996,1962,Walmart,relation,retail, new,47,female,United States,USA,North America,inherited,4.7,Non-Traded Sectors,"Retail, Restaurant",father
S Robson Walton,42,1996,1962,Walmart,relation,retail, new,52,male,United States,USA,North America,inherited,4.7,Non-Traded Sectors,"Retail, Restaurant",father
Azim Premji,42,2001,1945,Wipro Limited,relation,software,new,55,male,India,IND,South Asia,inherited,6.9,New Sectors,Technology-Computer,father
Masayoshi Son,42,2014,1981,Softbank,founder/CEO,technology,new,56,male,Japan,JPN,East Asia,founder non-finance,18.4,New Sectors,Technology-Computer,not inherited
Michael Otto,42,2014,1949,Otto Group,relation,mail order retail,new,70,male,Germany,DEU,Europe,inherited,18.4,Non-Traded Sectors,"Retail, Restaurant",father
Phil Knight,42,2014,1964,Nike,founder,apparel,new,76,male,United States,USA,North America,founder non-finance,18.4,Traded Sectors,Consumer,not inherited
Henkel family,43,1996,1876,Henkel AG,Unknown,chemicals,new,Unknown,Unknown,Germany,DEU,Europe,inherited,4.6,Traded Sectors,Non-consumer industrial,not inherited
Amancio Ortega,43,2001,1975,Zara,founder,Fashion,new,65,male,Spain,ESP,Europe,founder non-finance,6.6,Traded Sectors,Consumer,not inherited
Leonardo Del Vecchio,43,2001,1961,UnknownLuxottica,founder,glasses,new,65,male,Italy,ITA,Europe,founder non-finance,6.6,Traded Sectors,Consumer,not inherited
Masayoshi Son,44,1996,1981,Softbank,founder/CEO,technology,new,38,male,Japan,JPN,East Asia,founder non-finance,4.6,Non-Traded Sectors,Media,not inherited
Friedrich Flick,45,1996,1919,Friedrich Flick Industrial Holding,relation,coal,new,69,male,Germany,DEU,Europe,inherited,4.5,Financial,Money Management,father
Gerald Cavendish Grosvenor,45,2001,1677,Grosvenor Group,relation,real estate,new,49,male,United Kingdom,GBR,Europe,inherited,6.5,Financial,Real Estate,5th generation or longer
Tadashi Yanai,45,2014,1963,Fast Retailing/Uniqlo,founder,apparel,new,65,male,Japan,JPN,East Asia,founder non-finance,17.9,Non-Traded Sectors,"Retail, Restaurant",not inherited
Liem Sioe Liong,46,1996,1952,Salim Group,founder,consumer goods,new,Unknown,male,Indonesia,IDN,East Asia,self-made finance,4.5,Financial,Diversified financial,not inherited
Kirk Kerkorian,46,2001,1924,MGM Grand,investor,real estate,aquired,83,male,United States,USA,North America,self-made finance,6.4,Financial,Real Estate,not inherited
Gina Rinehart,46,2014,1955,Hancock Prospecting,relation,mining,new,60,female,Australia,AUS,North America,inherited,17.7,Resource Related,Mining and metals,father
Pierre Landolt,47,1996,2001,AxialPar,founder,venture capitalist,new,Unknown,male,Switzerland,CHE,Europe,founder non-finance,4.5,New Sectors,Technology-Medical,not inherited
Charles Schwab,47,2001,1971,Charles Schwab Corporation,founder,brokerage/banking,new,63,male,United States,USA,North America,self-made finance,6.3,Financial,Money Management,not inherited
Francois Pinault,47,2001,1963,"Pinault-Printemps-Redoute (PPR), now known as Kering",founder,apparel,new,64,male,France,FRA,Europe,founder non-finance,6.3,Non-Traded Sectors,"Retail, Restaurant",not inherited
Mikhail Fridman,47,2014,1989,Alfa Group,founder,investment banking,new,49,male,Russia,RUS,Europe,privatized and resources,17.6,Resource Related,Energy,not inherited
Donald Newhouse,48,1996,1909,Advance Publications,relation,media,new,66,male,United States,USA,North America,inherited,4.5,Non-Traded Sectors,Media,father
Michael Dell,48,2014,1984,Dell,founder,technology,new,49,male,United States,USA,North America,founder non-finance,17.5,New Sectors,Technology-Computer,not inherited
Samuel Newhouse,49,1996,1909,Advance Publications,relation,media,new,68,male,United States,USA,North America,inherited,4.5,Non-Traded Sectors,Media,father
Pierre Landolt,49,2001,2001,AxialPar,founder,venture capitalist,new,Unknown,male,Switzerland,CHE,Europe,founder non-finance,6.1,New Sectors,Technology-Medical,not inherited
Susanne Klatten,49,2014,1916,BMW,relation,cars,new,51,female,Germany,DEU,Europe,inherited,17.4,Traded Sectors,Consumer,father
Dhanin Chearavanont,50,1996,1921,Charoen Pokphand (CP Group),relation,retail,new,56,male,Thailand,THA,East Asia,inherited,4.2,Traded Sectors,Consumer,father
George Soros,50,2001,1969,Soros Fund Management,founder,hedge funds,new,70,male,United States,USA,North America,self-made finance,6,Financial,Hedge funds,not inherited
Nasser Al-Kharafi,50,2001,1956,Kharafi Group,relation,construction,new,57,male,Kuwait,KWT,Middle East/North Africa,inherited,6,Non-Traded Sectors,Constrution,father
Abigail Johnson,50,2014,1946,Fidelity Investments,relation,investment banking,new,52,female,United States,USA,North America,inherited,17.3,Financial,Money Management,3rd generation
Boehringer family,51,1996,1885,Poehringer Ingelheim,relation,pharmaceuticals,new,Unknown,Unknown,Germany,DEU,Europe,inherited,4.1,New Sectors,Technology-Medical,3rd generation
Viktor Vekselberg,51,2014,1990,Renova Group,founder,"aluminum, oil",new,56,male,Russia,RUS,Europe,privatized and resources,17.2,Resource Related,Mining and metals,not inherited
David Sainsbury,52,1996,1869,Sainsbury's,relation,groceries,new,55,male,United Kingdom,GBR,Europe,inherited,4.1,Non-Traded Sectors,"Retail, Restaurant",4th generation
Lee Shau Kee,52,2001,1976,Henderson Land Development,founder/chairman,real estate,new,73,male,Hong Kong,HKG,East Asia,self-made finance,5.9,Financial,Real Estate,not inherited
Lakshmi Mittal,52,2014,1989,ArcelorMittal,founder,steel,new,63,male,India,IND,South Asia,inherited,16.7,Resource Related,Non-consumer industrial,father
Seydoux/Schlumberger families,53,1996,1926,Schlumberger Well Services,Unknown,oilfield services,new,Unknown,Unknown,France,FRA,Europe,inherited,4,New Sectors,Technology-Medical,not inherited
Eli Broad,53,2001,1957,"Kaufman and Broad, SunAmerica",founder,construction/insurance,new/aquired,67,male,United States,USA,North America,self-made finance,5.8,Financial,Money Management,not inherited
Vladimir Lisin,53,2014,1992,NLMK,owner,steel,aquired,57,male,Russia,RUS,Europe,privatized and resources,16.6,Resource Related,Non-consumer industrial,not inherited
Masatoshi Ito,54,1996,1961,Ito-Yokado,founder,retail,new,71,male,Japan,JPN,East Asia,founder non-finance,4,Non-Traded Sectors,"Retail, Restaurant",not inherited
James Goodnight,54,2001,1976,SAS institute,founder,software,new,58,male,United States,USA,North America,founder non-finance,5.7,New Sectors,Technology-Computer,not inherited
Cheng Yu-tung,54,2014,1929,Chow Tai Fook Enterprises,relation,real estate,new,88,male,Hong Kong,HKG,East Asia,inherited,16.2,Financial,Diversified financial,father
Fukuzo Iwasaki,55,1996,1923,Iwasaki Sangyo Group,relation,real estate,new,71,male,Japan,JPN,East Asia,inherited,4,Financial,Real Estate,father
Kyosuke Kinoshita,55,2001,1948,Acom,relation,consumer loans,new,60,male,Japan,JPN,East Asia,inherited,5.6,Financial,Money Management,father
Masayoshi Son,55,2001,1981,Softbank,founder/CEO,technology,new,43,male,Japan,JPN,East Asia,founder non-finance,5.6,Non-Traded Sectors,Media,not inherited
Joseph Safra,55,2014,1955,Banco Safra (now Saftra Group),founder,banking,new,75,male,Brazil,BRA,Latin America,self-made finance,16,Financial,Money Management,not inherited
Mustafa Rahmi Koc,56,1996,1926,Koc Holding,relation,"energy, retail, manufacturing",new,65,male,Turkey,TUR,Middle East/North Africa,inherited,4,Financial,Money Management,3rd generation
Paul Allen,56,2014,1975,Microsoft,founder,technology,new,61,male,United States,USA,North America,founder non-finance,15.9,New Sectors,Technology-Computer,not inherited
Barbara Cox Anthony,57,1996,1898,Cox Enterprises,relation,media,aquired,72,female,United States,USA,North America,inherited,4,Non-Traded Sectors,Media,father
Luciano Benetton,57,2001,1965,Benetton Group,founder,fashion,new,65,male,Italy,ITA,Europe,founder non-finance,5.5,Traded Sectors,Consumer,not inherited
Robert Pritzker,57,2001,1957,Hyatt,founder,hotels,aquired,74,male,United States,USA,North America,self-made finance,5.5,Financial,Real Estate,father
Thomas Pritzker,57,2001,1957,Hyatt,relation,hotels,aquired,50,male,United States,USA,North America,inherited,5.5,Financial,Real Estate,father
Leonid Mikhelson,57,2014,1994,Novatek,chairman of management committee,gas,new,58,male,Russia,RUS,Europe,privatized and resources,15.6,Resource Related,Energy,not inherited
Anne Cox Chambers,58,1996,1898,Cox Enterprises,relation,media,aquired,76,female,United States,USA,North America,inherited,4,Non-Traded Sectors,Media,father
Anne Cox Chambers,58,2014,1898,Cox Enterprises,relation,media,aquired,94,female,United States,USA,North America,inherited,15.5,Non-Traded Sectors,Media,father
Francois Pinault,58,2014,1963,"Pinault-Printemps-Redoute (PPR), now known as Kering",founder,apparel,new,77,male,France,FRA,Europe,founder non-finance,15.5,Non-Traded Sectors,"Retail, Restaurant",not inherited
