Budget,Company,Country,Director,Genre,Gross,Name,Rating,Released,Runtime,Score,Star,Votes,Writer,Year
8000000,Columbia Pictures Corporation,USA,Rob Reiner,Adventure,52287414,Stand by Me,R,August,89,8.1,Wil Wheaton,299174,Stephen King,1986
6000000,Paramount Pictures,USA,John Hughes,Comedy,70136369,Ferris Bueller's Day Off,PG-13,June,103,7.8,Matthew Broderick,264740,John Hughes,1986
15000000,Paramount Pictures,USA,Tony Scott,Action,179800601,Top Gun,PG,May,110,6.9,Tom Cruise,236909,Jim Cash,1986
18500000,Twentieth Century Fox Film Corporation,USA,James Cameron,Action,85160248,Aliens,R,July,137,8.4,Sigourney Weaver,540152,James Cameron,1986
9000000,Walt Disney Pictures,USA,Randal Kleiser,Adventure,18564613,Flight of the Navigator,PG,August,90,6.9,Joey Cramer,36636,Mark H. Baker,1986
6000000,Hemdale,UK,Oliver Stone,Drama,138530565,Platoon,R,February,120,8.1,Charlie Sheen,317585,Oliver Stone,1986
25000000,Henson Associates (HA),UK,Jim Henson,Adventure,12729917,Labyrinth,PG,June,101,7.4,David Bowie,102879,Dennis Lee,1986
6000000,De Laurentiis Entertainment Group (DEG),USA,David Lynch,Drama,8551228,Blue Velvet,R,October,120,7.8,Isabella Rossellini,146768,David Lynch,1986
9000000,Paramount Pictures,USA,Howard Deutch,Comedy,40471663,Pretty in Pink,PG-13,February,96,6.8,Molly Ringwald,60565,John Hughes,1986
15000000,SLM Production Group,USA,David Cronenberg,Drama,40456565,The Fly,R,August,96,7.5,Jeff Goldblum,129698,George Langelaan,1986
8800000,Rimfire Films,Australia,Peter Faiman,Adventure,174635000,Crocodile Dundee,PG-13,September,97,6.5,Paul Hogan,79465,Ken Shadie,1986
16000000,Thorn EMI Screen Entertainment,UK,Russell Mulcahy,Action,5900000,Highlander,R,March,116,7.2,Christopher Lambert,104860,Gregory Widen,1986
6000000,Twentieth Century Fox Film Corporation,USA,David Seltzer,Comedy,8200000,Lucas,PG-13,March,100,6.8,Corey Haim,12228,David Seltzer,1986
25000000,Twentieth Century Fox Film Corporation,USA,John Carpenter,Action,11100000,Big Trouble in Little China,PG-13,July,99,7.3,Kurt Russell,101678,Gary Goldman,1986
15000000,De Laurentiis Entertainment Group (DEG),USA,Michael Mann,Crime,8620929,Manhunter,R,August,120,7.2,William Petersen,54000,Thomas Harris,1986
17000000,Producers Sales Organization (PSO),USA,Adrian Lyne,Drama,6734844,9 Weeks,R,February,117,5.9,Mickey Rourke,31798,Elizabeth McNeill,1986
10000000,De Laurentiis Entertainment Group (DEG),USA,Stephen King,Action,7433663,Maximum Overdrive,R,July,98,5.4,Emilio Estevez,24881,Stephen King,1986
25000000,"Geffen Company, The",USA,Frank Oz,Comedy,38747385,Little Shop of Horrors,PG-13,December,94,6.9,Rick Moranis,53327,Howard Ashman,1986
2700000,New Century Entertainment Corporation,USA,Mike Marvin,Action,3500000,The Wraith,PG-13,November,93,5.9,Charlie Sheen,11635,Mike Marvin,1986
35000000,Universal Pictures,USA,Willard Huyck,Action,16295774,Howard the Duck,PG,August,110,4.6,Lea Thompson,36020,Steve Gerber,1986
2000000,New Line Cinema,USA,Stephen Herek,Action,13167232,Critters,PG-13,April,82,6,Dee Wallace,25517,Domonic Muir,1986
11000000,Orion Pictures,USA,Alan Metter,Comedy,91258000,Back to School,PG-13,June,96,6.6,Rodney Dangerfield,23120,Rodney Dangerfield,1986
4700000,Cannon Films,USA,Tobe Hooper,Comedy,8025872,The Texas Chainsaw Massacre 2,UNRATED,August,89,5.6,Dennis Hopper,21253,L.M. Kit Carson,1986
15000000,Jay Weston Productions,USA,Clint Eastwood,Action,42724017,Heartbreak Ridge,R,December,130,6.8,Clint Eastwood,32954,James Carabatsos,1986
25000000,Paramount Pictures,USA,Leonard Nimoy,Adventure,109713132,Star Trek IV: The Voyage Home,PG,November,119,7.3,William Shatner,66366,Gene Roddenberry,1986
0,TriStar Pictures,USA,John Badham,Comedy,40697761,Short Circuit,PG,May,98,6.6,Ally Sheedy,47068,S.S. Wilson,1986
0,Neue Constantin Film,Italy,Jean-Jacques Annaud,Crime,7153487,The Name of the Rose,R,September,130,7.8,Sean Connery,86991,Umberto Eco,1986
0,TriStar Pictures,USA,Sidney J. Furie,Action,24159872,Iron Eagle,PG-13,January,117,5.3,Louis Gossett Jr.,11304,Kevin Alyn Elders,1986
25000000,Paramount Pictures,USA,Michael Ritchie,Action,79817937,The Golden Child,PG-13,December,94,5.9,Eddie Murphy,42997,Dennis Feldman,1986
1900000,Hemdale,USA,Tim Hunter,Crime,4600000,River's Edge,R,May,99,7.1,Crispin Glover,12862,Neal Jimenez,1986
25000000,L.A. Films,USA,John Landis,Comedy,39246734,¡Three Amigos!,PG,December,104,6.4,Steve Martin,57406,Steve Martin,1986
25000000,Warner Bros.,USA,George P. Cosmatos,Action,49042224,Cobra,R,May,87,5.7,Sylvester Stallone,54851,Paula Gosling,1986
0,Gaumont,France,Jean-Jacques Beineix,Drama,2003822,Betty Blue,Not specified,November,120,7.4,Jean-Hugues Anglade,14562,Philippe Djian,1986
24500000,Warner Bros.,UK,Roland Joffé,Adventure,17218023,The Mission,PG,October,125,7.5,Robert De Niro,47497,Robert Bolt,1986
13800000,Touchstone Pictures,USA,Martin Scorsese,Drama,52293982,The Color of Money,R,October,119,7,Paul Newman,62495,Walter Tevis,1986
0,Columbia Pictures Corporation,USA,John G. Avildsen,Action,115103979,The Karate Kid Part II,PG,June,113,5.9,Pat Morita,58370,Robert Mark Kamen,1986
0,Lorimar Productions,USA,Nick Castle,Drama,7177431,The Boy Who Could Fly,PG,September,114,6.5,Lucy Deakins,4623,Nick Castle,1986
6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,R,February,97,7.3,Rutger Hauer,36191,Eric Red,1986
10000000,Amblin Entertainment,USA,Richard Benjamin,Comedy,37499651,The Money Pit,PG,March,91,6.3,Tom Hanks,41278,David Giler,1986
3000000,Paramount Pictures,USA,Tom McLoughlin,Horror,19472057,Jason Lives: Friday the 13th Part VI,R,August,86,5.9,Thom Mathews,28310,Tom McLoughlin,1986
25000000,The Saul Zaentz Company,USA,Peter Weir,Adventure,14302779,The Mosquito Coast,PG,November,117,6.6,Harrison Ford,23076,Paul Theroux,1986
0,Universal Pictures,USA,Don Bluth,Animation,47483002,An American Tail,G,November,80,6.9,Dom DeLuise,41004,Judy Freudberg,1986
4000000,Initial Pictures,UK,Alex Cox,Biography,2826523,Sid and Nancy,R,November,112,7.1,Gary Oldman,25032,Alex Cox,1986
10000000,De Laurentiis Entertainment Group (DEG),USA,John Guillermin,Action,4711220,King Kong Lives,PG-13,December,105,3.8,Brian Kerwin,4401,Ronald Shusett,1986
4500000,Empire Pictures,USA,Stuart Gordon,Horror,1261000,From Beyond,R,October,86,6.7,Jeffrey Combs,16636,H.P. Lovecraft,1986
18000000,TriStar Pictures,USA,Francis Ford Coppola,Comedy,41382841,Peggy Sue Got Married,PG-13,October,103,6.3,Kathleen Turner,28529,Jerry Leichtling,1986
19000000,Freddie Fields Productions,USA,Brian Gibson,Horror,40996665,Poltergeist II: The Other Side,PG-13,May,91,5.7,JoBeth Williams,20669,Mark Victor,1986
1100000,Empire Pictures,USA,John Carl Buechler,Comedy,5450815,Troll,PG-13,January,82,4.3,Michael Moriarty,7569,Ed Naha,1986
0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726,Running Scared,R,June,107,6.5,Gregory Hines,9344,Gary DeVore,1986
0,Hawn / Sylbert Movie Company,USA,Michael Ritchie,Comedy,26285544,Wildcats,R,February,106,5.9,Goldie Hawn,10239,Ezra Sacks,1986
111000,Maljack Productions,USA,John McNaughton,Biography,609939,Henry: Portrait of a Serial Killer,UNRATED,September,83,7,Michael Rooker,25367,Richard Fire,1986
18000000,ABC Motion Pictures,USA,Harry Winer,Adventure,9697739,SpaceCamp,PG,June,107,5.6,Kate Capshaw,11484,Clifford Green,1986
6400000,Orion Pictures,USA,Woody Allen,Comedy,40084041,Hannah and Her Sisters,PG-13,March,107,8,Mia Farrow,56988,Woody Allen,1986
14000000,Walt Disney Pictures,USA,Ron Clements,Animation,38600000,The Great Mouse Detective,G,July,74,7.2,Vincent Price,36539,Peter Young,1986
8500000,De Laurentiis Entertainment Group (DEG),USA,John Irvin,Action,16209459,Raw Deal,R,June,106,5.5,Arnold Schwarzenegger,24851,Luciano Vincenzoni,1986
6000000,Sunbow Productions,USA,Nelson Shin,Animation,5849647,The Transformers: The Movie,PG,August,84,7.3,Orson Welles,33609,Ron Friedman,1986
0,TaliaFilm II Productions,USA,Hal Needham,Drama,2015882,Rad,PG,March,91,7.2,Bart Conner,4039,Sam Bernard,1986
5000000,TriStar Pictures,USA,Fred Dekker,Comedy,591366,Night of the Creeps,R,August,88,6.8,Jason Lively,16077,Fred Dekker,1986
12000000,Cannon Pictures,USA,Tobe Hooper,Horror,4884663,Invaders from Mars,PG,June,100,5.5,Karen Black,5878,Richard Blake,1986
0,Columbia Pictures Corporation,USA,Walter Hill,Drama,5839031,Crossroads,R,March,99,7.1,Ralph Macchio,11415,John Fusco,1986
6000000,De Haven Productions,UK,David Anspaugh,Drama,28607524,Hoosiers,PG,February,114,7.6,Gene Hackman,36604,Angelo Pizzo,1986
0,Svenska Filminstitutet (SFI),Sweden,Andrei Tarkovsky,Drama,300653,Sacrifice,PG,1986-11,149,8.1,Erland Josephson,16571,Andrei Tarkovsky,1986
6500000,Cinema '85,USA,James Foley,Crime,2347000,At Close Range,R,April,111,7,Sean Penn,11607,Elliott Lewitt,1986
0,Blueline Productions,USA,Peter Markle,Drama,15448384,Youngblood,R,January,110,6.1,Rob Lowe,10412,Peter Markle,1986
0,Seasonal Film Corporation,USA,Corey Yuen,Action,4662137,"No Retreat, No Surrender",PG,May,85,5.6,Kurt McKinney,12803,See-Yuen Ng,1986
0,Universal Pictures,USA,Anthony Perkins,Horror,14481606,Psicosis III,R,July,93,5.3,Anthony Perkins,10022,Charles Edward Pogue,1986
20000000,Paramount Pictures,USA,Mike Nichols,Comedy,25314289,Heartburn,R,July,108,6.1,Meryl Streep,7570,Nora Ephron,1986
15000000,Warner Bros.,USA,Michael Chapman,Adventure,1953732,The Clan of the Cave Bear,R,January,98,5.3,Daryl Hannah,5340,Jean M. Auel,1986
12000000,Golan-Globus Productions,USA,Menahem Golan,Action,17768900,The Delta Force,R,February,125,5.6,Chuck Norris,15819,James Bruner,1986
0,Warner Bros.,USA,Wes Craven,Drama,8988731,Deadly Friend,R,October,91,5.5,Matthew Labyorteaux,5419,Diana Henstell,1986
0,TriStar Pictures,USA,Edward Zwick,Comedy,38702310,About Last Night...,R,July,113,6.2,Rob Lowe,12307,David Mamet,1986
0,Balcor Film Investors,USA,Steve Miner,Comedy,27820000,Soul Man,PG-13,October,104,5.2,C. Thomas Howell,6440,Carol Black,1986
0,A&M; Films,USA,Savage Steve Holland,Comedy,13431806,One Crazy Summer,PG,August,93,6.4,John Cusack,11581,Savage Steve Holland,1986
0,De Laurentiis Entertainment Group (DEG),USA,Charles Martin Smith,Comedy,6797218,Trick or Treat,R,October,98,5.8,Marc Price,4585,Rhet Topham,1986
18000000,Paramount Pictures,USA,Ron Howard,Comedy,36611610,Gung Ho,PG-13,March,112,6.2,Michael Keaton,9965,Edwin Blum,1986
0,American Filmworks,USA,Sidney Lumet,Crime,25147055,The Morning After,R,December,103,6,Jane Fonda,4943,James Cresson,1986
0,Police Academy Productions,USA,Jerry Paris,Comedy,43579163,Police Academy 3: Back in Training,PG,March,83,5.2,Steve Guttenberg,35443,Neal Israel,1986
175000,40 Acres & A Mule Filmworks,USA,Spike Lee,Comedy,7137502,She's Gotta Have It,R,August,84,6.6,Tracy Camilla Johns,5257,Spike Lee,1986
0,Touchstone Pictures,USA,Jim Abrahams,Comedy,71624879,Ruthless People,R,June,93,6.9,Bette Midler,22554,Dale Launer,1986
8700000,Delphi V Productions,USA,Paul Michael Glaser,Action,4865912,Band of the Hand,R,April,109,6.3,Stephen Lang,2297,Leo Garen,1986
0,Cannon Group,USA,John Frankenheimer,Crime,5186646,52 Pick-Up,R,November,110,6.4,Roy Scheider,3866,Elmore Leonard,1986
0,Paramount Pictures,USA,Randa Haines,Drama,31853080,Children of a Lesser God,R,October,119,7.2,William Hurt,12538,Mark Medoff,1986
12000000,Columbia Pictures Corporation,USA,Mark L. Lester,Action,15945534,Armed and Dangerous,PG-13,August,88,5.6,John Candy,9040,Brian Grazer,1986
1100000,Black Snake,USA,Jim Jarmusch,Comedy,1436000,Down by Law,R,October,107,7.8,Tom Waits,39456,Jim Jarmusch,1986
10000000,Orion Pictures,USA,Robert Mandel,Action,20603715,F/X,R,February,109,6.7,Bryan Brown,14502,Robert T. Megginson,1986
0,Fuji Television Network,Japan,Masanori Hata,Adventure,13245219,The Adventures of Milo and Otis,G,August,90,7.1,Kyôko Koizumi,9178,Masanori Hata,1986
0,Religioso Primitiva,USA,Jonathan Demme,Comedy,8362969,Something Wild,R,November,114,6.9,Jeff Daniels,13186,E. Max Frye,1986
18000000,Gladden Entertainment,USA,Marshall Brickman,Sci-Fi,3900000,The Manhattan Project,PG-13,June,117,6.1,John Lithgow,4666,Marshall Brickman,1986
5000000,Paramount Pictures,USA,Fred Walton,Horror,12947763,April Fool's Day,R,March,89,6.2,Deborah Foreman,11458,Danilo Bach,1986
25000000,Brooksfilms,USA,Alan Johnson,Action,1579260,Solarbabies,PG-13,November,94,4.8,Richard Jordan,3397,Walon Green,1986
0,Kings Road Entertainment,USA,Jim McBride,Comedy,17685307,The Big Easy,R,August,102,6.6,Dennis Quaid,10022,Daniel Petrie Jr.,1986
0,Lawrence Gordon Productions,USA,Penny Marshall,Comedy,25587804,Jumpin' Jack Flash,R,October,105,5.8,Whoopi Goldberg,15703,David Franzoni,1986
40000000,Carthago Films S.a.r.l.,France,Roman Polanski,Adventure,1641825,Piratas,PG-13,July,121,6.1,Walter Matthau,6596,John Brownjohn,1986
0,Meltdown Productions,UK,Jimmy T. Murakami,Animation,5274,When the Wind Blows,Not specified,March,80,7.8,Peggy Ashcroft,7900,Raymond Briggs,1986
10000000,Touchstone Pictures,USA,Jeff Kanew,Comedy,21458229,Tough Guys,PG,October,104,6.2,Burt Lancaster,5584,James Orr,1986
0,Compañía Iberoamericana de TV,Spain,Pedro Almodóvar,Drama,206952,Matador,NC-17,March,110,7,Assumpta Serna,8959,Pedro Almodóvar,1986
0,New World Pictures,USA,Harley Cokeliss,Action,6637565,Black Moon Rising,R,January,100,5.4,Tommy Lee Jones,4045,John Carpenter,1986
12000000,Cinema Group Ventures,USA,Roger Spottiswoode,Comedy,7790931,The Best of Times,PG-13,January,104,5.9,Robin Williams,5523,Ron Shelton,1986
2000000,Paragon Arts International,UK,Kevin Tenney,Horror,7369373,Witchboard,R,March,98,5.7,Todd Allen,4744,Kevin Tenney,1986
14000000,Touchstone Pictures,USA,Paul Mazursky,Comedy,62134225,Down and Out in Beverly Hills,R,January,103,6.1,Nick Nolte,13569,René Fauchois,1986
8500000,Capital Equipment Leasing,UK,Trevor Nunn,Biography,277646,Lady Jane,PG-13,February,136,7.2,Helena Bonham Carter,5364,Chris Bryant,1986
0,Columbia Pictures Corporation,USA,Thomas Michael Donnelly,Crime,7634909,Quicksilver,PG,February,105,5.6,Kevin Bacon,3720,Thomas Michael Donnelly,1986
0,Sunbow Productions,USA,Mike Joens,Animation,5958456,My Little Pony: The Movie,G,June,86,6,Danny DeVito,2125,George Arthur Bloom,1986
0,Virgin Vision,UK,Ken Russell,Horror,916172,Gothic,R,April,87,5.7,Gabriel Byrne,5843,Lord Byron,1986
18000000,Producers Sales Organization (PSO),USA,Hal Ashby,Action,1305114,8 Million Ways to Die,R,April,115,5.7,Jeff Bridges,3607,Lawrence Block,1986
0,TriStar Pictures,USA,Richard Pearce,Crime,12303904,No Mercy,R,December,106,5.7,Richard Gere,5564,James Carabatsos,1986
0,Orion Pictures,USA,Gene Wilder,Comedy,8033397,Haunted Honeymoon,PG,July,82,5.6,Gene Wilder,5549,Gene Wilder,1986
0,Empire Pictures,USA,Ted Nicolaou,Comedy,320256,TerrorVision,R,February,83,5.7,Diane Franklin,4620,Ted Nicolaou,1986
0,Golan-Globus Productions,USA,Gary Nelson,Action,3751699,Allan Quatermain and the Lost City of Gold,PG,January,99,4.4,Richard Chamberlain,7491,H. Rider Haggard,1986
0,HandMade Films,UK,Neil Jordan,Crime,5794184,Mona Lisa,R,June,104,7.4,Bob Hoskins,10747,Neil Jordan,1986
0,Delphi Films,USA,Garry Marshall,Comedy,32324557,Nothing in Common,PG,July,118,5.9,Tom Hanks,5345,Rick Podell,1986
8000000,Cannon Group,USA,J. Lee Thompson,Action,11834302,Firewalker,PG,November,104,5,Chuck Norris,4752,Robert Gosnell,1986
0,Cannon Screen Entertainment,UK,Nicolas Roeg,Adventure,483460,Castaway,R,September,117,6,Oliver Reed,2649,Lucy Irvine,1986
3300000,Amaretto Films,USA,Richard Wenk,Comedy,4941117,Vamp,R,July,93,5.9,Chris Makepeace,3909,Donald P. Borchers,1986
0,British Film Institute (BFI),UK,Derek Jarman,Biography,3151,Caravaggio,Not specified,August,93,6.7,Noam Almaz,4072,Derek Jarman,1986
0,Les Films Plain Chant,France,Leos Carax,Crime,21483,Mauvais Sang,UNRATED,November,116,7.3,Michel Piccoli,4922,Leos Carax,1986
0,Paramount Pictures,USA,Duncan Gibbins,Drama,4636169,Fire with Fire,PG-13,May,103,6.6,Craig Sheffer,1264,Bill Phillips,1986
15000000,Warner Bros.,USA,Harold Ramis,Comedy,12308521,Club Paradise,PG-13,July,96,4.9,Robin Williams,5049,Harry Shearer,1986
40000000,Universal Pictures,USA,Ivan Reitman,Comedy,49851591,Legal Eagles,PG,June,116,5.9,Robert Redford,8374,Ivan Reitman,1986
0,Thorn EMI Screen Entertainment,UK,Christopher Morahan,Comedy,1476356,Clockwise,PG,October,96,6.6,John Cleese,9689,Michael Frayn,1986
0,Atlantic Entertainment Group,USA,Robert M. Young,Drama,13418091,Extremities,R,August,89,6.3,Farrah Fawcett,2705,William Mastrosimone,1986
13000000,Metro-Goldwyn-Mayer (MGM),USA,Brian De Palma,Comedy,8475466,Wise Guys,R,April,100,5.6,Danny DeVito,4573,George Gallo,1986
0,Atlantic Entertainment Group,USA,Peter Medak,Drama,2444076,The Men's Club,R,September,101,4.5,David Dukes,680,Leonard Michaels,1986
0,DD Productions,Switzerland,Claude Berri,Drama,4940939,Jean de Florette,PG,August,120,8.1,Yves Montand,20914,Claude Berri,1986
0,Balcor Film Investors,USA,Tom DeSimone,Drama,2510433,Reform School Girls,R,August,94,5.2,Linda Carol,1717,Jack Cummins,1986
0,DD Productions,Switzerland,Claude Berri,Drama,3940542,Manon of the Spring,PG,December,113,8,Yves Montand,17849,Claude Berri,1986
17000000,HandMade Films,UK,Jim Goddard,Adventure,2315683,Shanghai Surprise,PG-13,August,97,3.1,Sean Penn,4339,John Kohn,1986
16000000,Lorimar Productions,USA,Sidney Lumet,Drama,3800000,Power,R,January,111,5.7,Richard Gere,2287,David Himmelstein,1986
0,Not specified,USA,Jerry Kramer,Comedy,604849,Modern Girls,PG-13,November,84,5.9,Daphne Zuniga,1023,Laurie Craig,1986
20000000,De Laurentiis Entertainment Group (DEG),USA,Bruce Beresford,Comedy,22905500,Crimes of the Heart,PG-13,January,105,6.4,Diane Keaton,3079,Beth Henley,1986
0,Cinema VII,USA,John McTiernan,Horror,2278264,Nomads,R,March,91,5.5,Lesley-Anne Down,3006,John McTiernan,1986
0,Empire Pictures,USA,Peter Manoogian,Action,4601256,Eliminators,PG,January,96,4.5,Andrew Prine,1422,Paul De Meo,1986
0,TMS Pictures,Canada,George Mendeluk,Comedy,2147228,Meatballs III: Summer Job,R,January,96,3.3,Sally Kellerman,2003,Janis Allen,1986
6000000,Golan-Globus Productions,USA,J. Lee Thompson,Action,9947631,Murphy's Law,R,April,100,5.9,Charles Bronson,3561,Gail Morgan Hickman,1986
0,Edward R. Pressman Film,USA,David Byrne,Musical,2545142,True Stories,PG,October,90,7,David Byrne,3885,Stephen Tobolowsky,1986
0,Warner Bros.,USA,Prince,Comedy,10090429,Under the Cherry Moon,PG-13,July,98,4.9,Prince,2549,Becky Johnston,1986
0,Delphi V Productions,Israel,Moshé Mizrahi,Drama,278623,Every Time We Say Goodbye,PG-13,November,95,5.9,Tom Hanks,1834,Moshé Mizrahi,1986
0,Goldcrest Films International,UK,Julien Temple,Drama,930211,Absolute Beginners,PG-13,April,108,5.6,Patsy Kensit,2659,Colin MacInnes,1986
0,Little Bear,USA,Bertrand Tavernier,Drama,3272600,'Round Midnight,R,October,133,7.4,Dexter Gordon,4028,David Rayfiel,1986
4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,September,104,5.9,Michael Dudikoff,1808,James Booth,1986
0,Simcom Limited,Canada,Paul Lynch,Action,2995527,Bullies,R,August,96,5.4,Jonathan Crombie,340,John Sheppard,1986
0,Compact Yellowbill,UK,John Hough,Adventure,112132,Biggles: Adventures in Time,PG,January,88,5.8,Neil Dickson,2243,W.E. Johns,1986
0,Lorimar Productions,USA,Albert Magnoli,Drama,4845724,American Anthem,PG-13,June,102,4,Mitchell Gaylord,1284,Evan Archerd,1986
0,Columbia Pictures Corporation,USA,Richard Tuggle,Action,5099316,Out of Bounds,R,July,93,5.4,Anthony Michael Hall,1016,Tony Kayden,1986
0,Crown International Pictures,USA,David Beaird,Comedy,4781448,My Chauffeur,R,January,97,5.6,Deborah Foreman,1426,David Beaird,1986
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,December,108,6.9,Blythe Danner,2720,Neil Simon,1986
0,Ministère de la Culture et de la Communication,France,Éric Rohmer,Drama,37455,Summer,R,August,98,7.8,Marie Rivière,4612,Marie Rivière,1986
0,Cannon Group,USA,Paul Nicholas,Drama,3136701,The Naked Cage,R,March,97,5.5,Shari Shattuck,327,Paul Nicholas,1986
0,Cannon Screen Entertainment,UK,Richard Franklin,Horror,1720450,Link,R,September,100,5.9,Terence Stamp,2080,Lee David Zlotoff,1986
0,Edward R. Pressman Film,UK,Bob Swaim,Thriller,1131399,Half Moon Street,R,September,90,5.4,Sigourney Weaver,2157,Edward Behr,1986
0,Aaron Spelling Productions,USA,Tom Moore,Drama,441863,"'night, Mother",PG-13,January,96,7.6,Sissy Spacek,1840,Marsha Norman,1986
0,Blake Edwards,USA,Blake Edwards,Action,6029824,A Fine Mess,PG,August,90,4.5,Ted Danson,1164,Blake Edwards,1986
0,Chroma III Productions,USA,Mark Griffiths,Comedy,78068,Hardbodies 2,R,September,88,2.9,James Karen,895,Mark Griffiths,1986
0,Fons Rademakers Produktie,Netherlands,Fons Rademakers,Drama,203781,The Assault,PG,February,155,7.3,Derek de Lint,2694,Gerard Soeteman,1986
0,Griffon Productions,USA,Paul Schneider,Comedy,277405,Willy/Milly,PG-13,November,86,5.7,Pamela Adlon,323,Alan Friedman,1986
0,Heron Communications,USA,Janet Greek,Drama,239073,The Ladies Club,R,1986-04,85,5.3,Karen Austin,154,Casey Bishop,1986
0,Delphi V Productions,USA,Stuart Rosenberg,Action,140980,Let's Get Harry,R,October,102,5.2,Michael Schoeffling,978,Mark Feldberg,1986
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,November,127,5.5,Bryan Brown,1340,John Briley,1986
0,Scary Stuff,USA,Jeffrey Delman,Comedy,2750741,Deadtime Stories,R,November,93,4.6,Scott Valentine,973,Jeffrey Delman,1986
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,March,101,5.5,Burt Reynolds,1358,William Goldman,1986
0,Kings Road Entertainment,USA,Robert Mandel,Comedy,1254040,Touch and Go,R,August,101,5.8,Michael Keaton,684,Alan Ormsby,1986
0,Canadian Broadcasting Corporation (CBC),Canada,Charles Jarrott,Biography,275000,The Boy in Blue,R,January,100,5.4,Nicolas Cage,907,Douglas Bowie,1986
0,Universal Pictures,USA,Alan Alda,Comedy,14205021,Sweet Liberty,PG,May,106,5.7,Alan Alda,2300,Alan Alda,1986
0,Marquis,USA,William Fruet,Comedy,681337,Killer Party,R,May,91,4.7,Martin Hewitt,1265,Barney Cohen,1986
0,Rondo Productions,USA,Bill Sherwood,Drama,537681,Parting Glances,Not specified,February,90,7.8,John Bolger,2330,Bill Sherwood,1986
0,Nelvana,Canada,Dale Schott,Animation,8540346,Care Bears Movie II: A New Generation,G,March,76,5.3,Maxine Miller,1760,Peter Sauder,1986
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,May,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986
0,Balcor Film Investors,USA,Andrew Lane,Action,1943751,Jake Speed,PG,May,100,5.3,Wayne Crawford,632,Wayne Crawford,1986
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,August,97,4.3,Mike Norris,1509,Renny Harlin,1986
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,May,83,4.4,Judd Nelson,792,Ross Macdonald,1986
0,Cascade Films,Australia,Nadia Tass,Comedy,544472,Malcolm,PG-13,November,90,7.2,Colin Friels,1623,David Parker,1986
0,Miramax,USA,Bob Weinstein,Comedy,2669366,Playing for Keeps,PG-13,October,102,4.1,Daniel Jordano,515,Bob Weinstein,1986
0,Golan-Globus Productions,USA,Andrey Konchalovskiy,Drama,8736,Duet for One,R,1987-02,107,7,Julie Andrews,699,Tom Kempinski,1986
0,Island Pictures,USA,Evelyn Purcell,Comedy,563358,Nobody's Fool,PG-13,November,107,5.5,Rosanna Arquette,652,Beth Henley,1986
0,Paramount Pictures,USA,John Byrum,Comedy,444746,The Whoopee Boys,R,August,88,6.2,Michael O'Keefe,639,Steve Zacharias,1986
0,Blake Edwards,USA,Blake Edwards,Comedy,4079895,That's Life!,PG-13,October,102,6.1,Jack Lemmon,1032,Milton Wexler,1986
0,Hemdale,USA,Hal Needham,Comedy,14926,Body Slam,PG,May,89,5.3,Dirk Benedict,795,Shel Lytton,1986
0,"Rank Organisation, The",UK,David Drury,Thriller,750000,Defense of the Realm,PG,November,96,6.6,Gabriel Byrne,1625,Martin Stellman,1986
0,Cinequanon,Argentina,Eliseo Subiela,Drama,725000,Man Facing Southeast,R,March,105,7.8,Lorenzo Quinteros,2991,Eliseo Subiela,1986
0,Corporation Image M & M,Canada,Denys Arcand,Comedy,1902706,The Decline of the American Empire,R,November,101,7.3,Dominique Michel,6622,Denys Arcand,1986
0,Rastar Films,USA,Jack Fisk,Drama,4743287,Violets Are Blue...,PG-13,April,88,5.7,Sissy Spacek,553,Naomi Foner,1986
0,Portreeve,UK,Simon Langton,Thriller,1500000,The Whistle Blower,PG,July,100,6.2,Michael Caine,1672,Julian Bond,1986
2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,December,111,5.9,Victor Love,448,Richard Wesley,1986
0,Carson Productions,USA,Eugene Corr,Drama,416393,Desert Bloom,PG,April,105,6.6,Jon Voight,821,Linda Remy,1986
0,Alternate Current,USA,Lizzie Borden,Drama,1777378,Working Girls,UNRATED,March,93,6.5,Louise Smith,604,Lizzie Borden,1986
0,Ciné Valse,France,Bertrand Blier,Comedy,925952,Ménage,Not specified,October,84,7,Gérard Depardieu,2022,Bertrand Blier,1986
0,Caméras Continentales,Denmark,Henning Carlsen,Biography,583800,Oviri,R,September,100,6.2,Donald Sutherland,275,Henning Carlsen,1986
0,Film Corporation of Kenya,UK,Raju Patel,Action,181410,In the Shadow of Kilimanjaro,R,May,100,5.1,John Rhys-Davies,310,T. Michael Harry,1986
