Budget,Company,Country,Director,Genre,Gross,Name,Rating,Released,Runtime,Score,Star,Votes,Writer,Year
0,Paris Film,Canada,Oz Perkins,Horror,19980,The Blackcoat's Daughter,R,February,93,5.8,Emma Roberts,6768,Oz Perkins,2015
15000000,Legendary Entertainment,USA,Michael Dougherty,Comedy,42592530,Krampus,PG-13,December,98,6.2,Adam Scott,44393,Todd Casey,2015
8000000,Indian Paintbrush,USA,Alfonso Gomez-Rejon,Comedy,6743776,Me and Earl and the Dying Girl,PG-13,July,105,7.8,Thomas Mann,96689,Jesse Andrews,2015
0,HanWay Films,UK,Ben Wheatley,Drama,343139,High-Rise,R,April,119,5.7,Tom Hiddleston,28067,Amy Jump,2015
25000000,1821 Pictures,USA,Gavin O'Connor,Action,1512815,Jane Got a Gun,R,January,98,5.9,Natalie Portman,15689,Brian Duffield,2015
25000000,EuropaCorp,France,Camille Delamarre,Action,16027866,El transportador recargado,PG-13,September,96,5.1,Ed Skrein,32420,Adam Cooper,2015
30000000,Warner Bros.,USA,Doug Ellin,Comedy,32361416,Entourage,R,June,104,6.6,Adrian Grenier,66336,Doug Ellin,2015
7000000,Forest Whitaker's Significant Productions,USA,Rick Famuyiwa,Comedy,17474107,Dope,R,June,103,7.3,Shameik Moore,69552,Rick Famuyiwa,2015
50000000,Warner Bros.,USA,Jaume Collet-Serra,Action,26442251,Run All Night,R,March,114,6.6,Liam Neeson,85225,Brad Ingelsby,2015
0,Regency Enterprises,USA,Rupert Goold,Crime,4715819,True Story,R,April,99,6.3,James Franco,44237,Rupert Goold,2015
0,Frenesy Film Company,Italy,Luca Guadagnino,Drama,1982505,A Bigger Splash,R,May,125,6.4,Tilda Swinton,16900,David Kajganich,2015
0,Fox Searchlight Pictures,UK,Thomas Vinterberg,Drama,12229314,Far from the Madding Crowd,PG-13,May,119,7.1,Carey Mulligan,36196,Thomas Hardy,2015
10000000,Universal Pictures,France,Angelina Jolie,Drama,531009,Frente al mar,R,January,122,5.2,Brad Pitt,13055,Angelina Jolie,2015
13000000,Raindog Films,UK,Gavin Hood,Drama,18700837,Eye in the Sky,R,April,102,7.3,Helen Mirren,61722,Guy Hibbert,2015
16000000,Freedom Media,USA,Drake Doremus,Drama,32095,Equals,PG-13,May,101,6,Nicholas Hoult,18681,Nathan Parker,2015
23000000,LStar Capital,USA,Jeremy Garelick,Comedy,64460211,The Wedding Ringer,R,January,101,6.7,Kevin Hart,60737,Jeremy Garelick,2015
0,Edward R. Pressman Film,UK,Matt Brown,Biography,3866794,The Man Who Knew Infinity,PG-13,April,108,7.2,Dev Patel,33630,Matt Brown,2015
2000000,StudioCanal,UK,Max Joseph,Drama,3590010,We Are Your Friends,R,August,96,6.2,Zac Efron,27695,Max Joseph,2015
6000000,"Princess Grace Foundation, The",USA,Cary Fukunaga,Drama,83861,Beasts of No Nation,NOT RATED,October,137,7.8,Abraham Attah,52905,Cary Fukunaga,2015
30000000,Little Stranger,USA,Jason Moore,Comedy,87044645,Sisters,R,December,118,6,Amy Poehler,52137,Paula Pell,2015
0,Archimede,Italy,Matteo Garrone,Drama,80809,Tale of Tales,R,April,134,6.4,Salma Hayek,18674,Giambattista Basile,2015
