Main dish,Main dish cooking method,Stuffing base,Cranberry Sauce,Gravy?,Brussel sprouts?,Carrots?,Cauliflower?,Corn?,Cornbread?,Fruit salad?,Green beans/green bean casserole?,Mac and cheese?,Mashed potatoes?,Rolls/biscuits?,Squash?,Vegetable salad?,Yams/sweet potato casserole?,Apple pie?,Buttermilk pie?,Cherry pie?,Chocolate pie?,Coconut cream pie?,Key lime pie?,Peach pie?,Pecan pie?,Pumpkin pie?,Sweet potato pie?,Apple cobbler?,Blondies?,Brownies?,Carrot cake?,Cheesecake?,Cookies?,Fudge?,Ice cream?,Peach cobbler?,US region
Turkey,Roasted,Bread-based,Canned,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,East North Central
Other,Baked,Bread-based,Homemade,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Pacific
Turkey,Baked,Bread-based,None,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Pacific
Other,Other,None,Homemade,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Pacific
Turkey,Baked,None,Homemade,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Pacific
Tofurkey,Baked,Bread-based,Homemade,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Middle Atlantic
Turkey,Baked,Bread-based,None,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,South Atlantic
Turkey,Roasted,Bread-based,None,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,East South Central
Turkey,I don't know,Bread-based,Homemade,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,New England
Turkey,Baked,Bread-based,Canned,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Pacific
Ham/Pork,Roasted,Bread-based,Homemade,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,West South Central
Turkey,Baked,Bread-based,None,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,West North Central
Turkey,Baked,Bread-based,Homemade,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Middle Atlantic
Turkey,Baked,Bread-based,Canned,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Mountain
Turkey,Baked,Bread-based,Homemade,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Middle Atlantic
Turkey,Baked,None,Homemade,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Pacific
Turkey,Baked,Bread-based,None,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,West North Central
Turkey,Baked,Bread-based,Canned,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Pacific
Turkey,Baked,Bread-based,None,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,South Atlantic
Turkey,Fried,Bread-based,None,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,West South Central
