Star host name,Number of stars,Number of planets,Discovery year,Orbit length in earth days,Size in earths,Mass in earths,Star temperature in kelvin,Star size in suns,Star mass in suns,Star age in billions of years
WASP-185,1,1,2019,9.39,14.01,311.47,5900,1.50,1.12,6.60
WASP-186,1,1,2020,5.03,12.44,"1,341.24",6361,1.47,1.22,3.10
WASP-187,1,1,2020,5.15,18.38,254.26,6150,2.83,1.54,2.55
WASP-192,1,1,2019,2.88,13.79,731.01,5910,1.32,1.09,5.70
WASP-20,2,1,2015,4.90,16.39,98.84,5940,1.39,1.20,7.00
WASP-28,1,1,2014,3.41,13.60,288.26,6150,1.09,1.02,5.00
WASP-36,2,1,2011,1.54,14.87,750.40,5959,0.98,1.08,1.40
WASP-4,1,1,2007,1.34,14.81,376.95,5400,0.89,0.86,7.00
WASP-42,1,1,2012,4.98,12.58,167.50,5315,0.89,0.95,4.40
WASP-46,1,1,2011,1.43,13.16,607.06,5600,0.86,0.83,9.60
WASP-5,1,1,2008,1.63,12.18,502.15,5700,1.03,0.96,5.40
WASP-52,1,1,2012,1.75,14.24,146.20,5000,0.79,0.87,0.40
WASP-59,1,1,2012,7.92,8.69,274.28,4650,0.61,0.72,0.50
WASP-64,2,1,2012,1.57,14.25,403.95,5400,1.06,1.00,1.20
WASP-65,1,1,2013,2.31,12.46,492.62,5600,1.01,0.93,8.00
WASP-7,1,1,2008,4.95,14.91,305.12,6400,1.43,1.28,2.40
WASP-70 A,2,1,2014,3.71,13.05,187.51,5763,1.22,1.11,9.50
WASP-75,2,1,2013,2.48,14.24,340.06,6100,1.26,1.14,3.50
WASP-76,2,1,2016,1.81,20.51,292.40,6250,1.73,1.46,5.30
WASP-83,1,1,2015,4.97,11.66,95.35,5510,1.05,1.11,5.00
WASP-84,1,1,2014,8.52,10.56,220.57,5314,0.75,0.84,1.00
WASP-89,1,1,2015,3.36,11.66,"1,875.20",5130,0.88,0.92,1.30
WASP-90,1,1,2016,3.92,18.27,200.23,6430,1.98,1.55,4.40
WASP-92,1,1,2016,2.17,16.38,255.85,6280,1.34,1.19,2.29
WASP-93,1,1,2016,2.73,17.90,467.21,6700,1.52,1.33,0.70
WASP-96,1,1,2014,3.43,13.45,152.55,5540,1.05,1.06,8.00
WASP-98,2,1,2014,2.96,12.82,293.04,5473,0.74,0.81,2.70
WD 1856+534,3,1,2020,1.41,10.40,"4,386.05",4710,0.01,0.52,7.93
WTS-1,1,1,2012,3.35,16.70,"1,274.44",6250,1.15,1.20,2.55
WTS-2,1,1,2014,1.02,15.28,355.97,5000,0.75,0.82,0.60
XO-6,1,1,2016,3.77,23.20,"1,398.45",6720,1.93,1.47,1.88
XO-7,1,1,2019,2.86,15.39,225.34,6250,1.48,1.41,1.18
HD 39091,1,2,2018,6.27,2.04,4.82,6037,1.10,1.09,2.98
