school_name,state_school_id,nces_id,course_id,course_name,teacher_name_or_id,num_students_enrolled,num_students_female,num_students_black_or_african_american,num_students_hispanic_or_latino,num_students_american_indian_or_native_alaskan,num_students_native_hawaiian_or_pacific_islander,num_students_free_or_reduced_lunch,num_students_special_education_status,num_students_english_language_learner_status
INLET GROVE COMMUNITY HIGH SCHOOL,FL-50-1461,120150001557,9001110,FOUND OF WEB DESIGN,unspecified,44,19,33,8,0,0,31,3,1
INLET GROVE COMMUNITY HIGH SCHOOL,FL-50-1461,120150001557,9001120,USER INTERFACE DSN,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
INLET GROVE COMMUNITY HIGH SCHOOL,FL-50-1461,120150001557,9001130,WEB SCRIPT FUND,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
INTERLACHEN HIGH SCHOOL,FL-54-0112,120162001802,0200335,AP COMPUTER SCI PRIN,unspecified,20,5,3,1,1,0,9,0,0
INTERNATIONAL STUDIES CHARTER HIGH SCHOOL,FL-13-7007,120039003977,0200320,AP COMPUTER SCI A,unspecified,22,3,1,17,0,0,15,0,1
ISLAND COAST HIGH SCHOOL,FL-36-0491,120108007353,9001110,FOUND OF WEB DESIGN,unspecified,21,7,2,5,0,0,4,0,1
ISLAND COAST HIGH SCHOOL,FL-36-0491,120108007353,9001130,WEB SCRIPT FUND,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
ISLAND COAST HIGH SCHOOL,FL-36-0491,120108007353,9001140,MEDIA INTEGRAT ESS,unspecified,122,60,18,40,0,0,51,5,6
ITECH@THOMAS A EDISON EDUCATIONAL CENTER,FL-13-7005,120039008412,0200335,AP COMPUTER SCI PRIN,unspecified,14,3,8,4,0,0,10,3,0
ITECH@THOMAS A EDISON EDUCATIONAL CENTER,FL-13-7005,120039008412,9001110,FOUND OF WEB DESIGN,unspecified,20,5,13,5,0,0,15,5,0
ITECH@THOMAS A EDISON EDUCATIONAL CENTER,FL-13-7005,120039008412,9001130,WEB SCRIPT FUND,unspecified,10,2,7,3,0,0,8,0,0
ITECH@THOMAS A EDISON EDUCATIONAL CENTER,FL-13-7005,120039008412,9001140,MEDIA INTEGRAT ESS,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified
