error_manifest_object_key,undelivered_batch_object_key,undelivered_batch_position_in_manifest,records_in_batch,records_modified,records_skipped,redelivery_batch_object_key,redelivery_manifest_object_key,redelivery_date_time,redelivery_status,redelivery_status_reason
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-06-56-9e37fd2e-a084-4136-9fd8-61ce4de51e95,2024/05/14/18/analysis-events-4-2024-05-14-18-06-26-39f23fd4-c0d3-4f9e-91e1-9b777d70af64,0,1777,210,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-06-26-39f23fd4-c0d3-4f9e-91e1-9b777d70af64,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-06-26-39f23fd4-c0d3-4f9e-91e1-9b777d70af64,2024-09-30T23:46:03+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-07-07-e713fd6e-c3ca-4a3d-985e-603b9f7d1c72,2024/05/14/18/analysis-events-4-2024-05-14-18-06-36-22339006-9e01-435c-ab1e-40db006c9e67,0,1786,239,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-06-36-22339006-9e01-435c-ab1e-40db006c9e67,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-06-36-22339006-9e01-435c-ab1e-40db006c9e67,2024-09-30T23:46:09+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-08-42-e0d4d1c0-6698-41a4-acf1-9588afb6230e,2024/05/14/18/analysis-events-4-2024-05-14-18-08-15-a5dd84ae-50ba-441b-aa2c-8b23dc6bf810,0,1768,185,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-08-15-a5dd84ae-50ba-441b-aa2c-8b23dc6bf810,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-08-15-a5dd84ae-50ba-441b-aa2c-8b23dc6bf810,2024-09-30T23:46:15+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-09-47-daf7d166-3703-4002-bd23-5a201f144090,2024/05/14/18/analysis-events-4-2024-05-14-18-09-17-dcd90127-1176-40a0-a84c-c41e718f1a8b,0,1792,218,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-09-17-dcd90127-1176-40a0-a84c-c41e718f1a8b,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-09-17-dcd90127-1176-40a0-a84c-c41e718f1a8b,2024-09-30T23:46:20+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-10-07-cc043885-dffd-4c02-b4f9-458762d1c714,2024/05/14/18/analysis-events-4-2024-05-14-18-09-37-6df99405-61ce-4589-94de-b6c8db940769,0,1789,248,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-09-37-6df99405-61ce-4589-94de-b6c8db940769,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-09-37-6df99405-61ce-4589-94de-b6c8db940769,2024-09-30T23:46:24+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-10-17-50211f2c-08d7-4b0e-a8e3-2a6f8b0aa022,2024/05/14/18/analysis-events-4-2024-05-14-18-09-46-5b3cebbc-763a-4edd-9678-8249fc8ba1fa,0,1803,243,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-09-46-5b3cebbc-763a-4edd-9678-8249fc8ba1fa,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-09-46-5b3cebbc-763a-4edd-9678-8249fc8ba1fa,2024-09-30T23:46:30+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-10-34-82a7e90c-d0c3-47c4-8836-93ed6dba7905,2024/05/14/18/analysis-events-4-2024-05-14-18-10-06-51440fa9-297c-419c-b427-5ff00d0acbe2,0,1799,246,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-10-06-51440fa9-297c-419c-b427-5ff00d0acbe2,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-10-06-51440fa9-297c-419c-b427-5ff00d0acbe2,2024-09-30T23:46:35+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-14-07-52d7fd3a-1368-4fd7-a1bf-563bd1edbafe,2024/05/14/18/analysis-events-4-2024-05-14-18-13-39-d6840ff4-5e3d-49f2-88c2-2af6b8b30cf8,0,1779,227,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-13-39-d6840ff4-5e3d-49f2-88c2-2af6b8b30cf8,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-13-39-d6840ff4-5e3d-49f2-88c2-2af6b8b30cf8,2024-09-30T23:46:40+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-14-38-81e19c83-4f68-491b-a6ac-833c1398ff1d,2024/05/14/18/analysis-events-4-2024-05-14-18-14-09-05907928-0852-48a7-aad5-0f5117a6d8ca,0,1757,218,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-14-09-05907928-0852-48a7-aad5-0f5117a6d8ca,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-14-09-05907928-0852-48a7-aad5-0f5117a6d8ca,2024-09-30T23:46:44+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-16-25-b0e29e8e-f591-40ae-8cd2-57e2e97b1061,2024/05/14/18/analysis-events-4-2024-05-14-18-15-57-5cc67228-cb6c-4edb-8468-726c3bf1ee6a,0,1775,215,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-15-57-5cc67228-cb6c-4edb-8468-726c3bf1ee6a,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-15-57-5cc67228-cb6c-4edb-8468-726c3bf1ee6a,2024-09-30T23:46:49+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-16-51-e79cd04b-c60f-41ac-a4af-e20bb3c024f4,2024/05/14/18/analysis-events-4-2024-05-14-18-16-23-27d6512e-c663-450b-a408-ac9a8d6d22fb,0,1757,195,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-16-23-27d6512e-c663-450b-a408-ac9a8d6d22fb,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-16-23-27d6512e-c663-450b-a408-ac9a8d6d22fb,2024-09-30T23:46:55+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-17-21-6bf51061-41f3-4d59-aaf0-53c257fe82f2,2024/05/14/18/analysis-events-4-2024-05-14-18-16-49-8ca34556-7137-455c-b681-f5c82c92dc82,0,1789,214,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-16-49-8ca34556-7137-455c-b681-f5c82c92dc82,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-16-49-8ca34556-7137-455c-b681-f5c82c92dc82,2024-09-30T23:47:00+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-18-39-6b888c88-2f42-4a79-8265-38bdca2fb560,2024/05/14/18/analysis-events-4-2024-05-14-18-18-10-815af647-aa7d-4066-936d-357eb979fde9,0,1814,244,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-18-10-815af647-aa7d-4066-936d-357eb979fde9,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-18-10-815af647-aa7d-4066-936d-357eb979fde9,2024-09-30T23:47:06+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-18-52-85b05f42-805f-4972-861b-38e6cc75c92e,2024/05/14/18/analysis-events-4-2024-05-14-18-18-14-71a42e7a-c209-493f-b6a2-f25b12d9a54a,0,1785,223,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-18-14-71a42e7a-c209-493f-b6a2-f25b12d9a54a,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-18-14-71a42e7a-c209-493f-b6a2-f25b12d9a54a,2024-09-30T23:47:10+00:00,true,
errors/manifests/2024/05/14/18/analysis-events-2024-05-14-18-19-08-74f3008d-5201-448b-b458-1e21b0e500b4,2024/05/14/18/analysis-events-4-2024-05-14-18-18-38-a697bc12-a5fb-41f0-bf4c-ad1af258f3c2,0,1789,232,0,redeliveries/2024/05/14/18/analysis-events-4-2024-05-14-18-18-38-a697bc12-a5fb-41f0-bf4c-ad1af258f3c2,redeliveries/manifests/2024/05/14/18/analysis-events-4-2024-05-14-18-18-38-a697bc12-a5fb-41f0-bf4c-ad1af258f3c2,2024-09-30T23:47:14+00:00,true,
