student_user_id,authentication_id
57591454,5b69dd1afd5551516d423bc7
57756289,5b69dd1afd5551516d423b9f
57844551,5b69dd1afd5551516d423b79
58097652,5b69dd1afd5551516d423c44
60004409,5d4d76157542d406823efb18
69649630,5f3a2febac5c210242b13871
74849321,5f3a2febac5c210242b1386f
79459145,605ce700922d8312f99b8473
82662164,5d4d76157542d406823efb52
82881784,6110bb1f41d13e06bc32b62d
82888105,6110bb2041d13e06bc32b6b5
95877904,5d6412048b332100691a3cec
95878391,5b8065c3b13f3835f374af04
96283841,574f2c6a2f805cd901003b73
96291889,63062e7f45a2b8049e4b3138
96899230,63062e7e45a2b8049e4b24ce
107157629,64ccedc625c7d90447a04e36
107161820,64ccedc625c7d90447a04eb1
107932977,63062e7f45a2b8049e4b26df
107933256,63062e7f45a2b8049e4b26f7
107933385,63062e7f45a2b8049e4b25ec
108129423,63062e7f45a2b8049e4b2681
108574277,63062e7e45a2b8049e4b2434
21192123,57a096d1bdb63a6e5a003b37
21267287,574f2c692f805cd901003899
21422097,574f2c6a2f805cd901003b22
28747838,57bb29a1db4d20de36003cab
57518608,5b69dd1afd5551516d423c47
57539057,5b69dd1afd5551516d423b8c
57607835,5b69dd1afd5551516d423b63
57608140,5b69dd1afd5551516d423bab
57763457,599329f65458d50926001e3a
57827673,5b69dd1afd5551516d423b4c
57844881,5d4d76157542d406823efb69
59903061,5d4d76157542d406823efb8e
69588222,5f3a2febac5c210242b138e3
71017880,5f3a2febac5c210242b13924
73780259,5fa338ffbd2aa8472cfb6b59
74941943,5f3a2febac5c210242b138b9
76343473,5f3a2febac5c210242b13943
82874783,6110bb2041d13e06bc32b6e8
82877787,6110bb1f41d13e06bc32b644
95124495,574f2c692f805cd9010039bd
96288468,63062e7f45a2b8049e4b3016
96973669,63062e7f45a2b8049e4b2689
99437872,63062e7f45a2b8049e4b2643
107932945,63062e7f45a2b8049e4b2678
107933043,63062e7e45a2b8049e4b24e3
108575273,63062e7e45a2b8049e4b2450
21267169,574f2c692f805cd90100391a
21396318,57a096d1bdb63a6e5a003ae8
57156086,5b69dd1afd5551516d423bb5
57156574,5b69dd1afd5551516d423c1c
57825662,5b69dd1afd5551516d423b36
58179656,599329f65458d50926001e20
58221130,5b69dd1afd5551516d423bb1
59903088,5d4d76157542d406823efabf
60483900,5bca4d556b2c540a69df6333
68779478,5d4d76157542d406823efa7d
74466707,5d4d76157542d406823efa74
82282801,601056411afbf8072233632b
82670880,611d2dee8d9f3516df51dbaa
