framework,parent,category,type,description
csta2011,,CD,Strand,Computers & Communication Devices
csta2011,,CI,Strand,"Community, Global, and Ethical Impacts"
csta2011,,CL,Strand,Collaboration
csta2011,,CPP,Strand,Computing Practice & Programming
csta2011,,CT,Strand,Computational Thinking
