framework,parent,category,type,description
csta,,AP,Concept,Algorithms & Programming
csta,,CS,Concept,Computing Systems
csta,,DA,Concept,Data & Analysis
csta,,IC,Concept,Impacts of Computing
csta,,NI,Concept,Networks & the Internet
