framework,parent,category,type,description
ccela,,L,Strand,Language
ccela,,RF,Strand,Reading Foundational Skills
ccela,,RH,Strand,Reading History/Social Studies
ccela,,RI,Strand,Reading Informational
ccela,,RL,Strand,Reading Literature
ccela,,RST,Strand,Reading Science/Technical
ccela,,SL,Strand,Speaking & Listening
ccela,,W,Strand,Writing
ccela,,WHST,Strand,Writing HS/S/T
