RegionalPartner	LEAID	course	workshop_days
NO PARTNER	500014
NO PARTNER	500015
NO PARTNER	500016
NO PARTNER	500017
NO PARTNER	500018
NO PARTNER	500019
NO PARTNER	500020
NO PARTNER	500021
NO PARTNER	500022
NO PARTNER	500023
NO PARTNER	500024
NO PARTNER	500025
NO PARTNER	500026
NO PARTNER	500027
NO PARTNER	500028
NO PARTNER	500029
NO PARTNER	500030
NO PARTNER	500031
NO PARTNER	500032
NO PARTNER	500033
NO PARTNER	500034
NO PARTNER	500035
NO PARTNER	500036
NO PARTNER	500037
NO PARTNER	500039
NO PARTNER	500040
NO PARTNER	500041
NO PARTNER	500042
NO PARTNER	500043
NO PARTNER	500044
NO PARTNER	500045
NO PARTNER	500046
NO PARTNER	500047
NO PARTNER	500048
NO PARTNER	500049
NO PARTNER	500051
NO PARTNER	500052
NO PARTNER	500053
NO PARTNER	500054
NO PARTNER	500055
NO PARTNER	500056
NO PARTNER	500057
NO PARTNER	500058
NO PARTNER	500059
NO PARTNER	500060
NO PARTNER	500061
NO PARTNER	500062
NO PARTNER	500063
NO PARTNER	500065
NO PARTNER	500066
NO PARTNER	500067
NO PARTNER	500068
NO PARTNER	500070
NO PARTNER	500071
NO PARTNER	500072
NO PARTNER	500073
NO PARTNER	500074
NO PARTNER	500075
NO PARTNER	500076
NO PARTNER	500078
NO PARTNER	500079
NO PARTNER	500080
NO PARTNER	500081
NO PARTNER	500082
NO PARTNER	500389
NO PARTNER	500390
NO PARTNER	500394
NO PARTNER	500397
NO PARTNER	500398
NO PARTNER	500399
NO PARTNER	500402
NO PARTNER	500403
NO PARTNER	500405
NO PARTNER	500406
NO PARTNER	500407
NO PARTNER	500408
NO PARTNER	500409
NO PARTNER	500410
NO PARTNER	500411
NO PARTNER	500412
NO PARTNER	502250
NO PARTNER	502280
NO PARTNER	502430
NO PARTNER	502550
NO PARTNER	502580
NO PARTNER	502610
NO PARTNER	502670
NO PARTNER	502700
NO PARTNER	502730
NO PARTNER	502790
NO PARTNER	502820
NO PARTNER	502880
NO PARTNER	502960
NO PARTNER	503030
NO PARTNER	503060
NO PARTNER	503090
NO PARTNER	503150
