Key,Name,Concepts,YoutubeCode,Download,Locale
C2_digital_footprint_v2,,,4P_gj3oRn8s,http://videos.code.org/2014/C2-digital-footprint-v2.mp4,en-US
C3_playlab_create_game,,,GVl6cLxMmTs,http://videos.code.org/2014/C3-playlab-create-game.mp4,en-US
C3_bounce,,,sWFLt8DSx08,http://videos.code.org/2014/C3-bounce.mp4,en-US
C3_bee_debugging,,,g9lQgtcHGRg,http://videos.code.org/2014/C3-bee-debugging.mp4,en-US
C3_bee_nested_loops,,,PuO6y8f1HGg,http://videos.code.org/2014/C3-bee-nested-loops.mp4,en-US
C3_farmer_while,,,F8H-41bpJ6E,http://videos.code.org/2014/C3-farmer-while.mp4,en-US
C3_artist_nested_loops,,,zRwifFUFJC8,http://videos.code.org/2015/course4/C4-artist-nested-loops-2015_720.mp4,en-US
C3_maze_conditionals,,,m2Ux2PnJe6E,http://videos.code.org/2014/C3-maze-conditionals.mp4,en-US
C3_bee_conditionals,,,g8BQLKnrj2U,http://videos.code.org/2014/C3-bee-conditionals.mp4,en-US
C3_bee_functions,,,xjrDRrxWvoc,http://videos.code.org/2014/C3-bee-functions.mp4,en-US
C3_artist_functions,,,6pLMiODz-DY,http://videos.code.org/2014/C3-artist-functions.mp4,en-US
C3_artist_intro,,,MUavAHn-QUg,http://videos.code.org/2014/C3-artist-intro.mp4,en-US
C3_maze_level_4,,,7ZFb9BrjHt8,http://videos.code.org/2014/C3-maze-level-4.mp4,en-US
C3_computational_thinking,,,TlAaklrolA0,http://videos.code.org/2014/C3-computational-thinking.mp4,en-US
C3_dice_race,,,wQpgBCKivAs,http://videos.code.org/2014/C3-dice-race.mp4,en-US
C3_internet,,,mFOUbqYv1Sc,http://videos.code.org/2014/C3-internet.mp4,en-US
C3_crowdsourcing,,,IqZMnfxqEfY,http://videos.code.org/2014/C3-crowdsourcing.mp4,en-US
C3_functional_suncatchers,,,d1MdyeXy0v0,http://videos.code.org/2014/C3-functional-suncatchers.mp4,en-US
C3_songwriting_with_parameters,,,5iDCKkI6y2Y,http://videos.code.org/2014/C3-songwriting-with-parameters.mp4,en-US
C4_intro,,,h7NtxHTrqgU,http://videos.code.org/2014/C4-intro.mp4,en-US
C4_bee_conditional,,,rY-orPefe8I,http://videos.code.org/2014/C4-bee-conditional.mp4,en-US
C4_conditionals,,,8BaTjib4UEM,http://videos.code.org/2014/C4-conditionals.mp4,en-US
C4_variables_artist,,,_MkLbhIuvAM,http://videos.code.org/2015/course4/c4-var-Artist-olga%2BTanya-2015-720.mp4,en-US
C4_variables_playlab,,,xPlGz7WPYH4,http://videos.code.org/2015/course4/C4-variables-playlab.mp4,en-US
C4_for_loops,,,MAukAy9m9Sg,http://videos.code.org/2014/C4-for-loops.mp4,en-US
C4_for_loops_bee,,,MZqrhK9av3M,http://videos.code.org/2014/C4-for-loops-w-bee.mp4,en-US
C4_for_loops_no_bee,,,AIlCLjjm8M0,http://videos.code.org/2014/C4-for-loops-no-bee.mp4,en-US
C4_math_artist,,,BGeT8IyKd2M,http://videos.code.org/2014/C4-math-artist.mp4,en-US
C4_function_edit,,,EoUnJB_BVLc,http://videos.code.org/2014/C4-function-edit.mp4,en-US
C4_function_create,,,28Huilta-20,http://videos.code.org/2014/C4-function-create.mp4,en-US
C4_function_parameters,,,e9qjXKaeDHg,http://videos.code.org/2014/C4-function-parameters.mp4,en-US
C4_unplugged_algorithms,,,xZlKyTwQZv8,http://videos.code.org/2014/C4-unplugged-algorithms.mp4,en-US
C4_unplugged_madlibs,,,TctGRrUdkcc,http://videos.code.org/2014/C4-unplugged-madlibs.mp4,en-US
C4_unplugged_variables,,,DI7DprN4FtE,http://videos.code.org/2015/course4/C4-Variables-in-envelopes-JIE-2015_720.mp4,en-US
C4_unplugged_forloops,,,mX857v5B4gE,http://videos.code.org/2014/C4-unplugged-forloops.mp4,en-US
C4_unplugged_parameters,,,28ujn3adHBA,http://videos.code.org/2014/C4-unplugged-parameters.mp4,en-US
C4_unplugged_binary,,,dzHlZV53VfY,http://videos.code.org/2014/C4-unplugged-binary.mp4,en-US
C4_loops_zombie,,,7ZFb9BrjHt8,http://videos.code.org/2014/C4-loops-zombie.mp4,en-US
CSF_a_b_artist_loops,,,lh8uOEK4-qM,https://videos.code.org/csf/a-b-artist-loops.mp4,en-US
CSF_artist_angles,,,sPKXZBL_Yvs,https://videos.code.org/csf/artist-angles.mp4,en-US
CSF_collector_k1_blocks,,,oBiYuD1dDDI,https://videos.code.org/csf/collector-arrow-blocks.mp4,en-US
CSF_collector_repeat_loops,,,CDBVQAWB2tM,https://videos.code.org/csf/collector-repeat-loops.mp4,en-US
CSF_collector_text_blocks,,,_hUFPk3qA78,https://videos.code.org/csf/collector-text-blocks.mp4,en-US
CSF_create_functions,,,hEsqGN7yNbw,https://videos.code.org/csf/create-functions.mp4,en-US
CSF_debugging_k1_blocks,,,AtbqIF4gOb8,https://videos.code.org/csf/debugging-k1-blocks.mp4,en-US
CSF_debugging_text_blocks,,,RUZTRNakV9c,https://videos.code.org/csf/debugging-text-blocks.mp4,en-US
CSF_EF_cs_matters,,,_IiPLtP-jm8,https://videos.code.org/csf/cs_matters.mp4,en-US
CSF_maze_intro_k1_blocks,,,4N0R16Y97l0,https://videos.code.org/csf/maze-intro-k1-blocks.mp4,en-US
CSF_maze_intro_text_blocks,,,uBZpd6zGVFI,https://videos.code.org/csf/maze-intro.mp4,en-US
CSF_my_robotic_friends,,,xaW3PAzHxCU,https://videos.code.org/csf/my-robotic-friends-activity.mp4,en-US
CSF_stevie_big_project,,,cybBscJ3G8c,https://videos.code.org/csf/stevie.mp4,en-US
CSF_unspotted_bugs,,,S8qub6aPysM,https://videos.code.org/csf/unspotted-bugs.mp4,en-US
CSF_zuck_loops_short,,,hYvcoRkAkOU,https://videos.code.org/csf/zuck-repeat-loops.mp4,en-US
CSF_Power_of_Words,,,8rOnMl26dR8,https://videos.code.org/csf/Power_of_Words_2017.mp4,en-US
CSF_Super_Digital_Citizen,,,S7A2n1c3UiA,https://videos.code.org/csf/Super_Digital_Citizen_2017.mp4,en-US
frozen_intro,Artist Intro frozen_intro,,H1-paxNG4kw,http://videos.code.org/2014/Frozen-intro.mp4,en-US
frozen_loops,Repeat times block,frozen_loops,d7e48cYq7uc,http://videos.code.org/2014/Frozen-loops.mp4,en-US
frozen_functions,Functions,frozen_functions,gm3GPfUq0Wg,http://videos.code.org/2014/Frozen-functions.mp4,en-US
playlab_intro,,,c-Qz1mc3A-I,http://videos.code.org/2014/playlab-intro.mp4,en-US
playlab_events,,,rBE7MTMMspA,http://videos.code.org/2014/playlab-events.mp4,en-US
playlab_repeat_forever,,,37OflfzlNeE,http://videos.code.org/2014/playlab-repeat-forever.mp4,en-US
tutorial_puzzle_challenge,,,_l68chtl1co,http://videos.code.org/2014/tutorial-puzzle-challenge.mp4,en-US
infinity_playlab_intro,,,vQGOfhsb76o,http://videos.code.org/2015/infinityplaylab/infinity-playlab-intro.mp4,en-US
infinity_playlab_events,,,HcljJx_0Elw,http://videos.code.org/2015/infinityplaylab/infinity-playlab-events.mp4,en-US
infinity_playlab_repeat_forever,,,Ldj1-kEa9nA,http://videos.code.org/2015/infinityplaylab/infinity-playlab-repeat-forever.mp4,en-US
csd_concept_how_computers_work,,,OAx_6-wdslM,http://videos.code.org/cs-discoveries/concept/01_HowComputersWork_sm.mp4,en-US
csd_concept_computer,,,mCq8-xTH7jA,http://videos.code.org/cs-discoveries/concept/02_WhatMakesAComputer_sm.mp4,en-US
csd_concept_binary_data,,,USCBCmwMCDA,http://videos.code.org/cs-discoveries/concept/03_BinaryData_sm.mp4,en-US
csd_concept_circuits_logic,,,ZoqMiFKspAA,http://videos.code.org/cs-discoveries/concept/04_CircuitsLogic_sm.mp4,en-US
csd_concept_memory_cpu_input_output,,,DKGZlaPlVLY,http://videos.code.org/cs-discoveries/concept/05_CPUMemoryIO_sm.mp4,en-US
csd_concept_hardware_software,,,xnyFYiK2rSY,http://videos.code.org/cs-discoveries/concept/06_HardwareSoftware_sm.mp4,en-US
csd_concept_search,,,LVV_93mBfSU,https://videos.code.org/cs-discoveries/concept/how_search_works.mp4,en-US
csd_external_amazon_data,,,S4RL6prqtGQ,https://videos.code.org/cs-discoveries/concept/amazon_data.mp4,en-US
csd_external_netflix_data,,,hqFHAnkSP2U,https://videos.code.org/cs-discoveries/concept/netflix_data.mp4,en-US
csd_external_waze_data,,,Uu-uTo_ma9c,https://videos.code.org/cs-discoveries/concept/waze_data.mp4,en-US
csd_gamelab_animation_tab,,,DQPruYTJ0Fk,https://videos.code.org/levelbuilder/gamelab_theanimationtab-mp4.mp4,en-US
csd_gamelab_conditionals_1,,,D5fSbCKobko,https://videos.code.org/cs-discoveries/gamelab/gamelab_conditionals_1.mp4,en-US
csd_gamelab_conditionals_2,,,V_0ru3RBq08,https://videos.code.org/cs-discoveries/gamelab/gamelab_conditionals_2.mp4,en-US
csd_gamelab_draw_1,,,PXn9gKiKKFo,https://videos.code.org/levelbuilder/gamelab_introtodrawing-mp4.mp4,en-US
csd_gamelab_draw_2,,,QLabeWhw_O0,https://videos.code.org/levelbuilder/gamelab_addingcolors-mp4.mp4,en-US
csd_gamelab_drawloop,,,G6QJeuHhqCM,https://videos.code.org/levelbuilder/gamelab_draw-loop-mp4.mp4,en-US
csd_gamelab_sprites_1,,,aUHzpGt9nso,https://videos.code.org/levelbuilder/gamelab_sprites-mp4.mp4,en-US
csd_gamelab_sprites_2,,,G666sFzAg5g,https://videos.code.org/levelbuilder/gamelab_animatingwithsprites-mp4.mp4,en-US
csd_gamelab_variables_1,,,UG7Q1Sr0_F0,https://videos.code.org/cs-discoveries/gamelab/gamelab_variables_1.mp4,en-US
csd_gamelab_variables_2,,,luR8Al5CjEw,https://videos.code.org/cs-discoveries/gamelab/gamelab_variables_2.mp4,en-US
csd_gamelab_velocity,,,zcP94yMYqrI,https://videos.code.org/levelbuilder/gamelab_velocity-mp4.mp4,en-US
csd_weblab_intro_1,,,itx0RYOnoBs,https://videos.code.org/levelbuilder/weblab_introtoweblab-mp4.mp4,en-US
csd_weblab_intro_2,,,Hjl6gbg9kmk,https://videos.code.org/levelbuilder/weblab_introtohtml-mp4.mp4,en-US
csd_weblab_intro_3,,,2qcIlRtdpgE,https://videos.code.org/levelbuilder/weblab_publishingyourwebsite-mp4.mp4,en-US
csd_weblab_css_1,,,EP9QMdoXvXE,https://videos.code.org/levelbuilder/weblab_introtocss-mp4.mp4,en-US
csd_weblab_css_2,,,VgBVKlpLqsE,https://videos.code.org/levelbuilder/weblab_usingastylesheet-mp4.mp4,en-US
csp_applab_objects,,,ZunUF_WGMb4,https://videos.code.org/2015/csp/applab/intro-to-objects.mp4,en-US
csp_applab_databases_1,,,d8ByCh-BouQ,https://videos.code.org/2015/csp/applab/databases_intro_1_create.mp4,en-US
csp_applab_databases_2,,,RZlHfbtO2C4,https://videos.code.org/2015/csp/applab/databases_intro_2_dataviewer.mp4,en-US
csp_applab_processing_lists,,,RQ6GJt9f2vg,https://videos.code.org/2015/csp/applab/processing_lists.mp4,en-US
csp_applab_lists_1,,,n1exiRH00x0,https://videos.code.org/2015/csp/applab/lists_intro_1.mp4,en-US
csp_applab_lists_2,,,TL0Y_GI4NZg,https://videos.code.org/2015/csp/applab/lists_intro_2.mp4,en-US
csp_applab_lists_3,,,rWSsVSMGXXY,https://videos.code.org/2015/csp/applab/lists_intro_3.mp4,en-US
csp_applab_lists_4,,,H__zi1BiXJM,https://videos.code.org/2015/csp/applab/lists_intro_4.mp4,en-US
csp_applab_conditionals_1,,,y3rCKJNOwpA,https://videos.code.org/2015/csp/applab/conditionals_1.mp4,en-US
csp_applab_conditionals_2,,,UDi7xgIIW8E,https://videos.code.org/2015/csp/applab/conditionals_2.mp4,en-US
csp_applab_conditionals_2A,,,0oG3Wck2fRU,https://videos.code.org/2015/csp/applab/conditionals_2A.mp4,en-US
csp_applab_conditionals_2B,,,ZIL_3YRD14s,https://videos.code.org/2015/csp/applab/conditionals_2B.mp4,en-US
csp_applab_conditionals_2C,,,aFssCTE5hs8,https://videos.code.org/2015/csp/applab/conditionals_2C.mp4,en-US
csp_applab_conditionals_3,,,kyFdniI-ZZs,https://videos.code.org/2015/csp/applab/conditionals_3.mp4,en-US
csp_applab_design,,,-EoTeD4mSNU,https://videos.code.org/2015/csp/applab/design.mp4,en-US
csp_applab_variables_1,,,G41G_PEWFjE,https://videos.code.org/2015/csp/applab/variables_1.mp4,en-US
csp_applab_variables_2,,,ijjVDBPwA1o,https://videos.code.org/2015/csp/applab/variables_2.mp4,en-US
csp_applab_functions,,,yPWQfa4CHbw,https://videos.code.org/2015/csp/applab/functions.mp4,en-US
csp_applab_functions_parameters,,,k7Ji1E97-V0,https://videos.code.org/2015/csp/applab/functions_parameters.mp4,en-US
csp_applab_loops,,,G8hfAk4PfOM,https://videos.code.org/2015/csp/applab/loops.mp4,en-US
csp_applab_turtle,,,i2KHYUhtOlM,https://videos.code.org/2015/csp/applab/turtle.mp4,en-US
csp_concept_bigdata_medicine,,,bMrDHtGHFR4,https://videos.code.org/2015/csp/concept_bigdata_medicine.mp4,en-US
csp_concept_cybercrime,,,AuYNXgO_f3Y,http://videos.code.org/2015/csp/concept_cybercrime.mp4,en-US
csp_concept_encryption,,,ZghMPWGXexs,http://videos.code.org/2015/csp/concept_encryption.mp4,en-US
csp_concept_http_html,,,kBXQZMmiA4s,http://videos.code.org/2015/csp/concept_http_html.mp4,en-US
csp_concept_what_is_internet,,,Dxcc6ycZ73M,https://videos.code.org/2015/csp/what_is_the_internet.mp4,en-US
csp_concept_internet_ip_dns,,,5o8CwafCxnU,http://videos.code.org/2015/csp/concept_internet_ip_dns.mp4,en-US
csp_concept_internet_packets_reliability,,,AYdF7b3nMto,http://videos.code.org/2015/csp/concept_internet_packets_reliability.mp4,en-US
csp_concept_internet_wires_cables_wifi,,,ZhEf7e4kopM,http://videos.code.org/2015/csp/concept_internet_wires_cables_wifi.mp4,en-US
csp_concept_rgb,,,15aqFQQVBWU,http://videos.code.org/2015/csp/concept_rgb.mp4,en-US
csp_cs_is_changing_everything,,,QvyTEx1wyOY,https://videos.code.org/2015/csp/cs_is_changing_everything.mp4,en-US
csp_pixelation_color_1,,,763E3_Z6Hng,http://videos.code.org/2015/csp/pixelation_color_1.mp4,en-US
csp_pixelation_color_2,,,xK9z51Tin4E,http://videos.code.org/2015/csp/pixelation_color_2.mp4,en-US
csp_pixelation_color_3,,,Xhqz3ffGm74,http://videos.code.org/2015/csp/pixelation_color_3.mp4,en-US
csp_pixelation_bw,,,rJOa5Q5a1WM,http://videos.code.org/2015/csp/pixelation_bw.mp4,en-US
csp_U1L14_tipstricks,,,yWrmxQSnmPc,http://videos.code.org/2015/csp/U1L14_tipstricks.mp4,en-US
csp_textcompression,,,g0IDJjdBKw4,http://videos.code.org/2015/csp/textcompression.mp4,en-US
csp_textcompression_new,,,LCGkcn1f-ms,http://videos.code.org/2015/csp/textcompression_blacc.mp4,en-US
csp_internetsimulator_1,,,Kn6Fd5uwZno,http://videos.code.org/2015/csp/internetsimulator_1.mp4,en-US
