1788643145	0.02
1788643175	0.01
1788643205	0.00
1788643235	0.00
1788643265	0.00
1788643295	0.00
1788643325	0.14
1788643355	0.33
1788643385	0.30
1788643415	0.28
1788643445	0.25
1788643475	0.26
1788643505	0.24
1788643535	0.23
1788643565	0.28
1788643595	0.21
1788643625	0.12
1788643655	0.14
1788643685	0.31
1788643715	0.30
1788643745	0.26
1788643775	0.23
1788643805	0.27
1788643835	0.27
1788643865	0.26
1788643895	0.34
1788643925	0.34
1788643955	0.32
1788643985	0.25
1788644015	0.29
1788644045	0.24
1788644075	0.21
1788644105	0.17
1788644135	0.21
1788644165	0.18
1788644195	0.30
1788644225	0.33
1788644255	0.23
1788644285	0.20
1788644315	0.07
1788644345	0.00
1788644375	0.00
1788644405	0.00
1788644435	0.00
1788644465	0.00
1788644495	0.03
1788644525	0.00
1788644555	0.00
1788644585	0.00
1788644615	0.00
1788644645	0.00
1788644675	0.01
1788644705	0.00
1788644735	0.00
1788644765	0.00
1788644795	0.00
1788644825	0.00
1788644855	0.07
1788644885	0.21
1788644916	0.22
1788644946	0.23
1788644976	0.27
1788645006	0.22
1788645036	0.28
1788645066	0.14
1788645096	0.02
1788645126	0.22
1788645156	0.30
1788645186	0.32
1788645216	0.23
1788645246	0.00
1788645276	0.34
1788645306	0.35
1788645336	0.01
1788645366	0.17
1788645396	0.04
1788645426	0.03
1788645456	0.00
1788645486	0.00
1788645516	0.00
1788645546	0.06
1788645576	0.24
1788645606	0.16
1788645636	0.03
1788645666	0.00
1788645696	0.00
1788645726	0.00
1788645756	0.01
1788645786	0.00
1788645816	0.00
1788645846	0.00
1788645876	0.01
1788645906	0.01
1788645936	0.01
1788645966	0.01
